Species,ChrNumber,genomeSize,stdevSize,Max,Min,minorClade
acaule_48,48,3.05,0.044443151,3.08,3.02,Petota
acroscopicum_24,24,1.85,0.078655278,1.9,1.79,Petota
acroscopicum_48,48,3.72,N/A,3.72,3.72,Petota
aemulans_48,48,3.24,0.036306044,3.27,3.22,Petota
albicans,72,4.67,0.04797528,4.72,4.63,Petota
albornozii,24,2.18,0.048445457,2.24,2.15,Petota
andreanum_24,24,1.8,N/A,1.8,1.8,Petota
andreanum_48,48,3.57,0.130965957,3.66,3.48,Petota
arcanum,24,2.2,0.058237331,2.25,2.16,Tomato
basendopogon,24,2.57,N/A,2.57,2.57,Basarthrum
berthaultii,24,1.74,0.012142438,1.75,1.73,Petota
blanco-galdosii,24,1.8,N/A,1.8,1.8,Petota
boliviense,24,1.69,0.047854549,1.73,1.64,Petota
brevicaule_24,24,1.72,0.023131431,1.74,1.69,Petota
brevicaule_48,48,3.26,0.029907232,3.28,3.22,Petota
bulbocastanum_24,24,1.53,0.067566861,1.61,1.48,Petota
candolleanum_24,24,1.89,0.19668715,2.1,1.72,Petota
cardiophyllum_24,24,1.55,N/A,1.55,1.55,Petota
caripense,24,2.46,0.028864702,2.48,2.44,Basarthrum
chacoense_24,24,1.72,0.033636581,1.76,1.7,Petota
chilense,24,2.23,N/A,2.23,2.23,Tomato
chomatophilum,24,1.92,0.075669361,1.98,1.83,Petota
clarum,24,1.75,N/A,1.75,1.75,Petota
colombianum,48,5.34,0.058646624,5.4,5.28,Petota
commersonii_24,24,1.58,0.002445417,1.59,1.58,Petota
demissum,72,4.75,0.012989448,4.76,4.74,Petota
doddsii,24,1.71,0.031918177,1.75,1.69,Petota
dolichocremastrum,24,1.82,0.004734665,1.82,1.81,Petota
ehrenbergii,24,1.76,0.027591553,1.78,1.74,Petota
etuberosum,24,1.64,0.023354707,1.66,1.62,Etuberosum
flahaultii,48,3.32,0.077453832,3.4,3.25,Petota
gandarillasii,24,1.75,0.030166171,1.78,1.72,Petota
guerreroense,72,4.77,0.121331401,4.85,4.68,Petota
habrochaites,24,2.26,0.051911898,2.32,2.22,Tomato
hjertingii,48,3.33,0.031371866,3.37,3.31,Petota
hougasii,72,5.01,N/A,5.01,5.01,Petota
huancabambense,24,1.88,0.01278846,1.89,1.88,Petota
immite_24,24,1.9,0.032254484,1.93,1.87,Petota
infundibuliforme,24,1.72,0.008061313,1.73,1.71,Petota
iopetalum,72,4.76,0.052008098,4.81,4.7,Petota
jamesii,24,1.42,0.055965229,1.47,1.36,Petota
kurtzianum,24,1.75,0.018110597,1.77,1.74,Petota
laxissimum,24,1.81,N/A,1.81,1.81,Petota
lesteri,24,1.3,0.016919963,1.31,1.29,Petota
lignicaule,24,1.78,N/A,1.78,1.78,Petota
longiconicum,48,3.29,0.061423364,3.35,3.23,Petota
malmeanum_24,24,1.73,0.071111449,1.81,1.68,Petota
medians_24,24,1.74,0.01740986,1.75,1.72,Petota
microdontum_24,24,1.68,0.00495442,1.69,1.68,Petota
mochiquense,24,2.04,0.096229031,2.15,1.96,Petota
morelliforme,24,2.02,N/A,2.02,2.02,Petota
multiinterruptum_24,24,1.84,0.016923624,1.85,1.82,Petota
neocardenasii,24,1.78,0.000247675,1.78,1.77,Petota
neorickii,24,1.9,0.028249504,1.92,1.88,Tomato
neorossii,24,1.62,0.042122226,1.65,1.57,Petota
okadae,24,1.62,0.026611378,1.65,1.6,Petota
oxycarpum,48,3.59,N/A,3.59,3.59,Petota
palustre,24,1.61,N/A,1.61,1.61,Etuberosum
paucissectum,24,1.91,N/A,1.91,1.91,Petota
pennellii,24,2.65,0.046197333,2.7,2.61,Tomato
peruvianum,24,2.18,0.114769972,2.26,2.1,Tomato
pimpinellifolium,24,1.96,0.043306136,2,1.92,Tomato
pinnatisectum,24,1.32,0.025268013,1.33,1.3,Petota
piurae,24,1.88,N/A,1.88,1.88,Petota
polyadenium,24,1.38,0.002904109,1.39,1.38,Petota
raphanifolium,24,1.72,0.013569743,1.73,1.71,Petota
schenckii,72,4.64,0.005966382,4.65,4.64,Petota
stenophyllidium,24,1.77,0.069770717,1.82,1.72,Petota
stipuloideum,24,1.78,N/A,1.78,1.78,Petota
stoloniferum_24,24,1.68,N/A,1.68,1.68,Petota
stoloniferum,48,3.33,0.038165038,3.38,3.3,Petota
suaveolens,24,2.63,N/A,2.63,2.63,Basarthrum
tarnii,24,1.47,0.015447926,1.48,1.45,Petota
trachycarpum,24,2.3,0.002195309,2.3,2.3,Basarthrum
trifidum,24,1.47,0.062807052,1.53,1.4,Petota
venturii,24,1.7,N/A,1.7,1.7,Petota
vernei,24,1.68,0.046020377,1.72,1.63,Petota
verrucosum_24,24,1.63,0.073410377,1.71,1.57,Petota
violaceimarmoratum,24,1.76,N/A,1.76,1.76,Petota
