Species,ChrNumber,genomeSize,stdevSize,Max,Min,minorClade
anceps,24,2.39,0.28,2.69,2.13,Pteroidea
appendiculatum,24,1.42,NA,1.42,1.42,Anarrhichomenum
brachyantherum,24,1.62,NA,1.62,1.62,Regmandra
chamaepolybotryon,24,2.1,NA,2.1,2.1,Pteroidea
chimborazense,24,1.6,NA,1.6,1.6,Anarrhichomenum
complectens,24,2.14,NA,2.14,2.14,Anarrhichomenum
conicum,24,2.41,NA,2.41,2.41,Pteroidea
crassinervium,24,1.54,NA,1.54,1.54,Herpystichum
dalibardiforme,24,0.65,NA,0.65,0.65,Herpystichum
evolvulifolium,24,2.25,0.52,2.62,1.88,Herpystichum
incurvum,24,2.37,NA,2.37,2.37,Pteroidea
limoncochaense,24,0.73,NA,0.73,0.73,Herpystichum
loxophyllum,24,2.04,NA,2.04,2.04,Herpystichum
mite,24,2.41,NA,2.41,2.41,Pteroidea
multifidum,24,2.25,NA,2.25,2.25,Regmandra
oxycoccoides,24,1.81,NA,1.81,1.81,oxycoccoides
pacificum,24,2.65,0.007,2.66,2.65,Herpystichum
pentaphyllum,24,2.08,2.25,3.67,0.49,Herpystichum
phaseoloides,24,1.405,0.66,1.87,0.94,Herpystichum
savanillense,24,2.41,NA,2.41,2.41,Pteroidea
skutchii,24,1.14,NA,1.14,1.14,Anarrhichomenum
sodiroi,24,1.5,NA,1.5,1.5,Anarrhichomenum
taeniotrichum,24,2.3,NA,2.3,2.3,Articulatum
ternatum,24,2.52,NA,2.52,2.52,Pteroidea
trifolium,24,2.3,NA,2.3,2.3,Pteroidea
trinominum,24,2.04,NA,2.04,2.04,Regmandra
trizygum,24,2.41,0.17,2.53,2.29,Pteroidea
tabanoense,24,2.31,NA,2.31,2.31,Basarthrum
