clade,Species,ChrNumber,PClade
Petota,acroscopicum,24,3
Petota,acroscopicum_24,24,3
Petota,albornozii,24,3
Pteroidea,anceps,24,
Petota,andreanum_24,24,3
Anarrhichomenum,appendiculatum,24,
Tomato,arcanum,24,
Basarthrum,basendopogon,24,
Petota,berthaultii,24,4 South
Petota,blanco-galdosii,24,3
Petota,boliviense,24,4 North
Regmandra,brachyantherum,24,
Petota,brevicaule,24,4 South
Petota,brevicaule_24,24,4 South
Petota,buesii,24,
Petota,bulbo.,24,
Petota,bulbocastanum_24,24,1+2
Petota,candolleanum_24,24,4 North
Petota,cardiophyllum_24,24,1+2
Basarthrum,caripense,24,
Petota,chacoense_24,24,4 South
Pteroidea,chamaepolybotryon,24,
Tomato,chilense,24,
Anarrhichomenum,chimborazense,24,
Petota,chomatophilum,24,3
Petota,clarum,24,1+2
Petota,commersonii_24,24,4 South
Anarrhichomenum,complectens,24,
Pteroidea,conicum,24,
Tomato,corneliomulleri,24,
Herpystichum,crassinervium,24,
Herpystichum,dalibardiforme,24,
Petota,doddsii,24,4 South
Petota,dolichocremastrum,24,4 North
Petota,ehrenbergii,24,1+2
Etuberosum,etuberosum,24,
Herpystichum,evolvulifolium,24,
Petota,gandarillasii,24,4 South
Tomato,habrochaites,24,
Petota,huancabambense,24,3
Petota,immite_24,24,3
Pteroidea,incurvum,24,
Petota,infundibuliforme,24,4 South
Petota,jamesii,24,1+2
Petota,kurtzianum,24,4 South
Petota,laxissimum,24,4 South
Petota,lesteri,24,1+2
Petota,lignicaule,24,4 North
Herpystichum,limoncochaense,24,
Herpystichum,loxophyllum,24,
Petota,malmeanum,24,
Petota,medians_24,24,4 North
Petota,microdontum_24,24,4 South
Pteroidea,mite,24,
Petota,mochiquense,24,3
Petota,morelliforme,24,1+2
Regmandra,multifidum,24,
Petota,multiinterruptum_24,24,3
Petota,neocardenasii,24,4 South
Tomato,neorickii,24,
Petota,neorossii,24,4 South
Petota,okadae,24,4 South
Oxycoccoides,oxycoccoides,24,
Herpystichum,pacificum,24,
Etuberosum,palustre,24,
Petota,paucissectum,24,3
Tomato,pennellii,24,
Herpystichum,pentaphyllum,24,
Tomato,peruvianum,24,
Herpystichum,phaseoloides,24,
Tomato,pimpinellifolium,24,
Petota,pinnatisectum,24,1+2
Petota,piurae,24,3
Petota,polyadenium,24,1+2
Petota,raphanifolium,24,4 North
Pteroidea,savanillense,24,
Anarrhichomenum,skutchii,24,
Anarrhichomenum,sodiroi,24,
Petota,stenophyllidium,24,1+2
Petota,stipuloideum,24,4 South
Petota,stoloniferum_24,24,4 South
Basarthrum,suaveolens,24,
Basarthrum,tabanoense,24,
Articulatum,taeniotrichum,24,
Petota,tarnii,24,1+2
Pteroidea,ternatum,24,
Basarthrum,trachycarpum,24,
Petota,trifidum,24,1+2
Herpystichum,trifolium,24,
Regmandra,trinominum,24,
Pteroidea,trizygum,24,
Petota,venturii,24,4 South
Petota,vernei,24,4 South
Petota,verrucosum_24,24,4 South
Petota,violaceimarmoratum,24,4 South
Petota,acaule_48,48,4 North
Petota,acroscopicum_48,48,4 North
Petota,aemulans_48,48,4 North
Petota,andreanum_48,48,3
Petota,brevicaule_48,48,4 South
Petota,colombianum,48,3
Petota,flahaultii,48,4 North
Petota,hjertingii,48,4 South
Petota,longiconicum,48,4 North
Petota,oxycarpum,48,4 North
Petota,stoloniferum,48,4 South
Petota,stoloniferum_48,48,4 South
Petota,albicans,72,4 North
Petota,demissum,72,4 South
Petota,guerreroense,72,4 South
Petota,hougasii,72,4 South
Petota,iopetalum,72,4 South
Petota,schenckii,72,4 South
