Species,Multiple?,Cytotypes
acaule,Y,"4,6"
acroscopicum,Y,"2,4"
aemulans,Y,"3,4"
albicans,N,6
albornozii,N,2
andreanum,Y,"2,4"
arcanum,N,2
basendopogon,N,2
berthaultii,N,2
blanco-galdosii,N,2
boliviense,N,2
brevicaule,Y,"2,4,6"
bulbocastanum,Y,"2,3"
candolleanum,Y,"2,3"
cardiophyllum,Y,"2,3"
caripense,N,2
chacoense,Y,"2,3"
chilense,N,2
chomatophilum,N,2
clarum,N,2
colombianum,N,4
commersonii,Y,"2,3"
demissum,N,6
doddsii,N,2
dolichocremastrum,N,2
ehrenbergii,N,2
etuberosum,N,2
flahaultii,N,4
gandarillasii,N,2
guerreroense,N,6
habrochaites,N,2
hjertingii,N,4
hougasii,N,6
huancabambense,N,2
immite,Y,"2,3"
infundibuliforme,N,2
iopetalum,N,6
jamesii,N,2
kurtzianum,N,2
laxissimum,N,2
lesteri,N,2
lignicaule,N,2
longiconicum,N,4
malmeanum,Y,"2,3"
medians,Y,"2,3"
microdontum,Y,"2,3"
mochiquense,N,2
morelliforme,N,2
multiinterruptum,Y,"2,3"
neocardenasii,N,2
neorickii,N,2
neorossii,N,2
okadae,N,2
oxycarpum,N,4
palustre,N,2
paucissectum,N,2
pennellii,N,2
peruvianum,N,2
pimpinellifolium,N,2
pinnatisectum,N,2
piurae,N,2
polyadenium,N,2
raphanifolium,N,2
schenckii,N,6
stenophyllidium,N,2
stipuloideum,N,2
stoloniferum,N,4
suaveolens,N,2
tarnii,N,2
trachycarpum,N,2
trifidum,N,2
venturii,N,2
vernei,N,2
verrucosum,Y,"2,3,4"
violaceimarmoratum,N,2
