"BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
NA,1,NA,1,"CIP 763516","","",-9.8972,-77.7447,4200,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,2,NA,2,"CIP 761464","","",-8.4544,-77.6961,4100,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,3,NA,3,"CIP 762478","","",-9.7586,-77.4428,3512,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,4,NA,4,"CIP 763001","","",-9.9111,-77.3172,3676,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,5,NA,5,"CIP 761057","","",-9.8831,-77.2947,4247,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,6,NA,6,"CIP 762417","","",-10.1914,-77.2319,4146,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,7,NA,7,"CIP 761426","","",-10.3794,-77.215,3942,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,8,NA,8,"CIP 762415","","",-10.0847,-77.1939,4257,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,10,NA,10,"CIP 762411","","",-10.1078,-77.1867,4165,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,14,NA,14,"CIP 761438","","",-9.4564,-77.0772,4140,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,15,NA,15,"CIP 764217","","",-10.4617,-76.945,NA,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,16,NA,16,"CIP 761508","","",-10.555,-76.8822,4741,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,17,NA,17,"CIP 761509","","",-10.5761,-76.7675,3947,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,19,NA,19,"CIP 761513","","",-10.6697,-76.7581,4100,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,20,NA,20,"CIP 762065","","",-11.8092,-76.6306,1609,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,21,NA,21,"CIP 763409","","",-11.7861,-76.6267,3051,"acaule","acaule","tuberous","germplasm",72,"SŠrkinen","",""
NA,22,NA,22,"CIP 764010","","",-11.4669,-76.6239,2833,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,23,NA,23,"CIP 763202","","",-11.45,-76.6011,3173,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,24,NA,24,"CIP 761200","","",-11.4061,-76.5761,3643,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,25,NA,25,"CIP 762784","","",-11.6153,-76.4061,3997,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,26,NA,26,"CIP 761859","","",-11.0042,-76.3669,4295,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,28,NA,28,"CIP 761528","","",-11.5903,-76.3553,4573,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,29,NA,29,"CIP 762074","","",-12.2078,-76.3492,3873,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,32,NA,32,"CIP 762117","","",-11.7075,-76.2686,3734,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,33,NA,33,"CIP 762285","","",-10.7519,-76.2672,4272,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,34,NA,34,"CIP 765843","","",-11.6663,-76.2515,4026,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
