"BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY","genomeSize","GenomeSizeMethod","subclade","PClade","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio12","bio13","bio14","bio15","cmimax","cmimean","cmimin","cmirange","gsl","swb","gdd5","CCmean","CCSD","gsMono","range.bio1","range.bio2","range.bio3","range.bio4","range.bio5","range.bio6","range.bio7","range.bio12","range.bio13","range.bio14","range.bio15","range.cmimax","range.cmimean","range.cmimin","range.gdd5","range.cmirange","range.CCmean","range.CCSD","range.gsl","range.swb","Specimens"
NA,870,NA,885,"CIP 760030","","",-15.2764,-72.8617,3000,"acroscopicum_24","acroscopicum","tuberous","germplasm",24,"SŠrkinen","","",1.85,"FCM","Petota","3",5.15000000000004,11.7,0.742,1.004,12.75,-3.04999999999996,15.8,1390,333.6,10.1,106.1,208.8,5.5,-88.5,297.3,360,-430,203.3,40.27,25.8,0.925,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,5
NA,874,NA,889,"CIP 762869","","",-16.6192,-71.1739,3327,"acroscopicum_24","acroscopicum","tuberous","germplasm",24,"SŠrkinen","","",1.85,"FCM","Petota","3",10.65,9.4,0.701,0.707,16.75,3.35000000000004,13.4,234,66.5,1.9,121.6,-33.8,-78.7,-119.7,86,77,-944,2074.7,36.81,31.23,0.925,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,5
NA,876,NA,891,"CIP 762867","","",-16.8644,-70.6703,3876,"acroscopicum_24","acroscopicum","tuberous","germplasm",24,"SŠrkinen","","",1.85,"FCM","Petota","3",7.15000000000004,10.7,0.728,0.829,14.15,-0.549999999999962,14.7,569,162.2,2.8,117,50.4,-59.9,-109.7,160,282,-739,775.6,41.17,31.71,0.925,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,5
NA,883,NA,898,"CIP 762863","","",-17.4511,-70.0131,3418,"acroscopicum_24","acroscopicum","tuberous","germplasm",24,"SŠrkinen","","",1.85,"FCM","Petota","3",9.95000000000004,9.8,0.751,0.712,16.15,3.15000000000004,13,368,110.4,2,123,-7.5,-69.4,-116.5,109,148,-834,1801.2,30.72,22.89,0.925,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,5
NA,886,NA,901,"CIP 761268","","",-6.2431,-78.6144,2780,"acroscopicum_24","acroscopicum","tuberous","germplasm",24,"SŠrkinen","","",1.85,"FCM","Petota","3",11.35,7.5,0.73,0.892,16.55,6.35000000000004,10.2,1557,218.8,56.8,34.4,119.5,32.2,-38.6,158.1,365,107,2328.4,93.27,5.05,0.925,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,5
NA,1,NA,1,"CIP 763516","","",-9.8972,-77.7447,4200,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,15.25,6.6,0.86,0.092,19.15,11.45,7.7,752,198.7,1.3,98.7,98.2,-37.5,-92.2,190.4,313,-526,3732.2,50.88,31.53,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,2,NA,2,"CIP 761464","","",-8.4544,-77.6961,4100,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,6.75000000000004,10.1,0.824,0.213,12.35,0.150000000000038,12.2,1414,266.4,10.2,68.8,163.5,14.7,-78,241.5,365,-68,626.5,78.76,12.85,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,3,NA,3,"CIP 762478","","",-9.7586,-77.4428,3512,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,8.05000000000004,9.6,0.85,0.323,13.55,2.25000000000004,11.3,1004,226.9,2.8,82.2,86.2,-37.8,-101.8,188,365,-521,1097.4,65.3,19.58,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,5,NA,5,"CIP 761057","","",-9.8831,-77.2947,4247,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,4.45000000000004,10.7,0.857,0.407,10.45,-2.04999999999996,12.5,1171,249.8,4.5,80.1,138.1,-2.3,-85.9,224,365,-226,NA,74.54,15.46,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,6,NA,6,"CIP 762417","","",-10.1914,-77.2319,4146,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,5.25000000000004,10.2,0.837,0.159,10.85,-1.34999999999996,12.2,1120,246,4.7,83.5,135.1,-10.8,-94.9,230,365,-312,87.4,63.65,23.82,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,14,NA,14,"CIP 761438","","",-9.4564,-77.0772,4140,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,5.45000000000004,10.4,0.787,0.678,11.45,-1.74999999999996,13.2,1550,272.7,18.2,65.1,179.2,36.7,-68.8,248,365,-20,218,84.56,9.4,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,15,NA,15,"CIP 764217","","",-10.4617,-76.945,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,5.45000000000004,11.3,0.816,0.334,11.85,-1.94999999999996,13.8,1084,214.6,6.8,79.6,104.6,-12.9,-93.9,198.5,365,-324,171.6,67.91,19.01,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,17,NA,17,"CIP 761509","","",-10.5761,-76.7675,3947,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,5.75000000000004,11.2,0.825,0.461,12.35,-1.24999999999996,13.6,950,175.7,8.2,74,58.1,-31.6,-87.1,145.1,365,-417,265.4,77.65,13.89,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,20,NA,20,"CIP 762065","","",-11.8092,-76.6306,1609,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,18.85,7.3,0.831,0.278,23.45,14.65,8.8,546,124.5,4.2,80.7,4.5,-67.3,-98.5,103,175,-817,5059.1,48.76,32.64,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,24,NA,24,"CIP 761200","","",-11.4061,-76.5761,3643,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,7.35000000000004,9.3,0.845,0.368,12.65,1.65000000000004,11,957,189.1,11.9,71.6,72.9,-23.9,-63.7,136.6,365,-360,872.1,67.06,25.42,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,26,NA,26,"CIP 761859","","",-11.0042,-76.3669,4295,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,3.95000000000004,10.7,0.783,0.787,10.55,-3.04999999999996,13.6,1100,187.1,15.7,64.5,83.6,-8.9,-70.5,154.1,365,-240,NA,76.37,14.6,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,28,NA,28,"CIP 761528","","",-11.5903,-76.3553,4573,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,2.05000000000004,10.3,0.812,0.612,8.05000000000004,-4.64999999999996,12.7,1454,265.7,18.4,65.8,164.4,22.4,-74.7,239.1,365,-108,NA,73.61,19.79,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,29,NA,29,"CIP 762074","","",-12.2078,-76.3492,3873,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,6.35000000000004,8.3,0.793,0.358,11.85,1.35000000000004,10.5,755,163.5,6.2,76.6,61.3,-40.5,-88.4,149.7,365,-525,499.9,49.21,33.09,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,32,NA,32,"CIP 762117","","",-11.7075,-76.2686,3734,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,5.85000000000004,10.2,0.798,0.712,11.95,-0.849999999999962,12.8,1169,214.3,15.1,66.3,106.1,-1.9,-61.4,167.5,365,-169,325.3,68.85,21.62,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,33,NA,33,"CIP 762285","","",-10.7519,-76.2672,4272,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,4.45000000000004,10.6,0.766,0.862,10.95,-2.94999999999996,13.9,1064,178.1,16,65.1,68.2,-14,-70,138.2,365,-264,45.8,80.74,11.77,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,41,NA,41,"CIP 761026","","",-12.1375,-76.2319,3044,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,10.75,9.2,0.816,0.268,16.25,4.95000000000004,11.3,820,166.2,8.3,73.4,23.8,-54.7,-85.1,108.8,333,-661,2098.4,50.15,32.22,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,45,NA,45,"CIP 762282","","",-11.5858,-76.0625,4231,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,4.35000000000004,10.5,0.771,0.793,10.75,-2.84999999999996,13.6,1156,201.6,15.5,67,91.3,-8.9,-72.4,163.7,365,-227,21.4,75.55,14.5,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,46,NA,46,"CIP 764012","","",-10.9183,-76.0503,3889,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,5.05000000000004,10,0.759,0.823,11.25,-1.94999999999996,13.2,1296,204.3,24.5,61.2,94.9,7.5,-55.5,150.4,365,-104,147.9,77.05,10.79,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,51,NA,51,"CIP 762283","","",-11.4558,-75.955,3889,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,6.45000000000004,10,0.765,0.777,12.35,-0.749999999999962,13.1,1000,165.1,15.9,65,42.1,-28.2,-74.1,116.3,365,-376,527.7,72.03,14.88,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,53,NA,53,"CIP 761852","","",-10.8558,-75.91,4179,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,4.75000000000004,9.3,0.741,0.844,10.55,-1.94999999999996,12.5,1768,264.6,45.6,54.6,165.4,55.2,-32.5,197.9,365,109,82.3,83.27,13.27,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,57,NA,57,"CIP 761225","","",-11.6053,-75.8567,3600,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,6.65000000000004,9.6,0.745,0.869,12.35,-0.549999999999962,12.9,926,154.3,14.2,66.8,22.6,-36.4,-77.1,99.7,365,-445,606.6,67.2,18.69,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,61,NA,61,"CIP 761307","","",-10.7661,-75.7953,4000,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,9.45000000000004,8.4,0.758,0.709,14.55,3.45000000000004,11.1,1662,252.4,48.8,51.9,131.9,41.8,-22,153.9,365,77,1610.7,80.62,13.8,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,65,NA,65,"CIP 761025","","",-10.7556,-75.6383,3126,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,10.75,7.7,0.733,0.735,15.65,5.15000000000004,10.5,2401,386,74.8,52.5,300.9,97.8,-31.5,332.3,365,137,2085.1,86.04,8.44,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,67,NA,67,"CIP 761522","","",-12.7878,-74.9733,3681,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,7.05000000000004,10,0.756,0.963,13.35,0.150000000000038,13.2,1100,178.6,20.6,65.4,52.1,-24.6,-71.1,123.1,365,-377,734.1,62.96,19.6,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,70,NA,70,"CIP 761537","","",-13.4703,-74.8625,3810,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,6.25000000000004,11.4,0.795,0.903,13.45,-0.849999999999962,14.3,995,171.5,14.1,70.6,42,-26,-58.1,100,365,-362,479,64.24,20.68,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,71,NA,71,"CIP 761525","","",-13.1033,-74.7381,4100,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,2.35000000000004,9.9,0.722,1.105,9.15000000000004,-4.54999999999996,13.7,1529,253,21.6,69.1,153.7,35.1,-45.8,199.5,300,10,NA,73.64,20.12,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,73,NA,73,"CIP 764211","","",-9.1723,-74.3568,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,25.95,6.1,0.723,0.459,29.75,21.35,8.4,1603,220.6,39.7,49.3,95.9,13.2,-71.2,167.1,365,-94,7649.8,61.96,14.76,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
