"SP1","niche.bio1me","niche.bio2me","niche.bio4me","niche.bio12me","niche.bio15me","Specimens","breadth","logbreadth","sqrbreadth","mean.bio1","mean.bio2","mean.bio4","mean.bio12","mean.bio15","subClade","PClade","genomeSize","genomeSizeMethod","Ploidy","gsMono"
"acaule_48",0.684563049853371,0.648976878612717,0.396381969775925,0.277018915510719,0.622738586156112,182,2.62967939990884,0.966861937583777,1.62162862576758,8.43076923076926,10.8153846153846,1.41547252747253,1177.89010989011,87.2565934065934,"Petota","4 North",3.05,"FCM","Tetraploid",0.7625
"acroscopicum_24",0.181818181818181,0.242774566473988,0.0309536216779573,0.139029003783102,0.652430044182621,5,1.24700541793585,0.220745011464604,1.11669396789624,8.85000000000002,9.82,0.8288,823.6,100.42,"Petota","3",1.85,"FCM","Diploid",0.925
"aemulans_48",0.0821114369501466,0.069364161849711,0.0923397602918187,0.1432324506095,0.0257731958762887,3,0.412821005577465,-0.884741180505089,0.64251148283705,6.48333333333337,9.8,2.93033333333333,1440,96.3666666666667,"Petota","4 North",3.24,"FCM","Tetraploid",0.81
"albicans",0.428202346041055,0.210670520231214,0.0652634705575821,0.110581441782261,0.307217967599411,22,1.12193574621152,0.11505553826952,1.05921468372163,8.01363636363639,9.38181818181818,0.384136363636364,1376.40909090909,70.1181818181818,"Petota","4 North",4.67,"FCM","Hexaploid",0.778333333333333
"albornozii",0.185114369501466,0.0404104046242774,0.0412465867639395,0.0392857292980244,0.099020618556701,10,0.405077708744409,-0.903676356837968,0.636457153895224,15.11,7.36,0.4388,1076,49.59,"Petota","3",2.18,"FCM","Diploid",1.09
"anceps",0.541642228739002,0.274335260115607,0.185380823345492,0.649851513240858,0.441858615611193,194,2.09306844105215,0.738631142906369,1.44674408277765,21.5953608247423,7.24587628865979,0.673829896907217,2654.4175257732,40.0912371134021,"Pteroidea","",2.39,"LocoGSE","Diploid",1.195
"andreanum_24",0.436950146627565,0.0578034682080925,0.0523189161021365,0.403425809163514,0.254786450662739,8,1.20528479076405,0.186715879901538,1.09785463097992,17.375,7.2375,0.47225,3199,28.2,"Petota","3",1.8,"FCM","Diploid",0.9
"andreanum_48",0.511228739002931,0.13014450867052,0.0558674309536217,0.316835014712064,0.274450662739323,16,1.28852635607846,0.253499205754372,1.13513274821867,12.525,7.69375,0.4280625,2072.6875,32.05625,"Petota","3",3.57,"FCM","Tetraploid",0.8925
"appendiculatum",0.398633431085044,0.455936416184971,0.293322668056279,0.343736759142497,0.27509351988218,28,1.76672279435097,0.56912630177264,1.32918124962361,17.1357142857143,9.01785714285714,1.37307142857143,2203.42857142857,78.7928571428571,"Anarrhichomenum","",1.42,"LocoGSE","Diploid",0.71
"arcanum",0.416005865102639,0.333225433526012,0.19290755601876,0.162376418663304,0.483852724594993,28,1.58836799790571,0.462707072694579,1.26030472422574,16.4178571428571,8.58928571428571,0.539857142857143,846.25,72.9535714285714,"Tomato","",2.2,"FCM","Diploid",1.1
"basendopogon",0.507448680351905,0.245618497109827,0.0788932777488275,0.266146069777217,0.526502209131075,28,1.62460873411885,0.485267007785999,1.27460140205433,12.9821428571429,8.675,0.457178571428571,1216.82142857143,63.4321428571429,"Basarthrum","",2.57,"FCM","Diploid",1.285
"berthaultii",0.622929618768327,0.41364161849711,0.329706305367379,0.1709745691467,0.39169734904271,75,1.92894946082223,0.656975533902938,1.38886625015594,13.926,10.3626666666667,2.15208,986.746666666667,90.1813333333333,"Petota","4 South",1.74,"FCM","Diploid",0.87
"blanco-galdosii",0.343108504398826,0.104046242774566,0.111412193850964,0.102038671710803,0.30780559646539,7,0.968411209200549,-0.0320984790156348,0.984078863303419,13.6785714285714,8.77142857142857,0.421714285714286,1136.85714285714,58.8428571428571,"Petota","3",1.8,"FCM","Diploid",0.9
"boliviense",0.58331964809384,0.652445086705202,0.413472016675352,0.310085645229088,0.541245213549337,167,2.50056761025282,0.916517750204672,1.58131831401929,9.96676646706589,11.2479041916168,2.25653892215569,1094.11377245509,96.3622754491018,"Petota","4 North",1.69,"FCM","Diploid",0.845
"brachyantherum",0.189838709677419,0.528208092485549,0.152126003126628,0.00790321563682219,0.671174521354934,14,1.54925054228135,0.437771292888324,1.24468893394348,16.0285714285714,7.02857142857143,1.98807142857143,53.2142857142857,59.7571428571429,"Regmandra","",1.62,"LocoGSE","Diploid",0.81
"brevicaule_24",0.609753665689148,0.629763005780347,0.361993955184992,0.360860025220681,0.571427835051546,107,2.53379848692671,0.929719555029869,1.59179096835191,10.4182242990654,10.203738317757,1.60942056074766,1141.99065420561,89.3532710280374,"Petota","4 South",1.72,"FCM","Diploid",0.86
