"SP1","mean.bio1","mean.bio2","mean.bio3","mean.bio4","mean.bio5","mean.bio6","mean.bio7","mean.bio12","mean.bio13","mean.bio14","mean.bio15","mean.cmimax","mean.cmimean","mean.cmimin","mean.cmirange","mean.gsl","mean.gdd5","mean.swb","mean.CCmean","mean.CCSD","sd.bio1","sd.bio2","sd.bio3","sd.bio4","sd.bio5","sd.bio6","sd.bio7","sd.bio12","sd.bio13","sd.bio14","sd.bio15","sd.cmimax","sd.cmimean","sd.cmimin","sd.cmirange","sd.gsl","sd.gdd5","sd.swb","sd.CCmean","sd.CCSD","median.bio1","median.bio2","median.bio3","median.bio4","median.bio5","median.bio6","median.bio7","median.bio12","median.bio13","median.bio14","median.bio15","median.cmimax","median.cmimean","median.cmimin","median.cmirange","median.gsl","median.gdd5","median.swb","median.CCmean","median.CCSD","shapiroP.bio1","shapiroP.bio2","shapiroP.bio3","shapiroP.bio4","shapiroP.bio6","shapiroP.bio7","shapiroP.bio12","shapiroP.bio13","shapiroP.bio14","shapiroP.bio15","shapiroP.cmimax","shapiroP.cmimean","shapiroP.cmimin","shapiroP.cmirange","shapiroP.gsl","shapiroP.gdd5","shapiroP.swb","shapiroP.CCmean","shapiroP.CCSD","skew.bio1","skew.bio2","skew.bio3","skew.bio4","skew.bio5","skew.bio6","skew.bio7","skew.bio12","skew.bio13","skew.bio14","skew.bio15","skew.cmimax","skew.cmimean","skew.cmimin","skew.cmirange","skew.gsl","skew.gdd5","skew.swb","skew.CCmean","skew.CCSD","subClade","PClade"
"acaule_48",8.43076923076926,10.8153846153846,0.700208791208791,1.41547252747253,15.3296703296703,-0.274725274725237,15.6043956043956,1177.89010989011,251.535164835165,13.6516483516484,87.2565934065934,125.814285714286,-8.27857142857143,-78.3791208791209,204.189010989011,323.725274725275,1415.70346820809,-352.181318681319,52.563956043956,19.7918681318681,4.10365871809877,2.22091629474645,0.0658339643460287,0.766051890697419,4.23510374821211,4.66444097321611,3.64321550912754,513.834151082596,85.3141032606336,18.0389717010243,18.1640174761104,91.2176088838195,48.3753753638596,27.8500781771164,73.376201526092,64.3531461853828,1404.81584276407,287.280072177091,16.7012814130484,5.28553334954426,7.75000000000004,10.75,0.6985,1.189,14.55,-1.49999999999996,15.2,1105,238.2,7.6,89.25,113.8,-16.25,-81.05,197.8,365,1056.8,-331,50.865,20.17,6.74629932070062e-13,0.195000184476538,0.000673390159966655,2.70655846210885e-09,2.60244990179069e-13,0.00491210780011829,1.05148663246213e-09,2.68934906329314e-05,1.41456302885804e-19,0.0538971934890609,0.00142565941809003,3.07640144693792e-08,1.11253348321466e-05,0.00441720561620189,5.16468542156736e-18,1.60756325246728e-15,0.189395005811685,0.00183333763677731,0.111410280035986,1.87116182978806,0.297440099429563,-0.337774836507356,1.1737770392075,1.44128953057198,1.97853867618623,0.514513299371532,1.3753238492489,0.805424030085717,2.72348628445041,-0.224268949073162,0.604275665583201,1.11507361567498,0.849703143974609,0.517627531173671,-2.03127504080651,NA,-0.124640248428981,0.266987642319225,-0.0126019746209196,"Petota","4 North"
"acroscopicum_24",8.85000000000002,9.82,0.7304,0.8288,15.27,1.85000000000004,13.42,823.6,178.3,14.72,100.42,67.48,-34.06,-94.6,162.08,246.4,1436.64,-568,48.448,23.336,2.6115129714401,1.57066864742376,0.0189023808024281,0.12566503093542,1.7469974241538,3.67287353444139,2.1123446688455,608.010115047439,103.835446741467,23.7713483000018,37.4974932495494,98.5504794508885,49.6606786099425,33.5813936577981,82.0217471162374,129.051540091546,907.381106812347,423.09632472996,25.3898881446926,10.8752829848239,9.95000000000004,9.8,0.73,0.829,16.15,3.15000000000004,13.4,569,162.2,2.8,117,50.4,-59.9,-109.7,158.1,282,1801.2,-739,40.27,25.8,0.431402251571126,0.918874827176949,0.650732844591476,0.518943313677636,0.792271670151683,0.785096563944601,0.219077963182992,0.821944150201878,0.00295554619268994,0.00899089049705721,0.721926280248862,0.20758210655331,0.108208245564206,0.254580057899257,0.324831753681944,0.435509762489039,0.332525309574272,0.010698168316697,0.123178021388262,-0.766822146512413,-0.562939437892787,-0.933012633376584,0.468191199441069,-0.889899816260927,-0.292449215678284,-0.790512163907442,0.482258053032548,0.780583776574999,2.12649937444695,-2.07055969160351,0.651987475617695,0.68883791999471,1.60728629410997,1.42141778148324,-0.510753159216392,-0.640014439267705,1.28289935934743,2.08664501679624,-1.62632661036771,"Petota","3"
"aemulans_48",6.48333333333337,9.8,0.562,2.93033333333333,13.8833333333333,-3.58333333333329,17.4666666666667,1440,316.3,13.7,96.3666666666667,180.966666666667,23.3666666666667,-73.6333333333333,254.566666666667,340,832.6,-269.333333333333,60.64,23.8966666666667,1.4742229591664,0.6,0.0461302503786832,0.467188755572449,1.00166528008778,1.12398102000582,0.30550504633039,749.788636883755,150.035095894261,4.27200187265877,2.02072594216369,155.673579432521,64.9363021224133,21.4089545128512,135.505436545304,43.3012701892219,327.628951712146,326.437334466101,11.6598284721517,2.93070526210558,5.95000000000004,9.8,0.566,2.759,13.95,-3.84999999999996,17.4,1801,396.7,13.2,95.2,263.6,50.9,-69.8,332.2,365,646.2,-132,63.3,23.24,0.391384366529689,0.999999999999993,0.85644603014995,0.382739059104326,0.604773625444431,0.636886845028962,0.178563823259113,0.0783078546762561,0.806082478518542,0,0.0877496348751824,0.281900147667715,0.70264919625567,0.00845662996245696,0,0.0160308628645872,0.287767783562558,0.620170955007344,0.62703444285985,1.41490780453698,-1.32995466491555e-14,-0.38726565556189,1.428343597496,-0.29817455220105,1.00753821078905,0.935219529582869,-1.66436335157878,-1.71896401009054,0.51947029714447,1.73205080756886,-1.71562323793478,-1.56499828536478,-0.779905744655344,-1.73189799514843,-1.73205080756888,1.73150169518917,-1.5580916544896,-0.973172244092976,0.957668691931864,"Petota","4 North"
"albicans",8.01363636363639,9.38181818181818,0.810681818181818,0.384136363636364,13.5409090909091,1.96818181818185,11.5727272727273,1376.40909090909,256.177272727273,14.9545454545455,70.1181818181818,147.522727272727,10.1227272727273,-81.7,229.227272727273,351.681818181818,1542.72777777778,-184.045454545455,76.6995454545455,13.6990909090909,4.40330454421344,1.09962606788739,0.0352249726940803,0.211457143120358,3.95629806413702,5.01736378927613,1.33280292480308,346.408465074577,52.0945379809236,12.8300141881942,13.0073106317228,59.9456971077291,34.1855710556116,18.1261715549118,57.9563479560114,36.0362071409884,1420.64438933454,215.687710154492,10.9653899143636,7.27919338093557,7.50000000000004,9.5,0.8185,0.3425,12.75,0.900000000000039,11.7,1372.5,246.45,9.95,68.95,144.85,13.9,-88.55,210.2,365,1538.25,-99,78.715,12.265,0.170029914003884,0.711257526589801,0.187934710725269,0.148194155590392,0.355733156069993,0.0783970179843438,0.598505766959311,0.045463878283315,0.00493524125037537,0.946891032596403,0.435069247753749,0.885869906210049,0.0725261194132804,0.364576937405816,3.34355743984389e-08,0.0136015824464801,0.0630578773145697,0.0753950830484489,0.266928583692078,0.8310804498676,-0.59394710474,-0.620125578643837,0.513656358573167,0.667003614733934,0.7331238611266,-1.15666205767325,-0.153248970371505,0.747547759100888,0.980094615187275,0.30268746922936,0.602205362249942,-0.0931084968823726,0.601529359788578,0.637711091650948,-3.46300891380508,NA,-0.898616995509898,-0.848487899570044,0.826970136154718,"Petota","4 North"
"albornozii",15.11,7.36,0.7482,0.4388,20.03,10.18,9.85,1076,192.91,38.31,49.59,79.8,-24.05,-82.71,162.53,351.5,3689.62,-349.8,84.368,3.897,2.5945241481928,0.291356978445495,0.0244258515147829,0.172434077580712,2.74784764254983,2.78410169035223,0.263523138347365,160.803537827306,27.9394762537406,10.4567309529423,5.72139260436944,36.089333604266,23.0623430437297,23.1034605392545,24.6458944067995,30.5405013420249,945.509466196223,231.682157755452,4.73962914629873,1.02142656232459,15,7.35,0.747,0.3935,20.1,10.15,9.9,1065,193.65,36.95,48.55,80.1,-25.2,-82.4,165.95,365,3634.75,-352,84.845,3.69,0.705777101150053,0.285527234329372,0.0391142907910381,0.0419091802355884,0.694079954471793,0.357463184573742,0.0458094587119315,0.0522499567506607,0.306657217904296,0.255555827464413,0.150683231363787,0.0911921890590472,0.811670069742298,0.565396083708012,8.12397740645017e-06,0.674152586575329,0.139468154942913,0.849960605518199,0.380015860985418,0.441550854102743,0.933975977853823,1.55872441797549,1.54211596496449,0.66673794716264,0.34487801200932,0.182147193225705,1.48125152990884,0.555807546758103,0.589375297969263,-0.319462971461331,0.174521243965166,0.267116229292972,0.194173452935141,-0.909084051280125,-2.31194104101045,0.488960217557657,-0.295387017290293,-0.213982002180973,-0.0393671668112357,"Petota","3"
"anceps",21.5953608247423,7.24587628865979,0.742067010309278,0.673829896907217,26.4432989690722,16.6216494845361,9.82164948453608,2654.4175257732,352.854639175258,105.746391752577,40.0912371134021,231.987113402062,102.095360824742,-11.6969072164948,243.687628865979,363.190721649485,6054.93505154639,37.5103092783505,78.4836082474227,8.65711340206186,4.31137838143295,0.82318004952904,0.0588267029382083,0.333839443481179,4.57614975425486,4.67948564119386,1.35269654345625,1122.48796381701,127.487175842409,85.2807774195087,17.0344264497512,130.450017382704,94.9175591519364,85.9943412448542,110.525507578281,12.5553578966016,1573.67760127501,159.252894319465,9.37230532581745,4.48712515342661,23.25,7.4,0.748,0.608,28.05,17.9,10,2440.5,323.1,72.7,41.5,202.7,81.05,-34,221.1,365,6648.05,95,77.66,8.54,5.7926262857469e-12,0.00244783943334529,0.000583737622849829,5.03516170710856e-14,6.20281362255145e-09,0.056899284643119,3.28685037249985e-10,5.97141894052492e-09,4.44259431383057e-14,9.59100641057398e-07,2.71367322651885e-08,3.27520847216871e-10,2.39120375826141e-11,2.27436653645657e-10,5.17587531903153e-29,5.85610635127368e-12,1.22464713701082e-09,0.0107215606845801,0.00505401811468405,-1.06397095654729,-0.385361012935698,-0.285246374304119,1.8251148791431,-0.899057268111797,-0.86375626671903,-0.427482103243233,1.46859121204866,1.20784996881828,1.79263721384376,-0.0830860714388081,1.12238901065387,1.44272062019643,1.57929104317088,1.31967189035511,-9.56661471721303,-1.0631711405375,-0.876235299663131,0.24676453116114,0.183928430853543,"Pteroidea",""
"andreanum_24",17.375,7.2375,0.8015,0.47225,21.9375,12.9,9.0375,3199,375.6125,164.9625,28.2,263.9375,148.7125,40.225,223.725,365,4516.925,114.5,89.15625,3.44,4.84731147868883,0.337797487937881,0.0219414806115852,0.197949308085248,4.80667318868853,4.79493780683633,0.506916448455054,1487.80202215982,143.679339776362,123.630150477717,13.0726541189724,142.060107374107,123.267704465873,127.461733753423,92.956114837671,0,1770.50764290116,108.619913985814,7.58786990155058,1.62681107867948,17.7,7.15,0.7975,0.5435,22.55,13.4,9.05,2869,385.25,123.2,28.45,266,115.7,-4.85,180.75,365,4639.75,120.5,92.16,3.37,0.955212687169462,0.698834236816353,0.915036367622505,0.191417596237455,0.9757665247761,0.812842413903493,0.340911037135308,0.446061344827615,0.0715782929457899,0.564105201881292,0.392120021972621,0.338405243793262,0.0908696590370707,0.043827631547133,NA,0.953223530459272,0.759887185059156,0.015604947316247,0.336537196728231,-0.103641018978513,0.42853318529251,0.132426705090342,-0.363226327099051,-0.0306812105814198,-0.283862600865847,0.374664421731127,0.196835400434176,-0.428908883117001,0.639735209438284,0.0903239234907124,-0.3429900614199,0.308295343299779,0.706947820530179,0.488609604901705,NA,-0.101678508629064,-0.261636173207174,-1.55413583528817,0.947082428478117,"Petota","3"
"andreanum_48",12.525,7.69375,0.8104375,0.4280625,17.19375,7.70000000000003,9.49375,2072.6875,256.41875,97.175,32.05625,148.3625,65.2125,-13.2,161.56875,357.1875,2741.28125,68.3125,87.05375,4.906875,6.37563068775682,0.75935828170897,0.0296782046851445,0.188476158969775,6.18621788063326,6.54868943631725,0.902196393992646,1067.72628944251,100.536402818415,78.6156769777292,12.978082485483,94.9052360691091,85.566612452911,75.4895754392618,50.7631719359616,31.25,2328.20405154381,184.410310178146,6.69199808228703,2.75248425669128,11.2,7.55,0.8165,0.458,15.8,7.15000000000004,9.25,1718.5,219.75,58.3,34,125.7,37.05,-40.6,164.3,365,2262.75,117.5,89.11,4.31,0.0384877731583935,0.115427930381168,0.460525374044762,0.1855481489945,0.0741917852850818,0.141957482365393,0.00065890138555818,0.138763143654225,0.000428010005622141,0.44437410454949,0.237395566243353,0.00109673861767912,0.000986329343591105,0.435704136773194,4.5531081654203e-08,0.0376497367269193,0.000756266881475754,0.641838817252578,0.282489079862078,0.891033928275397,1.00421125120926,-0.83613710727827,0.274375281390049,0.820111133577916,0.831398109564904,1.06262301313841,2.15349707465896,1.06107179633208,2.10634532310576,0.332041560296826,0.916071607255392,2.04469432615314,2.03494963625625,-0.132438135968024,-4,0.893336810871936,-2.41460809383799,-0.410210513027045,1.11548704168935,"Petota","3"
"appendiculatum",17.1357142857143,9.01785714285714,0.654785714285714,1.37307142857143,24.0714285714286,10.1071428571429,13.9642857142857,2203.42857142857,405.796428571429,28.85,78.7928571428571,278.375,59.3571428571429,-102.35,380.710714285714,346.321428571429,4430.9,-229.642857142857,71.9389285714286,14.6503571428571,3.97135244112635,2.04070677143585,0.0667568041436294,0.811461640935044,3.89028773027634,5.23000096108116,3.70047187038249,936.33281628764,155.152241797921,22.755862085609,11.7776602270264,159.697449189953,79.2293175655626,33.8283192781608,145.871722792946,23.8607900453296,1447.98520250266,209.004734003751,13.1362783892789,6.80365124312639,17.45,8.7,0.658,1.1915,24.2,9.85000000000002,13.5,1862.5,354.3,24.1,74.6,237.65,33.8,-102.7,336.2,365,4543.9,-220,72.81,12.685,0.628764630653081,0.0268299659346247,0.23836599579801,0.00914199958877817,0.311597591662304,0.0200600935348278,0.00509353167986892,0.041667547841393,0.0192088997209227,0.148765004278191,0.0487029805721427,0.00957856692592159,0.879703037446005,0.0679668778518293,1.93397357763014e-05,0.651042813476754,0.533036362427893,0.352860980130439,0.277713983995777,0.245938789241887,0.266050572930249,-0.422723743113431,1.36908350485898,0.0125428328753305,0.602211203561301,0.753948928954063,1.41722581613834,0.958871908422153,0.951457755093625,0.179243746322839,0.991128161223118,1.3616506155552,0.251778794467813,0.915283913649976,-0.748190103176071,0.240261787494473,-0.295870454317469,-0.182880627075886,0.167210095703216,"Anarrhichomenum",""
"arcanum",16.4178571428571,8.58928571428571,0.769821428571429,0.539857142857143,22.0821428571429,10.9607142857143,11.1214285714286,846.25,163.135714285714,12.2321428571429,72.9535714285714,43.8464285714286,-48.0285714285714,-105.007142857143,148.846428571429,249.535714285714,4170.61428571429,-662.178571428571,65.1210714285714,13.9367857142857,4.24822870028758,1.60331584322045,0.097754815575776,0.537134972642798,4.35847863122397,4.55804858226706,1.46625174506092,456.451419264031,79.6275599706427,13.2411550791722,18.8514756695765,85.7801474146331,47.3291066746916,28.3123703963536,69.9259422115991,128.348911649819,1549.76918752541,478.680830305108,15.7224181391686,7.18715678269562,16.55,8.85,0.798,0.3545,22.2,10.2,11.3,920.5,173.35,10,69.3,57.25,-39.5,-97.85,144.7,300.5,4218.5,-533.5,69.895,12.775,0.591778899795073,0.00037743511973396,6.9833926960881e-08,3.04556422557603e-06,0.135853609730565,0.284435436014403,0.599218986364467,0.452102028113675,2.19265900772365e-05,0.51276388722183,0.162174972324947,0.544428175264837,0.540048753003991,0.425966054265865,0.000197402336022136,0.598055663909078,0.0753736077875988,0.083917367928785,0.106783943462344,-0.250797845955304,-1.89992796127732,-3.78554295430087,2.2743103999064,-0.0320081423869194,-0.482479606343891,-0.746806886405994,-0.0525131116103851,-0.0186003934081606,2.22041943038137,-0.1906608536938,0.0909038919411307,-0.0451564590432505,-0.344271140068717,0.548799726021301,-0.77939463923136,-0.2502907006058,-0.702262544315997,-0.459868749933755,0.415339779295227,"Tomato",""
