Dataset,RESPECTSingle,RESPECTPaired,Number,LocoGSE,FCM,Level,Species,Clade,Accession,Ploidy,SpeciesLevel,Remove?
Extras,2.257294305,1.991805943,1,1.680981595,1.85,Species,Solanum acroscopicum 2x,Petota,,2,,
Extras,2.29152246,2.094939327,2,1.971370143,2.18,Species,Solanum albornozii,Petota,,2,,
Extras,2.282295589,2.486945358,3,1.63394683,1.74,Species,Solanum berthaultii,Petota,,2,,
Extras,3.060277235,3.124394237,4,1.942740286,1.8,Species,Solanum _blanco-galdosii,Petota,,2,,
Extras,1.860364779,1.749413313,5,1.531697342,1.53,Species,Solanum bulbocastanum,Petota,,2,,
Extras,1.838804479,1.719906779,6,1.525562372,1.55,Species,Solanum cardiophyllum,Petota,,2,,
Extras,2.196950818,2.668539233,7,1.650306748,1.72,Species,Solanum chacoense,Petota,,2,,
Extras,2.899556479,2.747608264,8,1.81595092,1.92,Species,Solanum chomatophilum,Petota,,2,,
Extras,2.091435096,2.068623524,9,1.539877301,1.64,Species,Solanum etuberosum,Etuberosum,,2,,
Extras,4.659324626,2.640771039,10,3.341513292,3.33,Species,Solanum hjertingii,Petota,,4,,
Extras,11.6875413,3.697508278,11,4.773006135,4.76,Species,Solanum iopetalum,Petota,,6,,
Extras,1.680754658,1.63133464,12,1.394683027,1.42,Species,Solanum jamesii,Petota,,2,,
Extras,2.463841847,2.764084851,13,1.652351738,1.75,Species,Solanum kurtzianum,Petota,,2,,
Extras,2.281782084,2.266056744,14,1.850715746,1.81,Species,Solanum laxissimum,Petota,,2,,
Extras,2.264860885,2.405656311,15,1.695296524,1.74,Species,Solanum medians,Petota,,2,,
Extras,2.539223325,2.663148006,16,1.670756646,1.68,Species,Solanum microdontum,Petota,,2,,
Extras,1.947516982,2.101813601,17,2.057259714,2.04,Species,Solanum mochiquense,Petota,,2,,Yes
Extras,2.202276456,2.190016413,18,1.824130879,1.84,Species,Solanum multiinterruptum,Petota,,2,,
Extras,1.596099419,1.503688521,19,1.496932515,1.61,Species,Solanum palustre,Etuberosum,,2,,Yes
Extras,2.507070174,2.41965845,20,1.791411043,1.91,Species,Solanum paucissectum,Petota,,2,,
Extras,1.933646933,1.781639039,21,2.022494888,2.18,Species,Solanum peruvianum,Tomato,,2,,
Extras,2.336640421,1.001739274,22,1.82208589,1.96,Species,Solanum pimpinellifolium,Tomato,,2,,
Extras,1.366845184,1.344398634,23,1.335378323,1.32,Species,Solanum pinnatisectum,Petota,,2,,
Extras,1.393037879,1.340945658,24,1.419222904,1.38,Species,Solanum polyadenium,Petota,,2,,
Extras,1.537762456,1.84533845,25,1.734151329,1.72,Species,Solanum raphanifolium,Petota,,2,,
Extras,2.362732618,2.426323239,26,1.570552147,1.77,Species,Solanum stenophyllidium,Petota,,2,,
Extras,2.118713035,2.470282311,27,1.570552147,1.7,Species,Solanum venturii,Petota,,2,,
Extras,2.12375656,2.492481231,28,1.664621677,1.68,Species,Solanum vernei,Petota,,2,,
Extras,1.862289063,1.828853434,29,1.539877301,1.63,Species,Solanum verrucosum,Petota,,2,,
Extras,2.330919346,1.943841427,30,1.971370143,1.76,Species,Solanum violaceimarmoratum,Petota,,2,,
Mine,2.902825221,3.636185278,12,2.613496933,2.57,Accession,Solanum basendopogon,Basarthrum,904750165,2,,
Mine,2.475977227,2.826854286,17,2.449897751,2.46,Species,Solanum caripense,Basarthrum,4644,2,,Yes
Mine,2.195654632,2.689248716,10,2.447852761,2.63,Species,Solanum suaveolens,Basarthrum,4829,2,,Yes
MayBGI,2.029298755,2.377979016,sorted_96_merged.tsv,1.54192229,1.93,Accession,Solanum immite,Petota,PI 498245,2,1.9,
MayBGI,13.56796023,14.11021441,sorted_105_merged.tsv,3.558282209,4.72,Accession,Solanum albicans,Petota,PI 365308,6,4.67,
MayBGI,6.766046851,7.679698609,sorted_110_merged.tsv,3.685071575,3.28,Accession,Solanum brevicaule,Petota,PI 546008,4,3.26,
MayBGI,2.259981313,2.606209221,sorted_113_merged.tsv,2.36809816,2.63,Accession,Solanum suaveolens,Basarthrum,834750004,2,2.63,
MayBGI,2.859154861,3.364562313,sorted_289_merged.tsv,2.188139059,2.44,Accession,Solanum caripense,Basarthrum,35,2,2.46,
MayBGI,2.014792984,2.463352413,sorted_290_merged.tsv,1.762781186,2.32,Accession,Solanum habrochaites,Tomato,10736,2,2.26,
MayBGI,1.949463714,2.357179262,sorted_291_merged.tsv,1.603271984,2.04,Accession,Solanum mochiquense,Petota,PI 283114,2,2.04,
MayBGI,2.394801425,3.081340881,sorted_292_merged.tsv,1.582822086,1.97,Accession,Solanum montanum,Regmandra,P2M-1013,2,1.97,
MayBGI,1.479736873,1.598276814,sorted_293_merged.tsv,1.18609407,1.61,Accession,Solanum palustre,Etuberosum,PI 558168,2,1.61,
MayBGI,2.350662636,2.947998061,sorted_294_merged.tsv,2.216768916,2.63,Accession,Solanum pennellii,Tomato,PI 246502,2,2.65,
MayBGI,2.004879867,2.133352787,sorted_295_merged.tsv,1.942740286,2.3,Accession,Solanum trachycarpum,Basarthrum,A44750223,2,2.3,
