Species,Clade,sample,RESPECT,LocoGSE,LocoGSECoverage,RESPECTCoverage
Solanum appendiculatum,Anarrhichomenum,BGI-20-unclassSeqs_1.fastq,1.664982914,1.419222904,5.051618911,3.58
Solanum chimborazense,Anarrhichomenum,BGI-28-unclassSeqs_1.fastq,2.066901564,1.605316973,4.133601935254830,2.66
Solanum complectens,Anarrhichomenum,BGI-27-unclassSeqs_1.fastq,2.210597978,2.137014315,3.343016105913980,2.65
Solanum skutchii,Anarrhichomenum,BGI-19-unclassSeqs_1.fastq,1.371194031,1.139059305,4.687596687596690,3.23
Solanum sodiroi,Anarrhichomenum,Tepe-11-unclassSeqs_1.fastq,2.067203309,1.501022495,4.217067405267310,3.72
Solanum taeniotrichum,Articulatum,BGI-25-unclassSeqs_1.fastq,1.945863288,2.300613497,3.110720449,3.05
Solanum basendopogon,Basarthrum,BGI-12-unclassSeqs_1.fastq,2.553967855,2.45398773,2.914760893843510,2.31
Solanum basendopogon,Basarthrum,BGI-2-unclassSeqs_1.fastq,2.902825221,2.613496933,2.740904765,2.02
Solanum caripense,Basarthrum,BGI-17-unclassSeqs_1.fastq,2.475977227,2.449897751,2.922677857449690,2.41
Solanum suaveolens,Basarthrum,BGI-10-unclassSeqs_1.fastq,2.195654632,2.447852761,2.9164046529485600,2.66
Solanum tabanoense,Basarthrum,BGI-14-unclassSeqs_1.fastq,2.665292532,2.306748466,3.1007721455637400,2.22
Solanum crassinervium,Herpystichum,Tepe-2-unclassSeqs_1.fastq,2.932490818,1.54192229,2.3667053969241500,1.5
Solanum dalibardiforme,Herpystichum,Tepe-3-unclassSeqs_1.fastq,3.713956493,0.652351738,5.157947814001580,1.18
Solanum evolvulifolium,Herpystichum,BGI-6-unclassSeqs_1.fastq,3.429855609,2.335378323,3.0603492400976500,1.71
Solanum evolvulifolium,Herpystichum,Tepe-14,3.190512943,1.885480573,2.379778892514490,1.83
Solanum evolvulifolium,Herpystichum,Tepe-4-unclassSeqs_1.fastq,3.730024022,2.619631902,2.4884144479887100,2.14
Solanum limoncochaense,Herpystichum,Tepe-5-unclassSeqs_1.fastq,3.05517345,0.72597137,4.472409716987600,1.38
Solanum loxophyllum,Herpystichum,BGI-8-unclassSeqs_1.fastq,3.85735616,2.040899796,3.496437054631830,1.5
Solanum pacificum,Herpystichum,BGI-30-unclassSeqs_1.fastq,4.641875892,2.660531697,2.0051458135596400,0.98
Solanum pacificum,Herpystichum,Tepe-7-unclassSeqs_1.fastq,3.258370953,2.646216769,1.8098193972418100,1.78
Solanum pentaphyllum,Herpystichum,BGI-23-unclassSeqs_1.fastq,2.6246442,3.670756646,1.9439031770045400,2.24
Solanum pentaphyllum,Herpystichum,Tepe-8-unclassSeqs_1.fastq,4.058157303,0.494887526,5.060212896204600,0.8
Solanum phaseoloides,Herpystichum,BGI-21-unclassSeqs_1.fastq,3.842206601,1.877300613,3.4031784798116500,1.33
Solanum phaseoloides,Herpystichum,Tepe-9-unclassSeqs_1.fastq,2.505958873,0.936605317,3.6274815069671400,1.76
Solanum trifolium,Herpystichum,Tepe-12-unclassSeqs_1.fastq,2.705347716,2.535787321,1.9952827601338400,2.31
Solanum trifolium,Herpystichum,Tepe-15,2.682678151,2.298568507,1.8486377595860400,1.93
Solanum oxycoccoides,oxycoccoides,BGI-16-unclassSeqs_1.fastq,2.084254963,1.81799591,3.927243634489200,2.83
Solanum anceps,Pteroidea,BGI-9-unclassSeqs_1.fastq,3.435235761,2.130879346,3.360053464675780,1.72
Solanum anceps,Pteroidea,Tepe-1-unclassSeqs_1.fastq,3.25674273,2.693251534,2.103048793273360,2.13
Solanum anceps,Pteroidea,Tepe-13,3.073515933,2.343558282,1.944685832192580,1.92
Solanum chamaepolybotryon,Pteroidea,BGI-13-unclassSeqs_1.fastq,3.207444982,2.096114519,3.4186896227198500,1.83
Solanum conicum,Pteroidea,BGI-4-unclassSeqs_1.fastq,2.871385763,2.406952965,2.9747040393632900,2.08
Solanum incurvum,Pteroidea,BGI-18-unclassSeqs_1.fastq,2.792295626,2.36605317,3.016773791707400,2.09
Solanum mite,Pteroidea,Tepe-6-unclassSeqs_1.fastq,3.333620593,2.413087935,2.3898003558015400,2.1
Solanum savanillense,Pteroidea,Tepe-10-unclassSeqs_1.fastq,3.251216765,2.411042945,1.744096217097890,1.56
Solanum ternatum,Pteroidea,BGI-3-unclassSeqs_1.fastq,3.049615822,2.521472393,2.8329083531864200,1.95
Solanum trizygum,Pteroidea,BGI-24-unclassSeqs_1.fastq,2.45170598,2.3599182,3.032257702326420,2.42
Solanum brachyantherum,Regmandra,BGI-5-unclassSeqs_1.fastq,1.633622037,1.617586912,4.413517087062650,3.63
Solanum multifidum,Regmandra,BGI-26-unclassSeqs_1.fastq,3.78552664,2.259713701,3.168681868359320,1.51
Solanum trinominum,Regmandra,BGI-29-unclassSeqs_1.fastq,2.440343254,2.038854806,3.5073210384595800,2.42
