BRAHMS,MASTER,gbifID,SarkID,ACCESSION,DETBY,DETDATE,LATDEC,LONGDEC,ALT,SP1,Species,roots,basisOfRecord,Ploidy,Source,countryCode,COUNTRY
,1,,1,CIP 763516,,,-9.8972,-77.7447,4200,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,2,,2,CIP 761464,,,-8.4544,-77.6961,4100,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,3,,3,CIP 762478,,,-9.7586,-77.4428,3512,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,4,,4,CIP 763001,,,-9.9111,-77.3172,3676,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,5,,5,CIP 761057,,,-9.8831,-77.2947,4247,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,6,,6,CIP 762417,,,-10.1914,-77.2319,4146,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,7,,7,CIP 761426,,,-10.3794,-77.215,3942,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,8,,8,CIP 762415,,,-10.0847,-77.1939,4257,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,9,,9,CIP 762416,,,-10.0847,-77.1939,4257,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,10,,10,CIP 762411,,,-10.1078,-77.1867,4165,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,11,,11,CIP 762412,,,-10.1078,-77.1867,4165,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,12,,12,CIP 762413,,,-10.1078,-77.1867,4165,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,13,,13,CIP 762414,,,-10.1078,-77.1867,4165,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,14,,14,CIP 761438,,,-9.4564,-77.0772,4140,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,15,,15,CIP 764217,,,-10.4617,-76.945,NA,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,16,,16,CIP 761508,,,-10.555,-76.8822,4741,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,17,,17,CIP 761509,,,-10.5761,-76.7675,3947,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,18,,18,CIP 761511,,,-10.5761,-76.7675,3947,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,19,,19,CIP 761513,,,-10.6697,-76.7581,4100,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,20,,20,CIP 762065,,,-11.8092,-76.6306,1609,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,21,,21,CIP 763409,,,-11.7861,-76.6267,3051,acaule,acaule,tuberous,germplasm,72,SŠrkinen,,
,22,,22,CIP 764010,,,-11.4669,-76.6239,2833,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,23,,23,CIP 763202,,,-11.45,-76.6011,3173,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,24,,24,CIP 761200,,,-11.4061,-76.5761,3643,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
