Species,oldLabel
S._acaule_4x,acaule_48
S._acroscopicum_2x,acroscopicum_24
S._albicans_6x,albicans
S._albornozii_2x,albornozii
S._anceps_2x,anceps
S._andreanum_2x,andreanum_24
S._andreanum_4x,andreanum_48
S._appendiculatum_2x,appendiculatum
S._arcanum_2x,arcanum
S._basendopogon_2x,basendopogon
S._berthaultii_2x,berthaultii
S._boliviense_2x,boliviense
S._brachyantherum_2x,brachyantherum
S._brevicaule_2x,brevicaule_24
S._brevicaule_4x,brevicaule_48
S._bulbocastanum_2x,bulbocastanum_24
S._candolleanum_2x,candolleanum_24
S._cardiophyllum_2x,cardiophyllum_24
S._caripense_2x,caripense
S._chacoense_2x,chacoense_24
S._chamaepolybotryon_2x,chamaepolybotryon
S._chimborazense_2x,chimborazense
S._chomatophilum_2x,chomatophilum
S._clarum_2x,clarum
S._colombianum_4x,colombianum
S._commersonii_2x,commersonii_24
S._complectens_2x,complectens
S._conicum_2x,conicum
S._crassinervium_2x,crassinervium
S._demissum_6x,demissum
S._dolichocremastrum_2x,dolichocremastrum
S._ehrenbergii_2x,ehrenbergii
S._etuberosum_2x,etuberosum
S._evolvulifolium_2x,evolvulifolium
S._flahaultii_4x,flahaultii
S._gandarillasii_2x,gandarillasii
S._guerreroense_6x,guerreroense
S._habrochaites_2x,habrochaites
S._hjertingii_4x,hjertingii
S._hougasii_6x,hougasii
S._huancabambense_2x,huancabambense
S._immite_2x,immite_24
S._incurvum_2x,incurvum
S._infundibuliforme_2x,infundibuliforme
S._iopetalum_6x,iopetalum
S._jamesii_2x,jamesii
S._kurtzianum_2x,kurtzianum
S._laxissimum_2x,laxissimum
S._lesteri_2x,lesteri
S._lignicaule_2x,lignicaule
S._longiconicum_4x,longiconicum
S._loxophyllum_2x,loxophyllum
S._medians_2x,medians_24
S._microdontum_2x,microdontum_24
S._mite_2x,mite
S._mochiquense_2x,mochiquense
S._morelliforme_2x,morelliforme
S._multifidum_2x,multifidum
S._multiinterruptum_2x,multiinterruptum_24
S._neocardenasii_2x,neocardenasii
S._neorickii_2x,neorickii
S._neorossii_2x,neorossii
S._okadae_2x,okadae
S._oxycarpum_4x,oxycarpum
S._oxycoccoides_2x,oxycoccoides
S._pacificum_2x,pacificum
S._palustre_2x,palustre
S._paucissectum_2x,paucissectum
S._pennellii_2x,pennellii
S._peruvianum_2x,peruvianum
S._pimpinellifolium_2x,pimpinellifolium
S._pinnatisectum_2x,pinnatisectum
S._piurae_2x,piurae
S._polyadenium_2x,polyadenium
S._raphanifolium_2x,raphanifolium
S._savanillense_2x,savanillense
S._schenckii_6x,schenckii
S._skutchii_2x,skutchii
S._sodiroi_2x,sodiroi
S._stenophyllidium_2x,stenophyllidium
S._stipuloideum_2x,stipuloideum
S._stoloniferum_4x,stoloniferum
S._suaveolens_2x,suaveolens
S._tabanoense_2x,tabanoense
S._taeniotrichum_2x,taeniotrichum
S._tarnii_2x,tarnii
S._ternatum_2x,ternatum
S._trachycarpum_2x,trachycarpum
S._trifidum_2x,trifidum
S._trifolium_2x,trifolium
S._trinominum_2x,trinominum
S._trizygum_2x,trizygum
S._venturii_2x,venturii
S._vernei_2x,vernei
S._verrucosum_2x,verrucosum_24
S._violaceimarmoratum_2x,violaceimarmoratum
S._x-aemulans_4x,aemulans_48
S._x-doddsii_2x,doddsii
S._x-blanco-galdosii_2x,blanco-galdosii
S._chilense_2x,chilense
