Species,oldLabel
S._acroscopicum,S._acroscopicum_2x
S._albornozii,S._albornozii_2x
S._anceps,S._anceps_2x
S._andreanum,S._andreanum_2x
S._appendiculatum,S._appendiculatum_2x
S._arcanum,S._arcanum_2x
S._basendopogon,S._basendopogon_2x
S._berthaultii,S._berthaultii_2x
S._boliviense,S._boliviense_2x
S._brachyantherum,S._brachyantherum_2x
S._brevicaule,S._brevicaule_2x
S._bulbocastanum,S._bulbocastanum_2x
S._candolleanum,S._candolleanum_2x
S._cardiophyllum,S._cardiophyllum_2x
S._caripense,S._caripense_2x
S._chacoense,S._chacoense_2x
S._chamaepolybotryon,S._chamaepolybotryon_2x
S._chimborazense,S._chimborazense_2x
S._chomatophilum,S._chomatophilum_2x
S._clarum,S._clarum_2x
S._commersonii,S._commersonii_2x
S._complectens,S._complectens_2x
S._conicum,S._conicum_2x
S._crassinervium,S._crassinervium_2x
S._dolichocremastrum,S._dolichocremastrum_2x
S._ehrenbergii,S._ehrenbergii_2x
S._etuberosum,S._etuberosum_2x
S._evolvulifolium,S._evolvulifolium_2x
S._gandarillasii,S._gandarillasii_2x
S._habrochaites,S._habrochaites_2x
S._huancabambense,S._huancabambense_2x
S._immite,S._immite_2x
S._incurvum,S._incurvum_2x
S._infundibuliforme,S._infundibuliforme_2x
S._jamesii,S._jamesii_2x
S._kurtzianum,S._kurtzianum_2x
S._laxissimum,S._laxissimum_2x
S._lesteri,S._lesteri_2x
S._lignicaule,S._lignicaule_2x
S._loxophyllum,S._loxophyllum_2x
S._medians,S._medians_2x
S._microdontum,S._microdontum_2x
S._mite,S._mite_2x
S._mochiquense,S._mochiquense_2x
S._morelliforme,S._morelliforme_2x
S._multifidum,S._multifidum_2x
S._multiinterruptum,S._multiinterruptum_2x
S._neocardenasii,S._neocardenasii_2x
S._neorickii,S._neorickii_2x
S._neorossii,S._neorossii_2x
S._okadae,S._okadae_2x
S._oxycoccoides,S._oxycoccoides_2x
S._pacificum,S._pacificum_2x
S._palustre,S._palustre_2x
S._paucissectum,S._paucissectum_2x
S._pennellii,S._pennellii_2x
S._peruvianum,S._peruvianum_2x
S._pimpinellifolium,S._pimpinellifolium_2x
S._pinnatisectum,S._pinnatisectum_2x
S._piurae,S._piurae_2x
S._polyadenium,S._polyadenium_2x
S._raphanifolium,S._raphanifolium_2x
S._savanillense,S._savanillense_2x
S._skutchii,S._skutchii_2x
S._sodiroi,S._sodiroi_2x
S._stenophyllidium,S._stenophyllidium_2x
S._stipuloideum,S._stipuloideum_2x
S._suaveolens,S._suaveolens_2x
S._tabanoense,S._tabanoense_2x
S._taeniotrichum,S._taeniotrichum_2x
S._tarnii,S._tarnii_2x
S._ternatum,S._ternatum_2x
S._trachycarpum,S._trachycarpum_2x
S._trifidum,S._trifidum_2x
S._trifolium,S._trifolium_2x
S._trinominum,S._trinominum_2x
S._trizygum,S._trizygum_2x
S._venturii,S._venturii_2x
S._vernei,S._vernei_2x
S._verrucosum,S._verrucosum_2x
S._violaceimarmoratum,S._violaceimarmoratum_2x
S._x-doddsii,S._x-doddsii_2x
S._x-blanco-galdosii,S._x-blanco-galdosii_2x
S._chilense,S._chilense_2x
