"","niche1","niche2","niche4","niche12","niche15","bio1_annMeanT","bio2_MeanDiTRange","bio4_TempSeas","bio12_AnnMeanPrecip","bio15_PrecipSeas"
"niche1",1,0.46877665327831,0.434511434200368,0.463710326842507,0.556401427157672,-0.195738733295502,0.0722938253857793,0.0130970093471017,0.0741080452778296,-0.0410219524585589
"niche2",0.46877665327831,1,0.636530793317894,0.177649148410821,0.664038916009267,-0.229338486760944,0.159411000167159,0.267256694759177,-0.319799617098434,0.321250336290973
"niche4",0.434511434200368,0.636530793317894,1,-0.0310422519256792,0.537995952380734,-0.122033771511147,0.417956149071112,0.685554540227302,-0.421477176337397,0.364605329017232
"niche12",0.463710326842507,0.177649148410821,-0.0310422519256792,1,0.316677188165063,0.126742043345789,-0.342449711109113,-0.296432080827439,0.617778475786267,-0.448050636035085
"niche15",0.556401427157672,0.664038916009267,0.537995952380734,0.316677188165063,1,0.00327080061400189,-0.103118652684391,0.0834933273961803,-0.232322348723236,0.0290266134961726
"bio1_annMeanT",-0.195738733295502,-0.229338486760944,-0.122033771511147,0.126742043345789,0.00327080061400189,1,-0.303600948897112,-0.149119483756932,0.159150296260503,-0.259734685668421
"bio2_MeanDiTRange",0.0722938253857793,0.159411000167159,0.417956149071112,-0.342449711109113,-0.103118652684391,-0.303600948897112,1,0.56387268148622,-0.514154661954405,0.632606347467277
"bio4_TempSeas",0.0130970093471017,0.267256694759177,0.685554540227302,-0.296432080827439,0.0834933273961803,-0.149119483756932,0.56387268148622,1,-0.404356286460639,0.328847855142275
"bio12_AnnMeanPrecip",0.0741080452778296,-0.319799617098434,-0.421477176337397,0.617778475786267,-0.232322348723236,0.159150296260503,-0.514154661954405,-0.404356286460639,1,-0.622137609837219
"bio15_PrecipSeas",-0.0410219524585589,0.321250336290973,0.364605329017232,-0.448050636035085,0.0290266134961726,-0.259734685668421,0.632606347467277,0.328847855142275,-0.622137609837219,1
