"SP1";"niche.bio1me";"niche.bio2me";"niche.bio4me";"niche.bio12me";"niche.bio15me"
"1";"acaule_48";0.684563049853371;0.648976878612717;0.396381969775925;0.277018915510719;0.622738586156112
"2";"albicans";0.428202346041055;0.210670520231214;0.0652634705575821;0.110581441782261;0.307217967599411
"3";"albornozii";0.185114369501466;0.0404104046242774;0.0412465867639395;0.0392857292980244;0.099020618556701
"4";"anceps";0.541642228739002;0.274335260115607;0.185380823345492;0.649851513240858;0.441858615611193
"5";"andreanum_48";0.511228739002931;0.13014450867052;0.0558674309536217;0.316835014712064;0.274450662739323
"6";"appendiculatum";0.398633431085044;0.455936416184971;0.293322668056279;0.343736759142497;0.27509351988218
"7";"arcanum";0.416005865102639;0.333225433526012;0.19290755601876;0.162376418663304;0.483852724594993
"8";"basendopogon";0.507448680351905;0.245618497109827;0.0788932777488275;0.266146069777217;0.526502209131075
"9";"berthaultii";0.622929618768327;0.41364161849711;0.329706305367379;0.1709745691467;0.39169734904271
"10";"boliviense";0.58331964809384;0.652445086705202;0.413472016675352;0.310085645229088;0.541245213549337
"11";"brachyantherum";0.189838709677419;0.528208092485549;0.152126003126628;0.00790321563682219;0.671174521354934
"12";"brevicaule_24";0.609753665689148;0.629763005780347;0.361993955184992;0.360860025220681;0.571427835051546
"13";"brevicaule_48";0.425595307917887;0.34049710982659;0.164079729025534;0.148420239596469;0.334236377025037
"14";"bulbocastanum_24";0.392055718475073;0.246982658959538;0.160504950495049;0.146831126523749;0.262226067746686
"15";"candolleanum_24";0.514894428152492;0.493508670520231;0.18379145388223;0.334255674653216;0.465378497790869
"16";"caripense";0.580111436950145;0.296815028901734;0.12620917144346;0.532679382093317;0.665323269513991
"17";"chacoense_24";0.364809384164222;0.139393063583815;0.300513496612819;0.135438104245481;0.609321060382916
"18";"chilense";0.533087976539588;0.806098265895954;0.366437832204273;0.0747846784363178;0.924721649484536
"19";"chomatophilum";0.628510263929618;0.259450867052023;0.156653673788431;0.191567150063052;0.546488217967599
"20";"colombianum";0.659413489736069;0.299121387283237;0.0985861386138614;0.544519020596889;0.565929307805596
"21";"commersonii_24";0.160046920821114;0.380034682080925;0.139920687858259;0.0665016813787306;0.183578792341679
"22";"conicum";0.406231671554252;0.173369942196532;0.068531735278791;0.330636612021858;0.276754050073638
"23";"crassinervium";0.424202346041055;0.202156069364162;0.0173242313705055;0.684326187473729;0.389166421207658
"24";"demissum";0.673677419354838;0.47106936416185;0.336246899426785;0.22505884825557;0.330054491899853
"25";"doddsii";0.220900293255131;0.263161849710983;0.0698930693069307;0.137223203026482;0.18279528718704
"26";"dolichocremastrum";0.469615835777125;0.198549132947977;0.0516401250651381;0.252180538041194;0.407158321060383
"27";"ehrenbergii";0.193472140762463;0.22550289017341;0.158441479937467;0.0730527532576713;0.363430044182621
"28";"etuberosum";0.518299120234603;0.394450867052023;0.337134653465346;0.335883039092055;0.331646539027982
"29";"evolvulifolium";0.490835777126099;0.226433526011561;0.0729614382490881;0.689671605716688;0.554217967599411
"30";"flahaultii";0.211093841642228;0.178057803468208;0.035521834288692;0.21654613282892;0.0994506627393225
"31";"gandarillasii";0.131894428152493;0.187231213872832;0.0838221990620115;0.0461704497688104;0.165084683357879
"32";"habrochaites";0.589445747800585;0.375421965317919;0.233737467430954;0.221195670449769;0.749553755522828
"33";"hjertingii";0.258964809384163;0.148;0.125519228764982;0.0734482976040353;0.172964653902798
"34";"hougasii";0.386252199413489;0.122658959537572;0.0902344971339239;0.0919889659520807;0.0838946980854198
"35";"incurvum";0.363387096774193;0.0518901734104046;0.0554195935383012;0.270712484237074;0.146710603829161
"36";"infundibuliforme";0.395187683284456;0.625393063583815;0.319875143303804;0.225661202185792;0.493221649484536
"37";"iopetalum";0.489847507331377;0.321664739884393;0.241404168837936;0.178212904581757;0.310124447717231
"38";"jamesii";0.543316715542521;0.204121387283237;0.683869723814487;0.0508358554014292;0.507014727540501
"39";"kurtzianum";0.702958944281524;0.319982658959538;0.405578530484627;0.0998463640184952;0.655230486008836
"40";"laxissimum";0.540384164222873;0.233398843930636;0.069920062532569;0.335527847835225;0.327325478645066
"41";"longiconicum";0.480636363636362;0.182225433526012;0.0408111516414799;0.136741277847835;0.24960824742268
"42";"loxophyllum";0.331697947214076;0.160410404624277;0.0572359562272017;0.506451555275326;0.415935198821797
"43";"medians_24";0.431140762463342;0.246774566473988;0.0833600833767587;0.0954417822614544;0.350888807069219
"44";"microdontum_24";0.50432551319648;0.273884393063584;0.252053256904638;0.200160571668768;0.312320324005891
"45";"mite";0.537812316715542;0.182109826589595;0.190743408025013;0.508257250945776;0.452565537555228
"46";"mochiquense";0.362636363636363;0.315959537572254;0.234010838978635;0.164401849516604;0.333296023564065
"47";"morelliforme";0.484900293255131;0.41106936416185;0.20197113079729;0.344468053804119;0.330179675994109
"48";"multifidum";0.31949560117302;0.338387283236994;0.261459614382491;0.0696372425388819;0.675278350515464
"49";"multiinterruptum_24";0.510580645161289;0.225843930635838;0.0500986972381449;0.133082597730139;0.306242268041237
"50";"neorickii";0.407354838709677;0.165485549132948;0.0845057842626368;0.17331683480454;0.412737849779087
"51";"neorossii";0.223387096774192;0.454543352601156;0.206321417404898;0.150534258091635;0.271941089837997
"52";"okadae";0.363712609970673;0.277017341040462;0.0510361646690985;0.247853614964271;0.213947717231222
"53";"oxycarpum";0.376630498533724;0.351728323699422;0.0966206357477853;0.286703551912568;0.205511045655376
"54";"oxycoccoides";0.314395894428151;0.0824682080924855;0.0538240750390829;0.115459226565784;0.15739764359352
"55";"palustre";0.311683284457477;0.43635838150289;0.321376341844711;0.330317780580076;0.330832842415317
"56";"pennellii";0.508146627565981;0.480433526011561;0.275149661281918;0.101744955863808;0.72670324005891
"57";"peruvianum";0.486873900293254;0.498647398843931;0.306672850442939;0.137713219840269;0.788575110456554
