"SP1","Specimens"
"acroscopicum_24",5
"aemulans_48",3
"albicans",22
"albornozii",10
"andreanum_24",8
"andreanum_48",16
"appendiculatum",28
"arcanum",28
"basendopogon",28
"blanco-galdosii",7
"brachyantherum",14
"brevicaule_48",30
"bulbocastanum_24",16
"cardiophyllum_24",5
"chacoense_24",19
"chamaepolybotryon",3
"chimborazense",4
"clarum",9
"commersonii_24",22
"complectens",7
"conicum",26
"crassinervium",11
"doddsii",10
"dolichocremastrum",18
"flahaultii",17
"gandarillasii",10
"guerreroense",3
"hjertingii",14
"hougasii",17
"huancabambense",6
"immite_24",5
"incurvum",11
"laxissimum",28
"lesteri",5
"lignicaule",8
"longiconicum",17
"loxophyllum",13
"medians_24",16
"microdontum_24",29
"mochiquense",22
"morelliforme",30
"multiinterruptum_24",18
"neocardenasii",5
"neorickii",20
"neorossii",14
"okadae",10
"oxycarpum",20
"oxycoccoides",10
"pacificum",3
"paucissectum",9
"pinnatisectum",22
"piurae",5
"polyadenium",24
"savanillense",6
"schenckii",13
"skutchii",2
"sodiroi",9
"suaveolens",32
"tabanoense",14
"taeniotrichum",7
"tarnii",6
"trachycarpum",4
"trifidum",14
"trifolium",3
"trinominum",9
"trizygum",20
"venturii",26
"verrucosum_24",11
"violaceimarmoratum",33
"acaule_48",182
"anceps",194
"berthaultii",75
"boliviense",167
"brevicaule_24",107
"candolleanum_24",131
"caripense",73
"chilense",72
"chomatophilum",62
"colombianum",136
"demissum",62
"ehrenbergii",46
"etuberosum",38
"evolvulifolium",42
"habrochaites",85
"infundibuliforme",83
"iopetalum",65
"jamesii",150
"kurtzianum",82
"mite",107
"multifidum",35
"palustre",58
"pennellii",36
"peruvianum",45
"pimpinellifolium",107
"raphanifolium",41
"stenophyllidium",45
"stipuloideum",41
"stoloniferum",304
"ternatum",56
"vernei",39
