"BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
NA,9,NA,9,"CIP 762416","","",-10.0847,-77.1939,4257,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,11,NA,11,"CIP 762412","","",-10.1078,-77.1867,4165,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,12,NA,12,"CIP 762413","","",-10.1078,-77.1867,4165,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,13,NA,13,"CIP 762414","","",-10.1078,-77.1867,4165,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,18,NA,18,"CIP 761511","","",-10.5761,-76.7675,3947,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,27,NA,27,"CIP 764011","","",-11.0042,-76.3669,4295,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,30,NA,30,"CIP 762075","","",-12.2078,-76.3492,3873,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,31,NA,31,"CIP 762076","","",-12.2078,-76.3492,3873,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,35,NA,35,"CIP 765844","","",-11.6663,-76.2515,4046,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,37,NA,37,"CIP 761858","","",-10.7014,-76.2467,4000,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,39,NA,39,"CIP 765840","","",-11.6091,-76.2401,4386,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,40,NA,40,"CIP 765841","","",-11.6091,-76.2401,4386,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,42,NA,42,"CIP 761213","","",-12.1375,-76.2319,3044,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,43,NA,43,"CIP 761214","","",-12.1375,-76.2319,3044,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,54,NA,54,"CIP 761853","","",-10.8558,-75.91,4179,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,55,NA,55,"CIP 762250","","",-10.8558,-75.91,4179,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,58,NA,58,"CIP 761228","","",-11.6053,-75.8567,3600,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,59,NA,59,"CIP 761490","","",-11.6053,-75.8567,3700,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,62,NA,62,"CIP 761856","","",-10.7661,-75.7953,4200,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,63,NA,63,"CIP 765660","","",-10.7661,-75.7953,4001,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,69,NA,69,"CIP 765782","","",-13.4083,-74.9388,4077,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,75,NA,75,"CIP 761227","","",-14.4872,-74.3044,4000,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,76,NA,76,"CIP 761832","","",-14.4872,-74.3044,3800,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,77,NA,77,"CIP 762043","","",-14.4872,-74.3044,4000,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,78,NA,78,"CIP 762044","","",-14.4872,-74.3044,3950,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,82,NA,82,"CIP 761150","","",-13.3694,-74.1656,3900,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,83,NA,83,"CIP 761151","","",-13.3694,-74.1656,3900,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,85,NA,85,"CIP 761828","","",-14.6908,-74.1258,3242,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,86,NA,86,"CIP 761829","","",-14.6908,-74.1258,3242,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,87,NA,87,"CIP 762036","","",-14.6908,-74.1258,3242,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
