"BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
NA,320,NA,320,"CIP 760313","","",-16.5,-68.15,3911,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,321,NA,321,"CIP 760561","","",-16.5,-68.15,3911,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,322,NA,322,"CIP 760599","","",-16.5,-68.15,3911,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,714,NA,714,"473516","","",-16.5,-68.15,NA,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,798,NA,798,"PI 473323","","",-16.5,-68.15,NA,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,1052,NA,1269,"CIP 763764","","",-0.2111,-78.5225,3660,"andreanum","andreanum","tuberous","germplasm",NA,"SŠrkinen","",""
NA,1082,NA,1299,"CIP 762788","","",-0.2111,-78.5225,2958,"andreanum","andreanum","tuberous","germplasm",NA,"SŠrkinen","",""
NA,1083,NA,1300,"CIP 761609","","",-0.2169,-78.5,2848,"andreanum","andreanum","tuberous","germplasm",NA,"SŠrkinen","",""
NA,1084,NA,1301,"CIP 763784","","",-0.2169,-78.5,2848,"andreanum","andreanum","tuberous","germplasm",NA,"SŠrkinen","",""
NA,1543,NA,2109,"CIP 760327","","",-16.5833,-68.1167,3458,"brevicaule","brevicaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,1544,NA,2110,"CIP 760326","","",-16.5333,-68.1,3343,"brevicaule","brevicaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,1599,NA,2165,"CIP 760324","","",-16.55,-68.1,3459,"brevicaule","brevicaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,2075,NA,2641,"PI 473384","","",-16.55,-68.1,NA,"brevicaule","brevicaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,3533,NA,4192,"PI 414153","","",-25.35,-57.65,NA,"chacoense","chacoense","tuberous","germplasm",NA,"SŠrkinen","",""
