"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"7",NA,1,NA,1,"CIP 763516","","",-9.8972,-77.7447,4200,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"8",NA,2,NA,2,"CIP 761464","","",-8.4544,-77.6961,4100,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"9",NA,3,NA,3,"CIP 762478","","",-9.7586,-77.4428,3512,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"10",NA,5,NA,5,"CIP 761057","","",-9.8831,-77.2947,4247,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"11",NA,6,NA,6,"CIP 762417","","",-10.1914,-77.2319,4146,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"12",NA,14,NA,14,"CIP 761438","","",-9.4564,-77.0772,4140,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"13",NA,15,NA,15,"CIP 764217","","",-10.4617,-76.945,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"14",NA,17,NA,17,"CIP 761509","","",-10.5761,-76.7675,3947,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"15",NA,20,NA,20,"CIP 762065","","",-11.8092,-76.6306,1609,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"16",NA,24,NA,24,"CIP 761200","","",-11.4061,-76.5761,3643,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"17",NA,26,NA,26,"CIP 761859","","",-11.0042,-76.3669,4295,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"18",NA,28,NA,28,"CIP 761528","","",-11.5903,-76.3553,4573,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"19",NA,29,NA,29,"CIP 762074","","",-12.2078,-76.3492,3873,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"20",NA,32,NA,32,"CIP 762117","","",-11.7075,-76.2686,3734,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"21",NA,33,NA,33,"CIP 762285","","",-10.7519,-76.2672,4272,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"22",NA,41,NA,41,"CIP 761026","","",-12.1375,-76.2319,3044,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"23",NA,45,NA,45,"CIP 762282","","",-11.5858,-76.0625,4231,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"24",NA,46,NA,46,"CIP 764012","","",-10.9183,-76.0503,3889,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"25",NA,51,NA,51,"CIP 762283","","",-11.4558,-75.955,3889,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"26",NA,53,NA,53,"CIP 761852","","",-10.8558,-75.91,4179,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"27",NA,57,NA,57,"CIP 761225","","",-11.6053,-75.8567,3600,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"28",NA,61,NA,61,"CIP 761307","","",-10.7661,-75.7953,4000,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"29",NA,65,NA,65,"CIP 761025","","",-10.7556,-75.6383,3126,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"30",NA,67,NA,67,"CIP 761522","","",-12.7878,-74.9733,3681,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"31",NA,70,NA,70,"CIP 761537","","",-13.4703,-74.8625,3810,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"32",NA,71,NA,71,"CIP 761525","","",-13.1033,-74.7381,4100,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"33",NA,73,NA,73,"CIP 764211","","",-9.1723,-74.3568,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"34",NA,74,NA,74,"CIP 761024","","",-14.4872,-74.3044,4000,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"35",NA,80,NA,80,"CIP 763414","","",-13.3694,-74.1914,3724,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"36",NA,84,NA,84,"CIP 761826","","",-14.6908,-74.1258,3242,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"37",NA,92,NA,92,"CIP 761823","","",-14.2333,-74.0414,3178,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"38",NA,93,NA,93,"CIP 761821","","",-14.6753,-74.0169,4200,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"39",NA,100,NA,100,"CIP 761824","","",-13.5278,-73.8181,2235,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"40",NA,103,NA,103,"CIP 761143","","",-15.2819,-73.5978,3400,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"41",NA,106,NA,106,"CIP 764243","","",-14.5461,-73.5278,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
"42",NA,108,NA,108,"CIP 761142","","",-13.7906,-73.4719,3890,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","",""
