"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"923",NA,937,NA,1116,"CIP 762578","","",-6.9875,-78.6764,3550,"albicans","albicans","tuberous","germplasm",NA,"SŠrkinen","",""
"924",NA,961,NA,1140,"CIP 760014","","",-7.0908,-78.5797,3171,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"925",NA,963,NA,1142,"CIP 762584","","",-7.0558,-78.3758,3263,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"926",NA,972,NA,1151,"CIP 762937","","",-7.9903,-78.2483,4031,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"927",NA,975,NA,1154,"CIP 762237","","",-9.8972,-77.7447,4200,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"928",NA,979,NA,1158,"CIP 762957","","",-8.5761,-77.7211,4223,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"929",NA,986,NA,1165,"CIP 762534","","",-9.0939,-77.6661,3389,"albicans","albicans","tuberous","germplasm",NA,"SŠrkinen","",""
"930",NA,987,NA,1166,"CIP 765948","","",-9.5333,-77.6166,4157,"albicans","albicans","tuberous","germplasm",NA,"SŠrkinen","",""
"931",NA,993,NA,1172,"CIP 761435","","",-9.7586,-77.4428,3512,"albicans","albicans","tuberous","germplasm",NA,"SŠrkinen","",""
"932",NA,999,NA,1178,"CIP 761297","","",-9.9111,-77.3172,4200,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"933",NA,1005,NA,1184,"CIP 761444","","",-9.3231,-77.2333,4150,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"934",NA,1008,NA,1187,"CIP 761429","","",-10.3794,-77.215,4400,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"935",NA,1011,NA,1190,"CIP 760010","","",-10.6011,-76.8192,4084,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"936",NA,1012,NA,1191,"CIP 760028","","",-9.3928,-76.7211,3667,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"937",NA,1013,NA,1192,"CIP 763415","","",-9.6367,-76.6108,3900,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
"938",NA,1014,NA,1193,"CIP 763421","","",-9.8792,-76.5069,3450,"albicans","albicans","tuberous","germplasm",NA,"SŠrkinen","",""
"939",NA,1016,NA,1195,"95293","","",-9.25,-76.5,3500,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"940",NA,1024,NA,1203,"93374","","",-9.066667,-77.56667,4250,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"941",NA,1026,NA,1205,"20996","","",-9.483333,-77.36667,3690,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"942",NA,1028,NA,1207,"95296","","",-8.9372,-78.0206,4300,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"943",NA,1031,NA,1210,"95224","","",-8.2,-77.9,4000,"albicans","albicans","tuberous","wild",NA,"SŠrkinen","",""
"944",NA,1038,NA,1217,"PI 365376","","",-8.283333,-77.3,NA,"albicans","albicans","tuberous","germplasm",72,"SŠrkinen","",""
