"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"201",NA,1064,NA,1281,"CIP 762800","","",-2.0136,-78.9272,3770,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"202",NA,1065,NA,1282,"CIP 762798","","",-1.6333,-78.8725,3725,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"203",NA,1066,NA,1283,"CIP 762816","","",-2.005,-78.6892,3600,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"204",NA,1067,NA,1284,"CIP 761161","","",-1.2558,-78.6094,3550,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"205",NA,1070,NA,1287,"CIP 763798","","",-0.6167,-78.5667,2786,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"206",NA,1075,NA,1292,"CIP 761608","","",-0.7833,-78.4833,3582,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"207",NA,1076,NA,1293,"CIP 761595","","",-1.8333,-78.4167,3944,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"208",NA,1077,NA,1294,"CIP 763776","","",-2.7167,-78.25,621,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"209",NA,1078,NA,1295,"CIP 762787","","",-0.0033,-78.0622,3450,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"210",NA,1080,NA,1297,"CIP 761597","","",-1.6167,-76.7967,3200,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"211",NA,1085,NA,1302,"CIP 761834","","",-0.0167,-78.45,2536,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"212",NA,1086,NA,1303,"CIP 763795","","",-0.3,-78.2667,2439,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"213",NA,1088,NA,1305,"CIP 762804","","",-0.8,-77.7167,2939,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"214",NA,1090,NA,1307,"CIP 762711","","",1.0833,-77.6,2973,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"215",NA,1166,NA,1383,"PI 246971","","",-1.616667,-79,NA,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
"216",NA,1170,NA,1387,"PI 498177","","",0.9,-77.783333,NA,"andreanum_48","andreanum","tuberous","germplasm",48,"SŠrkinen","",""
