"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2523",107535,8605,NA,NA,NA,"D'Arcy, WG","0.0.1991",8.509444,-83.465,600,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","CRI","Costa Rica"
"2524",105642,8607,NA,NA,NA,"Nee, M","0.0.0",14.3215,-90.5248,2300,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","GTM","Guatemala"
"2525",105669,8608,NA,NA,NA,"Nee, M","0.0.1991",15.065,-92.0524,2700,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","GTM","Guatemala"
"2526",107022,8609,NA,NA,NA,"Anderson, GJ","0.0.0",15.3247,-91.3046,3300,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","GTM","Guatemala"
"2527",108275,8610,NA,NA,NA,"Anderson, GJ","0.0.0",14.99944,-91.87472,2400,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","GTM","Guatemala"
"2528",7750,8611,NA,NA,NA,"Nee, M","0.0.1995",14.866667,-91.4,2950,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","GTM","Guatemala"
"2529",106865,8613,NA,NA,NA,"D'Arcy, WG","0.0.1996",14.4,-88.42,2847,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","HND","Honduras"
"2530",108266,8614,NA,NA,NA,"Nee, M","0.0.0",14.07,-87,2000,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","HND","Honduras"
"2531",105662,8615,NA,NA,NA,"Nee, M","0.0.1984",16.79833,-92.48667,2350,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","MEX","Mexico"
"2532",105724,8616,NA,NA,NA,"D'Arcy, WG","0.0.1986",15.43917,-92.33167,2890,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","MEX","Mexico"
"2533",105909,8617,NA,NA,NA,"D'Arcy, WG","0.0.1988",20.93,-98.68,1650,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","MEX","Mexico"
"2534",105923,8618,NA,NA,NA,"Anderson, GJ","0.0.1980",25.9,-107.6833,1768,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","MEX","Mexico"
"2535",105928,8619,NA,NA,NA,"Nee, M","0.0.1997",18.18,-96.84,1265,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","MEX","Mexico"
"2536",106820,8620,NA,NA,NA,"Nee, M","0.0.1985",17.22,-96.31,2450,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","MEX","Mexico"
"2537",106874,8621,NA,NA,NA,"Nee, M","0.0.0",17.44,-96.51,2810,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","MEX","Mexico"
"2538",126455,8622,NA,NA,NA,"Knapp, S","0.12.2016",19.92728,-97.53858,1363,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","MEX","Mexico"
"2539",161856,8623,NA,NA,NA,"Knapp, S","0.12.2019",19.98289,-97.74548,1029,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","MEX","Mexico"
"2540",38955,8624,NA,NA,NA,"Knapp, S","0.10.2009",19.316667,-98.783333,2500,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","MEX","Mexico"
"2541",8144,8625,NA,NA,NA,"Anderson, GJ","0.0.1987",19.05,-100.033333,2880,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","MEX","Mexico"
"2542",8161,8626,NA,NA,NA,"Ugent, D","0.0.1967",19,-99.933333,0,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","MEX","Mexico"
"2543",8562,8627,NA,NA,NA,"Nee, M","0.0.1981",19.166667,-97.183333,2300,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","MEX","Mexico"
"2544",96194,8628,NA,NA,NA,"Knapp, S","0.0.2014",16.10556,-91.60444,1330,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","MEX","Mexico"
"2545",105852,8629,NA,NA,NA,"D'Arcy, WG","0.0.1991",13.02,-85.55,1360,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","NIC","Nicaragua"
"2546",8522,8630,NA,NA,NA,"D'Arcy, WG","0.0.1988",13.016667,-85.9,1350,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","NIC","Nicaragua"
"2547",105831,8631,NA,NA,NA,"Knapp, S","0.0.0",13.5229,-89.4755,1600,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","SLV","El Salvador"
"2548",35253,8632,NA,NA,NA,"Knapp, S","0.0.2008",14.409565,-89.3653,2232,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","SLV","El Salvador"
"2549",56199,8633,NA,NA,NA,"Knapp, S","0.0.2011",13.866667,-89.633333,1800,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","SLV","El Salvador"
"2550",7803,8634,NA,NA,NA,"Knapp, S","0.0.1999",13.874722,-89.798611,1600,"appendiculatum","appendiculatum","nongeophyte",NA,NA,"Potato","SLV","El Salvador"
