"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"945",NA,1178,NA,1408,"CIP 762328","","",-17.5667,-66.35,2602,"berthaultii","berthaultii","tuberous","germplasm",24,"SŠrkinen","",""
"946",NA,1180,NA,1410,"CIP 760236","","",-17.7167,-66.2333,2525,"berthaultii","berthaultii","tuberous","germplasm",24,"SŠrkinen","",""
"947",NA,1182,NA,1412,"CIP 761401","","",-17.3333,-66.1833,2861,"berthaultii","berthaultii","tuberous","germplasm",24,"SŠrkinen","",""
"948",NA,1184,NA,1414,"CIP 760446","","",-17.7453,-65.9689,3241,"berthaultii","berthaultii","tuberous","germplasm",NA,"SŠrkinen","",""
"949",NA,1186,NA,1416,"CIP 760305","","",-21.3703,-65.9439,3100,"berthaultii","berthaultii","tuberous","germplasm",24,"SŠrkinen","",""
"950",NA,1193,NA,1423,"CIP 761390","","",-17.7333,-65.6119,3563,"berthaultii","berthaultii","tuberous","germplasm",24,"SŠrkinen","",""
"951",NA,1194,NA,1424,"CIP 762501","","",-18.3833,-65.35,2525,"berthaultii","berthaultii","tuberous","germplasm",24,"SŠrkinen","",""
"952",NA,1196,NA,1426,"CIP 760259","","",-18.8253,-65.3375,2500,"berthaultii","berthaultii","tuberous","germplasm",24,"SŠrkinen","",""
"953",NA,1197,NA,1427,"CIP 760304","","",-19.5333,-65.2667,3077,"berthaultii","berthaultii","tuberous","germplasm",24,"SŠrkinen","",""
"954",NA,1198,NA,1428,"CIP 760310","","",-19.0431,-65.2592,2796,"berthaultii","berthaultii","tuberous","germplasm",24,"SŠrkinen","",""
"955",NA,1200,NA,1430,"CIP 760470","","",-18.1667,-65.1667,2293,"berthaultii","berthaultii","tuberous","germplasm",NA,"SŠrkinen","",""
"956",NA,1201,NA,1431,"CIP 760257","","",-19.1808,-64.9864,2400,"berthaultii","berthaultii","tuberous","germplasm",24,"SŠrkinen","",""
"957",NA,1203,NA,1433,"CIP 761064","","",-17.75,-64.8167,2844,"berthaultii","berthaultii","tuberous","germplasm",24,"SŠrkinen","",""
"958",NA,1204,NA,1434,"CIP 762326","","",-17.9333,-64.45,1692,"berthaultii","berthaultii","tuberous","germplasm",24,"SŠrkinen","",""
"959",NA,1208,NA,1438,"CIP 760426","","",-17.9331,-65.1669,2266,"berthaultii","berthaultii","tuberous","germplasm",24,"SŠrkinen","",""
"960",NA,1211,NA,1441,"CIP 760517","","",-16.7081,-64.6617,NA,"berthaultii","berthaultii","tuberous","germplasm",24,"SŠrkinen","",""
"961",NA,1212,NA,1442,"29502","","",-19.309,-65.1704,0,"berthaultii","berthaultii","tuberous","wild",NA,"SŠrkinen","",""
"962",NA,1213,NA,1443,"77002","","",-25.55,-66.21667,265,"berthaultii","berthaultii","tuberous","wild",NA,"SŠrkinen","",""
"963",NA,1214,NA,1444,"77009","","",-24.0833,-64.5833,0,"berthaultii","berthaultii","tuberous","wild",NA,"SŠrkinen","",""
"964",NA,1215,NA,1445,"29666","","",-22.35,-65.18,2700,"berthaultii","berthaultii","tuberous","wild",NA,"SŠrkinen","",""
"965",NA,1216,NA,1446,"29542","","",-17.6167,-66.5333,2950,"berthaultii","berthaultii","tuberous","wild",NA,"SŠrkinen","",""
