"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2617",1139,8779,NA,NA,NA,"Spooner, DM","0.0.2013",-27.221215,-66.01489,3600,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2618",165124,8780,NA,NA,NA,"Barboza, GE","0.0.2020",-22.47583,-66.18222,3900,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2619",67345,8781,NA,NA,NA,"Knapp, S","0.0.2014",-26.87308,-66.73125,3037,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2620",67425,8782,NA,NA,NA,"Barboza, GE","0.0.2012",-23.68311,-65.62822,3824,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2621",77922,8783,NA,NA,NA,"Spooner, DM","0.0.2013",-22.7666,-65.75,3725,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2622",77948,8784,NA,NA,NA,"Spooner, DM","0.0.2013",-22.1,-65.7833,3600,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2623",78000,8785,NA,NA,NA,"Spooner, DM","0.0.2013",-23.1,-65.1,3500,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2624",78021,8786,NA,NA,NA,"Spooner, DM","0.0.2013",-24.9833,-65.5833,3600,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2625",78031,8787,NA,NA,NA,"Spooner, DM","0.0.2013",-25.33,-65.88,3500,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2626",78338,8788,NA,NA,NA,"Spooner, DM","0.0.2013",-23.02,-65.25,0,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2627",78372,8789,NA,NA,NA,"Spooner, DM","0.0.2013",-23,-64.8333,3700,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2628",78388,8790,NA,NA,NA,"Spooner, DM","0.0.2013",-22.25,-65.3,3850,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2629",78417,8791,NA,NA,NA,"Spooner, DM","0.0.2013",-23.2333,-65.55,3500,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2630",78440,8792,NA,NA,NA,"Spooner, DM","0.0.2013",-21.95,-66.0666,4000,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2631",78454,8793,NA,NA,NA,"Spooner, DM","0.0.2013",-22.9166,-65.5833,4100,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2632",78455,8794,NA,NA,NA,"Spooner, DM","0.0.2013",-23.3166,-65.1833,3600,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2633",78462,8795,NA,NA,NA,"Spooner, DM","0.0.2013",-22.9166,-65.3666,3600,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2634",78471,8797,NA,NA,NA,"Spooner, DM","0.0.2013",-23,-64.6333,3920,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2635",78473,8798,NA,NA,NA,"Spooner, DM","0.0.2013",-22.8,-64.7833,3500,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2636",78483,8799,NA,NA,NA,"Spooner, DM","0.0.2013",-22.55,-65.2666,3700,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2637",78492,8800,NA,NA,NA,"Spooner, DM","0.0.2013",-22.8,-64.8833,3600,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2638",78515,8801,NA,NA,NA,"Spooner, DM","0.0.2013",-22.25,-64.9666,3600,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2639",78520,8802,NA,NA,NA,"Spooner, DM","0.0.2013",-27.34,-67.12,2600,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2640",78603,8803,NA,NA,NA,"Spooner, DM","0.0.2013",-22.52,-66.4,4100,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2641",78618,8804,NA,NA,NA,"Spooner, DM","0.0.2013",-22.2666,-65.1833,3400,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2642",78630,8805,NA,NA,NA,"Spooner, DM","0.0.2013",-22.2333,-66.3333,3940,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2643",78633,8806,NA,NA,NA,"Spooner, DM","0.0.2013",-22.2166,-66.15,4140,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2644",78639,8807,NA,NA,NA,"Spooner, DM","0.0.2013",-26.3833,-65.95,2940,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2645",78697,8808,NA,NA,NA,"Spooner, DM","0.0.2013",-22.25,-65.0666,3300,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2646",78810,8809,NA,NA,NA,"Spooner, DM","0.0.2013",-27.35,-66.4,2800,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2647",78848,8810,NA,NA,NA,"Spooner, DM","0.0.2013",-24.65,-66.2166,3700,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2648",79326,8811,NA,NA,NA,"Spooner, DM","0.0.2013",-26.7333,-65.7333,3200,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2649",79483,8812,NA,NA,NA,"Spooner, DM","0.0.2013",-23.3833,-66.0333,4150,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2650",80368,8813,NA,NA,NA,"Spooner, DM","0.0.2013",-26.9166,-65.6833,3200,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2651",80381,8814,NA,NA,NA,"Spooner, DM","0.0.2013",-22.5333,-64.6833,2800,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2652",80401,8815,NA,NA,NA,"Spooner, DM","0.0.2013",-23.2,-65.35,3600,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2653",80491,8816,NA,NA,NA,"Spooner, DM","0.0.2013",-25.1666,-65.7666,3200,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2654",80601,8817,NA,NA,NA,"Spooner, DM","0.0.2013",-24.8833,-66.0333,3700,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2655",80631,8818,NA,NA,NA,"Spooner, DM","0.0.2013",-22.3,-64.6833,2650,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2656",80662,8819,NA,NA,NA,"Spooner, DM","0.0.2013",-27.25,-65.8666,3200,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2657",80698,8820,NA,NA,NA,"Spooner, DM","0.0.2013",-23.6666,-65.1666,3700,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2658",80973,8821,NA,NA,NA,"Spooner, DM","0.0.2013",-27.7,-65.9333,0,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2659",81050,8822,NA,NA,NA,"Spooner, DM","0.0.2013",-22.1333,-65.4666,0,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2660",81125,8823,NA,NA,NA,"Spooner, DM","0.0.2013",-26.60639,-65.86944,0,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2661",81165,8824,NA,NA,NA,"Spooner, DM","0.0.2013",-22.11813,-65.58009,0,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2662",81172,8825,NA,NA,NA,"Spooner, DM","0.0.2013",-24.1833,-65.3,4000,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2663",81208,8826,NA,NA,NA,"Spooner, DM","0.0.2013",-24.3833,-65.6333,0,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2664",82983,8827,NA,NA,NA,"Spooner, DM","0.0.2013",-23.5666,-65.3666,3900,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2665",83018,8828,NA,NA,NA,"Spooner, DM","0.0.2013",-25.8333,-65.5,2650,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2666",83036,8829,NA,NA,NA,"Spooner, DM","0.0.2013",-25.9166,-66.4,3350,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2667",83052,8830,NA,NA,NA,"Spooner, DM","0.0.2013",-27.5,-66.95,2500,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2668",83251,8831,NA,NA,NA,"Spooner, DM","0.0.2013",-28.75,-66.1833,3000,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2669",83262,8832,NA,NA,NA,"Spooner, DM","0.0.2013",-27.62,-66.17,2700,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2670",83289,8833,NA,NA,NA,"Spooner, DM","0.0.2013",-27.5833,-67.1333,2700,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2671",83414,8834,NA,NA,NA,"Spooner, DM","0.0.2013",-22.7333,-65.9,4000,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2672",83448,8835,NA,NA,NA,"Spooner, DM","0.0.2013",-26.4666,-66.0833,3000,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2673",83463,8836,NA,NA,NA,"Spooner, DM","0.0.2013",-28.0667,-67.5667,3500,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2674",83520,8837,NA,NA,NA,"Spooner, DM","0.0.2013",-24.5666,-65.55,3800,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2675",83538,8838,NA,NA,NA,"Spooner, DM","0.0.2013",-27.6,-66.3833,2750,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2676",83552,8839,NA,NA,NA,"Spooner, DM","0.0.2013",-26.2,-65.2667,2500,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2677",83711,8840,NA,NA,NA,"Spooner, DM","0.0.2013",-23.55,-65.2666,3600,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2678",83716,8841,NA,NA,NA,"Spooner, DM","0.0.2013",-24.9333,-66.1833,3800,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2679",83750,8842,NA,NA,NA,"Spooner, DM","0.0.2013",-26.6809,-66.58279,3200,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2680",83774,8843,NA,NA,NA,"Spooner, DM","0.0.2013",-27.1833,-66.7333,3100,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2681",83820,8844,NA,NA,NA,"Spooner, DM","0.0.2013",-22.4166,-65.5666,0,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2682",83832,8845,NA,NA,NA,"Spooner, DM","0.0.2013",-24.1166,-65.4666,0,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2683",84502,8846,NA,NA,NA,"Spooner, DM","0.0.2013",-22.9833,-65.85,3700,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2684",84504,8847,NA,NA,NA,"Spooner, DM","0.0.2013",-23.3666,-66.15,3700,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2685",85494,8848,NA,NA,NA,"Spooner, DM","0.2.2014",-27,-65.9166,3000,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2686",85639,8849,NA,NA,NA,"Spooner, DM","0.2.2014",-22.7666,-65.2333,2700,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2687",85657,8850,NA,NA,NA,"Spooner, DM","0.2.2014",-26.8166,-65.2166,0,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
"2688",85789,8851,NA,NA,NA,"Spooner, DM","0.2.2014",-24.02,-65.38,3650,"boliviense","boliviense","tuberous",NA,NA,"Potato","ARG","Argentina"
