"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"3979",1331,14334,NA,NA,NA,"Bennett, JR","0.6.2006",-23.53,-70.39,0,"brachyantherum","brachyantherum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"3980",10018,14335,NA,NA,NA,"Bennett, JR","0.10.2005",-25.083333,-70.483333,0,"brachyantherum","brachyantherum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"3981",14409,14336,NA,NA,NA,"Bennett, JR","0.6.2006",-25.4,-70.483333,200,"brachyantherum","brachyantherum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"3982",14419,14337,NA,NA,NA,"Bennett, JR","0.6.2006",-29.03,-71.43,100,"brachyantherum","brachyantherum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"3983",14425,14338,NA,NA,NA,"Bennett, JR","0.6.2006",-26.23,-70.65,0,"brachyantherum","brachyantherum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"3984",14427,14339,NA,NA,NA,"Bennett, JR","0.6.2006",-22.083333,-70.166667,0,"brachyantherum","brachyantherum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"3985",14429,14340,NA,NA,NA,"Bennett, JR","0.6.2006",-24.75,-69.316667,0,"brachyantherum","brachyantherum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"3986",14435,14341,NA,NA,NA,"Bennett, JR","0.6.2006",-20.816667,-70.15,0,"brachyantherum","brachyantherum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"3987",14439,14342,NA,NA,NA,"Bennett, JR","0.6.2006",-25.02,-70.28,0,"brachyantherum","brachyantherum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"3988",14441,14343,NA,NA,NA,"Bennett, JR","0.6.2006",-27.066667,-70.833333,0,"brachyantherum","brachyantherum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"3989",14520,14344,NA,NA,NA,"Bennett, JR","26.7.2005",-27.416667,-70.283333,0,"brachyantherum","brachyantherum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"3990",16814,14345,NA,NA,NA,NA,"0.0.0",-24.55,-70.55,100,"brachyantherum","brachyantherum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"3991",17751,14346,NA,NA,NA,"Bennett, JR","0.2.2007",-24.233333,-70.516667,250,"brachyantherum","brachyantherum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"3992",96854,14347,NA,NA,NA,NA,"0.0.0",-30.06272,-71.36982,0,"brachyantherum","brachyantherum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
