"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"217",NA,1438,NA,2004,"CIP 761393","","",-17.925,-65.4689,2300,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"218",NA,1439,NA,2005,"CIP 761394","","",-17.9331,-65.1669,2266,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"219",NA,1442,NA,2008,"CIP 760424","","",-18.1667,-65.1667,2293,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"220",NA,1447,NA,2013,"CIP 760471","","",-17.7072,-65.15,3004,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"221",NA,1450,NA,2016,"CIP 764189","","",-20.4167,-65.1333,NA,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"222",NA,1451,NA,2017,"CIP 762310","","",-17.7333,-64.8667,2367,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"223",NA,1453,NA,2019,"CIP 760468","","",-19.9561,-64.4769,2100,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"224",NA,1462,NA,2028,"CIP 761812","","",-14.2233,-73.0153,3545,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"225",NA,1464,NA,2030,"CIP 762928","","",-12.445,-74.7811,3345,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"226",NA,1466,NA,2032,"CIP 762926","","",-12.4061,-74.6619,2989,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"227",NA,1467,NA,2033,"CIP 763146","","",-15.6667,-69.1333,4215,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"228",NA,1468,NA,2034,"CIP 762304","","",-16.8897,-67.1492,3042,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"229",NA,1469,NA,2035,"CIP 763145","","",-17.8833,-66.5333,3631,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"230",NA,1471,NA,2037,"CIP 760245","","",-17.4,-66.2831,2549,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"231",NA,1476,NA,2042,"CIP 763144","","",-17.3833,-66.15,2583,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"232",NA,1478,NA,2044,"CIP 760461","","",-17.3833,-66.0333,2846,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"233",NA,1480,NA,2046,"CIP 763095","","",-19.5836,-65.7531,3324,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"234",NA,1481,NA,2047,"CIP 761074","","",-18.9833,-65.3667,3133,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"235",NA,1482,NA,2048,"CIP 762364","","",-13.1556,-73.1317,3700,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"236",NA,1488,NA,2054,"CIP 761667","","",-13.4978,-72.8928,3068,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"237",NA,1495,NA,2061,"CIP 764198","","",-13.5728,-72.6267,NA,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"238",NA,1498,NA,2064,"CIP 761810","","",-13.5072,-72.5325,2881,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"239",NA,1500,NA,2066,"CIP 761689","","",-13.2031,-72.5028,3700,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"240",NA,1510,NA,2076,"CIP 761728","","",-13.7453,-72.3558,3404,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"241",NA,1511,NA,2077,"CIP 761729","","",-13.6128,-72.2722,3600,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"242",NA,1516,NA,2082,"CIP 762363","","",-13.2739,-72.2236,2972,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"243",NA,1517,NA,2083,"CIP 761715","","",-13.9172,-72.2133,3600,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"244",NA,1519,NA,2085,"CIP 761736","","",-14.3414,-71.9292,3945,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"245",NA,1522,NA,2088,"CIP 764230","","",-24.7667,-65.7333,2320,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"246",NA,1526,NA,2092,"CIP 763702","","",-24.2967,-64.8203,NA,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"247",NA,1528,NA,2094,"CIP 761701","","",-14.2014,-72.9214,4500,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"248",NA,1529,NA,2095,"CIP 761712","","",-14.5181,-72.7503,3550,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
"249",NA,1530,NA,2096,"CIP 761766","","",-13.8875,-72.6397,4162,"brevicaule_24","brevicaule","tuberous","germplasm",24,"SŠrkinen","",""
