"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"361",NA,2209,NA,2805,"CIP 760642","","",18.85,-101.887,1880,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"362",NA,2210,NA,2806,"CIP 761898","","",19.65,-100.75,2100,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"363",NA,2211,NA,2807,"CIP 761897","","",19.3333,-100.4167,1995,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"364",NA,2212,NA,2808,"CIP 763835","","",19.5167,-100.25,1995,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"365",NA,2213,NA,2809,"CIP 761933","","",19.2883,-99.6672,2680,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"366",NA,2214,NA,2810,"CIP 761896","","",21.2167,-99.0333,1825,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"367",NA,2215,NA,2811,"CIP 761888","","",17.0333,-96.7667,1609,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"368",NA,2282,NA,2878,"595471","","",19.425475,-98.728252,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"369",NA,2283,NA,2879,"PI 243345","","",19.35,-99.2,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"370",NA,2286,NA,2882,"PI 275191","","",18.816667,-97.433333,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"371",NA,2287,NA,2883,"PI 275192","","",19.183333,-98.216667,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"372",NA,2290,NA,2886,"PI 275196","","",17.5,-96.45,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"373",NA,2291,NA,2887,"PI 275198","","",19.716667,-99.783333,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"374",NA,2292,NA,2888,"PI 275200","","",15.2115,-91.5187,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"375",NA,2297,NA,2893,"PI 545711","","",17.55,-99.5,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
"376",NA,2299,NA,2895,"PI 604064","","",15.1551,-90.2917,NA,"bulbocastanum_24","bulbocastanum","tuberous","germplasm",24,"SŠrkinen","",""
