"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"377",NA,2306,NA,2947,"CIP 763007","","",-15.8744,-68.6417,NA,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"378",NA,2307,NA,2948,"CIP 760019","","",-8.2672,-77.8525,3176,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"379",NA,2308,NA,2949,"CIP 761836","","",-9.5167,-76.7583,3939,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"380",NA,2309,NA,2950,"CIP 762069","","",-10.5633,-76.5731,3000,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"381",NA,2313,NA,2954,"CIP 761053","","",-10.4786,-76.3236,2800,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"382",NA,2314,NA,2955,"CIP 760016","","",-10.1297,-76.2044,2077,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"383",NA,2319,NA,2960,"CIP 760012","","",-9.8742,-76.8119,3607,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"384",NA,2320,NA,2961,"CIP 762628","","",-10.8375,-76.7981,3280,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"385",NA,2322,NA,2963,"CIP 762079","","",-11.7022,-76.7094,2348,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"386",NA,2323,NA,2964,"CIP 761157","","",-9.7483,-76.6481,3449,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"387",NA,2325,NA,2966,"CIP 764043","","",-11.7708,-76.6114,1874,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"388",NA,2326,NA,2967,"CIP 761201","","",-11.4061,-76.5761,3643,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"389",NA,2328,NA,2969,"CIP 761572","","",-11.5608,-76.4431,3465,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"390",NA,2332,NA,2973,"CIP 763218","","",-12.0694,-76.2725,3044,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"391",NA,2339,NA,2980,"CIP 761193","","",-10.7014,-76.2467,3900,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"392",NA,2340,NA,2981,"CIP 762235","","",-11.6508,-76.2394,4148,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"393",NA,2359,NA,3000,"CIP 762061","","",-11.7875,-75.98,4683,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"394",NA,2363,NA,3004,"CIP 762286","","",-10.5672,-75.9503,4582,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"395",NA,2373,NA,3014,"CIP 761226","","",-11.6053,-75.8567,3500,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"396",NA,2374,NA,3015,"CIP 763471","","",-10.8267,-75.8506,3618,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"397",NA,2375,NA,3016,"CIP 762081","","",-12.2736,-75.8503,3869,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"398",NA,2389,NA,3030,"CIP 761574","","",-12.7731,-75.7267,4286,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"399",NA,2392,NA,3033,"CIP 761191","","",-11.77,-75.7153,3538,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
"400",NA,2393,NA,3034,"CIP 762080","","",-12.2889,-75.7044,3600,"candolleanum_24","candolleanum","tuberous","germplasm",24,"SŠrkinen","",""
