"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"513",NA,3109,NA,3768,"CIP 760645","","",-23.9833,-64.3,693,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"514",NA,3111,NA,3770,"CIP 762274","","",-25.4422,-57.5281,129,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"515",NA,3112,NA,3771,"CIP 762275","","",-23.4833,-57.3167,83,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"516",NA,3113,NA,3772,"CIP 762278","","",-25.3833,-57.15,224,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"517",NA,3125,NA,3784,"CIP 762277","","",-26.0394,-57.13,NA,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"518",NA,3126,NA,3785,"CIP 764212","","",-26.4869,-54.7839,NA,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"519",NA,3524,NA,4183,"217451","","",-23.900001,-65.450001,NA,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"520",NA,3526,NA,4185,"PI 175401","","",-26.216667,-65.283333,NA,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"521",NA,3529,NA,4188,"PI 275141","","",-25.333333,-65.533333,NA,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"522",NA,3530,NA,4189,"PI 320290","","",-26,-65.45,NA,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"523",NA,3532,NA,4191,"PI 320292","","",-25.15,-65.716667,NA,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"524",NA,3534,NA,4193,"PI 458308","","",-24.883333,-65.666667,NA,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"525",NA,3537,NA,4196,"PI 472811","","",-32.066667,-64.55,NA,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"526",NA,3538,NA,4197,"PI 472827","","",-27.466667,-58.833333,NA,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"527",NA,3539,NA,4198,"PI 473406","","",-27.95,-65.55,NA,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"528",NA,3540,NA,4199,"PI 498317","","",-24.05,-65.383333,NA,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"529",NA,3541,NA,4200,"PI 498323","","",-28.533333,-67.216667,NA,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"530",NA,3542,NA,4201,"PI 545846","","",-19.6,-64.65,NA,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
"531",NA,3545,NA,4204,"PI 545958","","",-19.566667,-64.533333,NA,"chacoense_24","chacoense","tuberous","germplasm",24,"SŠrkinen","",""
