"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1027",NA,3556,NA,4260,"CIP 761540","","",-6.6592,-78.8439,2593,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1028",NA,3560,NA,4264,"CIP 763603","","",-6.9875,-78.6764,3680,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1029",NA,3584,NA,4288,"CIP 763928","","",-7.0833,-78.5833,NA,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1030",NA,3585,NA,4289,"CIP 761545","","",-6.3897,-78.5717,3300,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1031",NA,3593,NA,4297,"CIP 762053","","",-7.9447,-78.4642,3400,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1032",NA,3596,NA,4300,"CIP 761551","","",-6.9853,-78.4031,3200,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1033",NA,3599,NA,4303,"CIP 762569","","",-6.9339,-78.2975,2900,"chomatophilum","chomatophilum","tuberous","germplasm",NA,"SŠrkinen","",""
"1034",NA,3602,NA,4306,"CIP 762939","","",-8.1419,-78.27,4114,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1035",NA,3605,NA,4309,"CIP 762568","","",-6.7758,-78.1183,2320,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1036",NA,3606,NA,4310,"CIP 760911","","",-5.0739,-78.0506,NA,"chomatophilum","chomatophilum","tuberous","germplasm",NA,"SŠrkinen","",""
"1037",NA,3607,NA,4311,"CIP 761271","","",-7.8269,-78.0464,3500,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1038",NA,3608,NA,4312,"CIP 761173","","",-6.4986,-77.9572,3200,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1039",NA,3609,NA,4313,"CIP 760057","","",-6.2294,-77.8742,2338,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1040",NA,3610,NA,4314,"CIP 762649","","",-8.1725,-77.8511,3677,"chomatophilum","chomatophilum","tuberous","germplasm",NA,"SŠrkinen","",""
"1041",NA,3612,NA,4316,"CIP 762946","","",-7.7669,-77.8139,3602,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1042",NA,3613,NA,4317,"CIP 760913","","",-6.7092,-77.8056,2255,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1043",NA,3617,NA,4321,"CIP 761577","","",-7.8053,-77.7175,2473,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1044",NA,3618,NA,4322,"CIP 765941","","",-8.5833,-77.7,4005,"chomatophilum","chomatophilum","tuberous","germplasm",NA,"SŠrkinen","",""
"1045",NA,3620,NA,4324,"CIP 761447","","",-9.1908,-77.6444,3389,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1046",NA,3621,NA,4325,"CIP 762236","","",-9.8325,-77.6403,3432,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1047",NA,3623,NA,4327,"CIP 761584","","",-8.2792,-77.4328,3800,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1048",NA,3625,NA,4329,"CIP 763000","","",-9.2056,-77.3975,3600,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1049",NA,3627,NA,4331,"CIP 765927","","",-8.2666,-77.3333,4134,"chomatophilum","chomatophilum","tuberous","germplasm",NA,"SŠrkinen","",""
"1050",NA,3631,NA,4335,"CIP 761840","","",-9.3756,-76.6703,3800,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1051",NA,3632,NA,4336,"CIP 763953","","",-9.1722,-74.3569,NA,"chomatophilum","chomatophilum","tuberous","germplasm",NA,"SŠrkinen","",""
"1052",NA,3633,NA,4337,"CIP 762243","","",-9.8972,-77.7447,2945,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1053",NA,3635,NA,4339,"CIP 762245","","",-11.6153,-76.4061,3997,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1054",NA,3637,NA,4341,"CIP 762930","","",-12.1939,-76.3,3873,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1055",NA,3646,NA,4350,"CIP 763601","","",-7.3628,-78.4917,3556,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1056",NA,3648,NA,4352,"CIP 762936","","",-7.9869,-78.3639,3546,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1057",NA,3654,NA,4358,"CIP 764223","","",-5.0903,-78.5508,NA,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1058",NA,3655,NA,4359,"CIP 761305","","",-10.8558,-75.91,4179,"chomatophilum","chomatophilum","tuberous","germplasm",24,"SŠrkinen","",""
"1059",NA,3660,NA,4364,"82040","","",-8.4,-78.0333,3550,"chomatophilum","chomatophilum","tuberous","wild",NA,"SŠrkinen","",""
"1060",NA,3661,NA,4365,"94486","","",-10.05,-77.06667,3400,"chomatophilum","chomatophilum","tuberous","wild",NA,"SŠrkinen","",""
"1061",NA,3663,NA,4367,"92548","","",-11.18333,-77.48333,3800,"chomatophilum","chomatophilum","tuberous","wild",NA,"SŠrkinen","",""
"1062",NA,3666,NA,4370,"94826","","",-6.333333,-79.5,3300,"chomatophilum","chomatophilum","tuberous","wild",NA,"SŠrkinen","",""
"1063",NA,3668,NA,4372,"82753","","",-9.21667,-77.25,4400,"chomatophilum","chomatophilum","tuberous","wild",NA,"SŠrkinen","",""
"1064",NA,3670,NA,4374,"81835","","",-9.25,-76.5,3680,"chomatophilum","chomatophilum","tuberous","wild",NA,"SŠrkinen","",""
"1065",NA,3673,NA,4377,"93782","","",-12.31667,-75.76667,3800,"chomatophilum","chomatophilum","tuberous","wild",NA,"SŠrkinen","",""
"1066",NA,3674,NA,4378,"94482","","",-9.883333,-77.35,4000,"chomatophilum","chomatophilum","tuberous","wild",NA,"SŠrkinen","",""
"1067",NA,3675,NA,4379,"82213","","",-8.86667,-78.1667,3400,"chomatophilum","chomatophilum","tuberous","wild",NA,"SŠrkinen","",""
"1068",NA,3680,NA,4384,"94555","","",-8.9528,-77.75,3825,"chomatophilum","chomatophilum","tuberous","wild",NA,"SŠrkinen","",""
"1069",NA,3681,NA,4385,"81285","","",-5.05,-79.6,3150,"chomatophilum","chomatophilum","tuberous","wild",NA,"SŠrkinen","",""
"1070",NA,3682,NA,4386,"81832","","",-9.66667,-76.0833,3075,"chomatophilum","chomatophilum","tuberous","wild",NA,"SŠrkinen","",""
"1071",NA,3683,NA,4387,"92962","","",-12.15,-76.68333,0,"chomatophilum","chomatophilum","tuberous","wild",NA,"SŠrkinen","",""
"1072",NA,3685,NA,4389,"94799","","",-11.65667,-76.50333,3900,"chomatophilum","chomatophilum","tuberous","wild",NA,"SŠrkinen","",""
"1073",NA,3689,NA,4393,"91819","","",-5.833333,-77.91667,2700,"chomatophilum","chomatophilum","tuberous","wild",NA,"SŠrkinen","",""
"1074",NA,3691,NA,4395,"91898","","",-10.66667,-76.08333,3500,"chomatophilum","chomatophilum","tuberous","wild",NA,"SŠrkinen","",""
