"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1098",NA,3763,NA,4464,"CIP 763324","","",0.0011,-78.5133,2845,"colombianum","colombianum","tuberous","germplasm",NA,"SŠrkinen","",""
"1099",NA,3764,NA,4465,"CIP 762791","","",-4,-79.2167,2159,"colombianum","colombianum","tuberous","germplasm",NA,"SŠrkinen","",""
"1100",NA,3767,NA,4468,"CIP 762792","","",-3.175,-79.1272,3270,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1101",NA,3768,NA,4469,"CIP 761599","","",-0.6592,-79.075,758,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1102",NA,3769,NA,4470,"CIP 762794","","",-2.5417,-78.9817,3410,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1103",NA,3772,NA,4473,"CIP 762812","","",-2.4322,-78.8881,3500,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1104",NA,3775,NA,4476,"CIP 762789","","",-0.25,-78.7211,2118,"colombianum","colombianum","tuberous","germplasm",NA,"SŠrkinen","",""
"1105",NA,3776,NA,4477,"CIP 761068","","",-1.45,-78.4331,3367,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1106",NA,3778,NA,4479,"CIP 761601","","",-1.3167,-78.3167,2979,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1107",NA,3779,NA,4480,"CIP 762807","","",-0.3625,-78.155,3720,"colombianum","colombianum","tuberous","germplasm",NA,"SŠrkinen","",""
"1108",NA,3781,NA,4482,"CIP 762785","","",-0.0033,-78.0622,3450,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1109",NA,3782,NA,4483,"CIP 761610","","",1.5547,-77.8642,3200,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1110",NA,3784,NA,4485,"CIP 763890","","",1.2167,-77.2667,2621,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1111",NA,3786,NA,4487,"CIP 763889","","",1.1667,-77.1667,2799,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1112",NA,3787,NA,4488,"CIP 763888","","",1.1833,-76.9167,2086,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1113",NA,3788,NA,4489,"CIP 763903","","",2.385,-76.8558,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1114",NA,3789,NA,4490,"CIP 762638","","",2.45,-76.6,1731,"colombianum","colombianum","tuberous","germplasm",NA,"SŠrkinen","",""
"1115",NA,3790,NA,4491,"CIP 763891","","",3.8692,-76.525,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1116",NA,3792,NA,4493,"CIP 763892","","",4.2544,-75.7294,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1117",NA,3795,NA,4496,"CIP 761883","","",2.5389,-75.64,2800,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1118",NA,3796,NA,4497,"CIP 763987","","",4.3636,-75.6111,3270,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1119",NA,3797,NA,4498,"CIP 764132","","",4.4731,-74.1161,NA,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1120",NA,3800,NA,4501,"CIP 763947","","",7.9236,-72.0814,2647,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1121",NA,3802,NA,4503,"CIP 763950","","",8.0122,-71.9883,2800,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1122",NA,3805,NA,4506,"CIP 764140","","",1.9017,-76.6664,NA,"colombianum","colombianum","tuberous","germplasm",NA,"SŠrkinen","",""
"1123",NA,3806,NA,4507,"CIP 763917","","",3.3283,-76.2375,3326,"colombianum","colombianum","tuberous","germplasm",72,"SŠrkinen","",""
"1124",NA,3810,NA,4511,"CIP 763942","","",8,-73.185,1460,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1125",NA,3815,NA,4516,"CIP 764062","","",8.6872,-70.9289,NA,"colombianum","colombianum","tuberous","germplasm",36,"SŠrkinen","",""
"1126",NA,3816,NA,4517,"CIP 761276","","",8.7842,-70.8297,3400,"colombianum","colombianum","tuberous","germplasm",48,"SŠrkinen","",""
"1127",NA,3819,NA,4520,"CIP 761591","","",-2.8167,-79.2333,4014,"colombianum","colombianum","tuberous","germplasm",72,"SŠrkinen","",""
"1128",NA,3837,NA,4538,"94795","","",3.833333,-75.91667,3200,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1129",NA,3839,NA,4540,"92627","","",-0.01666,-78.88333,1800,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1130",NA,3840,NA,4541,"94814","","",7.366667,-72.91667,3300,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1131",NA,3842,NA,4543,"83142","","",4.86667,-75.2,3300,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1132",NA,3843,NA,4544,"92633","","",3.283333,-76.73333,3100,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1133",NA,3845,NA,4546,"84306","","",10.2667,-68.3167,1200,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1134",NA,3846,NA,4547,"92252","","",-2.216667,-78.45,3230,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1135",NA,3849,NA,4550,"83117","","",7.88333,-73.0167,2130,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1136",NA,3852,NA,4553,"94810","","",2.55,-76.15,3500,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1137",NA,3853,NA,4554,"77872","","",-3.03333,-78.65,3200,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1138",NA,3854,NA,4555,"94366","","",1.55,-77.13333,2900,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1139",NA,3856,NA,4557,"95091","","",6.316667,-72.5,3650,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1140",NA,3857,NA,4558,"92240","","",4.85,-73.81667,0,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1141",NA,3858,NA,4559,"95092","","",6.516667,-72.36667,3650,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1142",NA,3859,NA,4560,"92246","","",-4.03,-79.49,2400,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1143",NA,3860,NA,4561,"93242","","",-5.3147,-79.2828,2800,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1144",NA,3862,NA,4563,"92322","","",7.433333,-72.26667,3100,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1145",NA,3863,NA,4564,"93885","","",-1.45,-76.46667,2750,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1146",NA,3864,NA,4565,"94351","","",5.683333,-75.28333,3000,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1147",NA,3865,NA,4566,"95006","","",9.441667,-68.90833,1450,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1148",NA,3866,NA,4567,"94881","","",5.55,-74,0,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1149",NA,3867,NA,4568,"84305","","",-0.535,-78.9839,2459,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1150",NA,3868,NA,4569,"82816","","",5.5,-74.6667,3850,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1151",NA,3869,NA,4570,"91873","","",0.116667,-77.95,3300,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1152",NA,3870,NA,4571,"92311","","",2.45,-75.16667,2400,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1153",NA,3871,NA,4572,"94413","","",-3.883333,-79.35,2900,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1154",NA,3874,NA,4575,"91747","","",2.283333,-76.23333,2920,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1155",NA,3875,NA,4576,"81273","","",-2.8,-79.4667,3200,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1156",NA,3876,NA,4577,"94885","","",2.783333,-76.01667,0,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1157",NA,3877,NA,4578,"91853","","",4.633333,-75.55,3550,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1158",NA,3879,NA,4580,"81263","","",-0.8,-78.9,2840,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1159",NA,3880,NA,4581,"92248","","",-0.016667,-77.83333,3100,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1160",NA,3881,NA,4582,"94889","","",0.85,-78.06667,2700,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1161",NA,3882,NA,4583,"91863","","",10.19626,-72.94011,2850,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1162",NA,3883,NA,4584,"91790","","",8.316667,-71.75,2500,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1163",NA,3885,NA,4586,"93920","","",-2.533333,-78.78333,3410,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1164",NA,3886,NA,4587,"94399","","",5.583333,-73.88333,2850,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1165",NA,3887,NA,4588,"95344","","",10.18333,-73.28333,2600,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1166",NA,3888,NA,4589,"94869","","",2.383333,-76.06667,2000,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1167",NA,3892,NA,4593,"77873","","",-0.6,-77.65,2900,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1168",NA,3893,NA,4594,"82635","","",2.5,-76.3833,3200,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1169",NA,3894,NA,4595,"139915","","",10.40431,-67.28899,0,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1170",NA,3895,NA,4596,"83950","","",6.66667,-76.3333,3115,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1171",NA,3898,NA,4599,"94777","","",9.24666,-70.26778,3400,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1172",NA,3899,NA,4600,"82626","","",-1.96667,-78.3667,3750,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1173",NA,3900,NA,4601,"92153","","",7.26,-71.97,2500,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1174",NA,3901,NA,4602,"91875","","",-0.633333,-78.55,3200,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1175",NA,3902,NA,4603,"94952","","",3.9,-75.75,2800,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1176",NA,3904,NA,4605,"77883","","",0.683333,-77.6667,3150,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1177",NA,3905,NA,4606,"94751","","",-1.183333,-78.2,3400,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1178",NA,3906,NA,4607,"91848","","",2.2,-76.48333,2950,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1179",NA,3907,NA,4608,"83135","","",0.9167,-77.5,3240,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1180",NA,3909,NA,4610,"106994","","",0.07,-77.57,3420,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1181",NA,3910,NA,4611,"92544","","",7.4,-72.41667,3100,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1182",NA,3911,NA,4612,"91859","","",3.33,-76.08,3505,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1183",NA,3912,NA,4613,"94950","","",5.083333,-76,3820,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1184",NA,3913,NA,4614,"83169","","",2.5,-76.7167,2800,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1185",NA,3915,NA,4616,"76502","","",-0.623611,-77.84028,2250,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
"1186",NA,3919,NA,4620,"95004","","",11.16667,-69.58333,1300,"colombianum","colombianum","tuberous","wild",NA,"SŠrkinen","",""
