"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"535",NA,4498,NA,5199,"PI 320269","","",-28.383333,-53.916667,NA,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"536",NA,4503,NA,5204,"PI 472847","","",-29.7,-57.116667,NA,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"537",NA,4120,NA,4821,"CIP 762451","","",-31.4703,-51.1456,NA,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"538",NA,4097,NA,4798,"CIP 762457","","",-31.7342,-55.9914,NA,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"539",NA,4093,NA,4794,"CIP 761102","","",-31.875,-56.2517,253,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"540",NA,4102,NA,4803,"CIP 762475","","",-32.0867,-55.7686,NA,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"541",NA,4087,NA,4788,"CIP 761080","","",-32.2206,-57.4625,43,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"542",NA,4502,NA,5203,"PI 472843","","",-33.033333,-58.533333,NA,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"543",NA,4086,NA,4787,"CIP 761088","","",-33.5217,-58.2142,NA,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"544",NA,4084,NA,4785,"CIP 761101","","",-33.8094,-58.2672,58,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"545",NA,4119,NA,4820,"CIP 762476","","",-34.2767,-53.7828,NA,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"546",NA,4088,NA,4789,"CIP 762459","","",-34.3025,-56.7286,NA,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"547",NA,4096,NA,4797,"CIP 761104","","",-34.4497,-56.0836,49,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"548",NA,4107,NA,4808,"CIP 761090","","",-34.49,-54.3311,23,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"549",NA,4100,NA,4801,"CIP 762452","","",-34.5317,-55.9264,NA,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"550",NA,4095,NA,4796,"CIP 761089","","",-34.7447,-56.0981,NA,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"551",NA,4106,NA,4807,"CIP 762461","","",-34.7681,-54.5464,NA,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"552",NA,4103,NA,4804,"CIP 761084","","",-34.7914,-55.0819,NA,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"553",NA,4092,NA,4793,"CIP 761082","","",-34.8672,-56.3186,NA,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"554",NA,4105,NA,4806,"CIP 762456","","",-34.8997,-54.9497,NA,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"555",NA,4500,NA,5201,"PI 472834","","",-36.783333,-60.583333,NA,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
"556",NA,4501,NA,5202,"PI 472838","","",-37.383333,-59.166667,NA,"commersonii_24","commersonii","tuberous","germplasm",24,"SŠrkinen","",""
