"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1625",NA,5517,NA,6334,"CIP 763964","","",10.1839,-84.2358,2573,"longiconicum","longiconicum","tuberous","germplasm",48,"SŠrkinen","",""
"1626",NA,5519,NA,6335,"CIP 763966","","",10.1317,-84.1225,2675,"longiconicum","longiconicum","tuberous","germplasm",48,"SŠrkinen","",""
"1627",NA,5521,NA,6336,"CIP 764002","","",9.9828,-83.8983,NA,"longiconicum","longiconicum","tuberous","germplasm",48,"SŠrkinen","",""
"1628",NA,5525,NA,6338,"CIP 763999","","",9.9989,-83.7639,NA,"longiconicum","longiconicum","tuberous","germplasm",48,"SŠrkinen","",""
"1629",NA,5531,NA,6341,"CIP 763031","","",8.8167,-82.3833,1977,"longiconicum","longiconicum","tuberous","germplasm",48,"SŠrkinen","",""
"1630",NA,5535,NA,6343,"8499","","",8.922222,-82.71222,2470,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1631",NA,5539,NA,6345,"15021","","",9.10975,-82.86913,3200,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1632",NA,5541,NA,6346,"89027","","",8.49,-82.23,2000,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1633",NA,5545,NA,6348,"89862","","",9.2822,-83.3432,1700,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1634",NA,5549,NA,6350,"82645","","",10.003,-83.059,1400,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1635",NA,5551,NA,6351,"18021","","",9.541111,-83.58444,2600,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1636",NA,5553,NA,6352,"40989","","",9.05641,-82.52369,3000,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1637",NA,5555,NA,6353,"90645","","",10.2,-84.5,1200,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1638",NA,5557,NA,6354,"16149","","",9.556111,-83.67556,2700,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1639",NA,5561,NA,6356,"18019","","",9.116667,-82.96667,2450,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1640",NA,5565,NA,6358,"48530","","",9.2345,-83.0925,2300,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1641",NA,5567,NA,6359,"54908","","",9.43,-83.47,1500,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"2967",113093,10674,NA,NA,NA,"Knapp, S","0.8.2016",-4.248333,-78.65944,0,"conicum","conicum","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"2968",139706,10675,NA,NA,NA,"Knapp, S","0.11.2018",-10.38361,-75.62945,2950,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2969",14950,10676,NA,NA,NA,"Knapp, S","0.0.2004",-9.342833,-76.000833,800,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2970",21564,10677,NA,NA,NA,"Knapp, S","0.9.2008",-10.6,-75.383333,1850,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2971",21567,10678,NA,NA,NA,"Knapp, S; Helgason, T","0.0.1996",-9.216099,-75.827399,1600,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2972",22116,10679,NA,NA,NA,"Knapp, S","0.11.2018",-10.620833,-75.2905,2300,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2973",22543,10680,NA,NA,NA,NA,"0.0.2012",-12.916667,-71.2,500,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2974",26359,10681,NA,NA,NA,"Knapp, S","0.0.2007",-10.066667,-71.1,300,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2975",26361,10682,NA,NA,NA,"Knapp, S","0.0.2007",-10.533333,-75.066667,890,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2976",33052,10683,NA,NA,NA,"Knapp, S","0.9.2008",-5.016667,-79.016667,650,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2977",33054,10684,NA,NA,NA,"Knapp, S","0.9.2008",-12.633333,-73.633333,1750,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2978",33055,10685,NA,NA,NA,"Knapp, S","0.9.2008",-5.245894,-78.75462,900,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2979",33056,10686,NA,NA,NA,"Knapp, S","0.9.2008",-12.968403,-71.307878,500,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2980",33101,10687,NA,NA,NA,"Knapp, S","0.8.2011",-5.966667,-77.95,1500,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2981",33202,10688,NA,NA,NA,"Knapp, S","0.8.2011",-5.883333,-77.333333,850,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2982",33322,10689,NA,NA,NA,"Knapp, S","0.9.2008",-10.2,-75.216667,320,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2983",53824,10690,NA,NA,NA,"Tepe, EJ","14.10.2010",-5.673083,-77.7708,1950,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2984",65139,10691,NA,NA,NA,"Knapp, S","0.2.2012",-10.15133,-75.38867,600,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2985",65321,10692,NA,NA,NA,"Knapp, S","0.2.2012",-12.66667,-71.25,400,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2986",65322,10693,NA,NA,NA,"Knapp, S","0.2.2012",-12.85925,-73.50667,1650,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2987",65324,10694,NA,NA,NA,"Knapp, S","0.2.2012",-13.25,-70.66667,400,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2988",65325,10695,NA,NA,NA,"Knapp, S","0.2.2012",-11.7815,-72.70167,400,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2989",65327,10696,NA,NA,NA,"Knapp, S","0.2.2012",-10.63333,-75.16667,950,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2990",73331,10697,NA,NA,NA,"Knapp, S","0.12.2013",-10.01528,-75.59861,926,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2991",9417,10698,NA,NA,NA,"Knapp, S","14.1.2005",-6.195348,-78.164707,3200,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
"2992",98880,10699,NA,NA,NA,"Knapp, S","0.0.2015",-12.93167,-72.60056,2800,"conicum","conicum","nongeophyte",NA,NA,"Potato","PER","Peru"
