"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"2993",1633,10712,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-16.1765,-71.642667,3100,"corneliomulleri","corneliomulleri","nongeophyte",NA,NA,"Potato","PER","Peru"
"2994",1637,10713,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-11.468197,-76.620637,2800,"corneliomulleri","corneliomulleri","nongeophyte",NA,NA,"Potato","PER","Peru"
"2995",16923,10714,NA,NA,NA,"Knapp, S","0.0.2006",-14.82165,-74.935767,450,"corneliomulleri","corneliomulleri","nongeophyte",NA,NA,"Potato","PER","Peru"
"2996",1973,10715,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-16.393063,-71.535557,2950,"corneliomulleri","corneliomulleri","nongeophyte",NA,NA,"Potato","PER","Peru"
"2997",1995,10716,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-12.023333,-76.636667,1500,"corneliomulleri","corneliomulleri","nongeophyte",NA,NA,"Potato","PER","Peru"
"2998",1998,10717,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-11.840192,-76.38494,2400,"corneliomulleri","corneliomulleri","nongeophyte",NA,NA,"Potato","PER","Peru"
"2999",2124,10718,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-11.13575,-77.191773,0,"corneliomulleri","corneliomulleri","nongeophyte",NA,NA,"Potato","PER","Peru"
"3000",2183,10719,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-14.9385,-75.489833,450,"corneliomulleri","corneliomulleri","nongeophyte",NA,NA,"Potato","PER","Peru"
"3001",2242,10720,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-11.207025,-75.500188,0,"corneliomulleri","corneliomulleri","nongeophyte",NA,NA,"Potato","PER","Peru"
"3002",2257,10721,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-12.924,-75.887333,2896,"corneliomulleri","corneliomulleri","nongeophyte",NA,NA,"Potato","PER","Peru"
"3003",2409,10722,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-12.475807,-76.792078,0,"corneliomulleri","corneliomulleri","nongeophyte",NA,NA,"Potato","PER","Peru"
"3004",2411,10723,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-11.903382,-76.523358,1895,"corneliomulleri","corneliomulleri","nongeophyte",NA,NA,"Potato","PER","Peru"
