"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"3044",53725,10763,NA,NA,NA,"Tepe, EJ","0.12.2009",1.18,-78.08,1325,"crassinervium","crassinervium","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3045",75487,10764,NA,NA,NA,NA,"0.0.0",1.1,-77.58,1300,"crassinervium","crassinervium","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3046",75488,10765,NA,NA,NA,NA,"0.0.0",1.22,-78.28,220,"crassinervium","crassinervium","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3047",24509,10766,NA,NA,NA,"Tepe, EJ","0.0.2008",0.35,-79.733333,400,"crassinervium","crassinervium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3048",53430,10767,NA,NA,NA,"Tepe, EJ","0.6.2009",-0.49,-78.45,250,"crassinervium","crassinervium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3049",53437,10768,NA,NA,NA,"Tepe, EJ","0.6.2009",0.932604,-78.191882,1200,"crassinervium","crassinervium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3050",53530,10769,NA,NA,NA,"Tepe, EJ","20.6.2009",0.2136,-79.424,580,"crassinervium","crassinervium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3051",53534,10770,NA,NA,NA,"Tepe, EJ","20.6.2009",0.49,-78.26,1220,"crassinervium","crassinervium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3052",53710,10771,NA,NA,NA,"Tepe, EJ","0.2.2009",0.59,-78.36,350,"crassinervium","crassinervium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3053",75495,10772,NA,NA,NA,NA,"0.0.0",1.195556,-78.57472,200,"crassinervium","crassinervium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3054",75497,10773,NA,NA,NA,NA,"0.0.0",0.838333,-78.75,250,"crassinervium","crassinervium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
