"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1234",NA,4584,NA,5308,"88420","","",14.0548,-91.0191,3180,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"1235",NA,4558,NA,5282,"89347","","",14.47563,-90.73304,2250,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"1236",NA,4534,NA,5258,"90366","","",15.48678,-91.51723,3595,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"1237",NA,4586,NA,5310,"90770","","",16.1,-96.15,3500,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"1238",NA,4569,NA,5293,"89328","","",16.9833,-97,2700,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"1239",NA,4564,NA,5288,"90192","","",17.2666,-96.4,2950,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"1240",NA,4550,NA,5274,"89647","","",17.28,-96.3,2870,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"1241",NA,4637,NA,5361,"PI 545763","","",17.466667,-96.5,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"1242",NA,4547,NA,5271,"89444","","",18.4,-99.15,0,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"1243",NA,4539,NA,5263,"89306","","",18.58,-97.15,3000,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"1244",NA,4527,NA,5251,"CIP 760660","","",18.6333,-98.9333,1212,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"1245",NA,4587,NA,5311,"89045","","",18.7401,-97.3813,2550,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"1246",NA,4544,NA,5268,"89422","","",19.0166,-97.2666,3600,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"1247",NA,4588,NA,5312,"90434","","",19.04,-100.05,1900,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
"1248",NA,4613,NA,5337,"PI 161366","","",19.05,-99.25,NA,"demissum","demissum","tuberous","germplasm",72,"SŠrkinen","",""
"1249",NA,4560,NA,5284,"89654","","",19.07,-99.49,3430,"demissum","demissum","tuberous","wild",NA,"SŠrkinen","",""
