"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1296",NA,4639,NA,5363,"CIP 761075","","",-19.0431,-65.2592,2796,"doddsii","doddsii","tuberous","germplasm",24,"SŠrkinen","",""
"1297",NA,4640,NA,5364,"CIP 760253","","",-17.5667,-65.2333,2600,"doddsii","doddsii","tuberous","germplasm",24,"SŠrkinen","",""
"1298",NA,4642,NA,5366,"CIP 762325","","",-17.845,-64.4289,1600,"doddsii","doddsii","tuberous","germplasm",24,"SŠrkinen","",""
"1299",NA,4643,NA,5367,"77404","","",-18.00697,-65.14799,2530,"doddsii","doddsii","tuberous","wild",NA,"SŠrkinen","",""
"1300",NA,4644,NA,5368,"77405","","",-17.8167,-65.2,2600,"doddsii","doddsii","tuberous","wild",NA,"SŠrkinen","",""
"1301",NA,4645,NA,5369,"80135","","",-19.33898,-64.32983,2124,"doddsii","doddsii","tuberous","wild",NA,"SŠrkinen","",""
"1302",NA,4646,NA,5370,"84336","","",-18.10024,-65.66976,2050,"doddsii","doddsii","tuberous","wild",NA,"SŠrkinen","",""
"1303",NA,4647,NA,5371,"85539","","",-18.14277,-65.22737,2400,"doddsii","doddsii","tuberous","wild",NA,"SŠrkinen","",""
"1304",NA,4648,NA,5372,"85608","","",-18.48005,-64.0777,2100,"doddsii","doddsii","tuberous","wild",NA,"SŠrkinen","",""
"1305",NA,4649,NA,5373,"PI 545854","","",-17.733333,-65.1,NA,"doddsii","doddsii","tuberous","germplasm",24,"SŠrkinen","",""
