"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1306",NA,4654,NA,5378,"CIP 762998","","",-9.6472,-77.8061,3933,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"1307",NA,4656,NA,5380,"CIP 763457","","",-9.155,-77.5644,4000,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"1308",NA,4664,NA,5388,"CIP 763618","","",-9.9111,-77.3172,4100,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",NA,"SŠrkinen","",""
"1309",NA,4668,NA,5392,"CIP 765954","","",-9.6833,-77.2333,4182,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",NA,"SŠrkinen","",""
"1310",NA,4674,NA,5398,"CIP 761043","","",-9.4564,-77.0772,4140,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"1311",NA,4676,NA,5400,"CIP 761439","","",-9.1,-77.0158,3257,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"1312",NA,4677,NA,5401,"CIP 763020","","",-9.5367,-76.8231,2850,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
"1313",NA,4678,NA,5402,"82005","","",-9.25,-76.5,3650,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"1314",NA,4679,NA,5403,"71007","","",-9.214887,-77.20032,3900,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"1315",NA,4682,NA,5406,"70998","","",-9,-77.11,4100,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"1316",NA,4683,NA,5407,"92938","","",-9.233333,-77.66667,4000,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"1317",NA,4684,NA,5408,"91885","","",-9.5,-75.83333,3650,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"1318",NA,4686,NA,5410,"71261","","",-8.3417,-77.43049,3955,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"1319",NA,4689,NA,5413,"95130","","",-7.966667,-78.2,3500,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"1320",NA,4690,NA,5414,"75419","","",-10.17711,-77.46227,4250,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"1321",NA,4691,NA,5415,"75456","","",-9.735001,-77.48743,4100,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"1322",NA,4693,NA,5417,"81737","","",-8.95,-77.8333,4100,"dolichocremastrum","dolichocremastrum","tuberous","wild",NA,"SŠrkinen","",""
"1323",NA,4694,NA,5418,"PI 498235","","",-7.466667,-76.616667,NA,"dolichocremastrum","dolichocremastrum","tuberous","germplasm",24,"SŠrkinen","",""
