"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"3055",31350,10902,NA,NA,NA,"Knapp, S","0.0.2008",-35.462361,-70.969417,1593,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3056",84599,10903,NA,NA,NA,"Spooner, DM","0.0.2013",-38.85,-71.43,900,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3057",84600,10904,NA,NA,NA,"Spooner, DM","0.0.2013",-37.82,-71.17,1810,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3058",84601,10905,NA,NA,NA,"Spooner, DM","0.0.2013",-37.68,-71.33,820,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3059",84605,10906,NA,NA,NA,"Spooner, DM","0.0.2013",-37.37,-71.72,500,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3060",84606,10907,NA,NA,NA,"Spooner, DM","0.0.2013",-35.08,-70.6,1240,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3061",84608,10908,NA,NA,NA,"Spooner, DM","0.0.2013",-34.55,-70.6,1150,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3062",84612,10909,NA,NA,NA,"Spooner, DM","0.0.2013",-34.57,-70.5,2245,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3063",84630,10910,NA,NA,NA,"Spooner, DM","0.0.2013",-38.23,-71.25,1080,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3064",84640,10911,NA,NA,NA,"Spooner, DM","0.0.2013",-38.2,-71.77,1005,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3065",84642,10912,NA,NA,NA,"Spooner, DM","0.0.2013",-37.88,-71.6,440,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3066",84643,10913,NA,NA,NA,"Spooner, DM","0.0.2013",-37.37,-71.38,1380,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3067",84644,10914,NA,NA,NA,"Spooner, DM","0.0.2013",-36.88,-71.38,1700,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3068",84646,10915,NA,NA,NA,"Spooner, DM","0.0.2013",-36.88,-71.48,1250,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3069",84647,10916,NA,NA,NA,"Spooner, DM","0.0.2013",-36.65,-71.27,710,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3070",84649,10917,NA,NA,NA,"Spooner, DM","0.0.2013",-34.83,-70.73,1540,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3071",84650,10918,NA,NA,NA,"Spooner, DM","0.0.2013",-34.35,-70.42,2200,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3072",84651,10919,NA,NA,NA,"Spooner, DM","0.0.2013",-33.5,-70.47,1850,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3073",84652,10920,NA,NA,NA,"Spooner, DM","0.0.2013",-33.7,-70.38,1500,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3074",91526,10921,NA,NA,NA,"Spooner, DM","0.0.2013",-32.8087,-70.09863,0,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3075",95500,10922,NA,NA,NA,"Spooner, DM","0.0.2013",-32.5833,-71.4166,0,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3076",95501,10923,NA,NA,NA,"Spooner, DM","0.0.2013",-32.8333,-70.6166,475,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3077",95503,10924,NA,NA,NA,"Spooner, DM","0.0.2013",-33.0166,-71.2666,0,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3078",95504,10925,NA,NA,NA,"Spooner, DM","0.0.2013",-33.2333,-71.5666,2000,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3079",95520,10926,NA,NA,NA,"Spooner, DM","0.0.2013",-34.1666,-70.75,0,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3080",95521,10927,NA,NA,NA,"Spooner, DM","0.0.2013",-35.0166,-71.4333,0,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3081",95522,10928,NA,NA,NA,"Spooner, DM","0.0.2013",-35.3166,-72.4166,830,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3082",95523,10929,NA,NA,NA,"Spooner, DM","0.0.2013",-35.4333,-71.6666,0,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3083",95527,10930,NA,NA,NA,"Spooner, DM","0.0.2013",-35.85,-71.6,0,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3084",95528,10931,NA,NA,NA,"Spooner, DM","0.0.2013",-35.9666,-72.35,0,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3085",95529,10932,NA,NA,NA,"Spooner, DM","0.0.2013",-36.0666,-70.5,0,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3086",95530,10933,NA,NA,NA,"Spooner, DM","0.0.2013",-36.3833,-71.1833,0,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3087",95531,10934,NA,NA,NA,"Spooner, DM","0.0.2013",-36.6,-72.1166,0,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3088",95552,10935,NA,NA,NA,"Spooner, DM","0.0.2013",-37.6666,-72.0166,0,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3089",95557,10936,NA,NA,NA,"Spooner, DM","0.0.2013",-37.9,-71.7833,0,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3090",96003,10937,NA,NA,NA,"Knapp, S","0.0.2014",-34.57429,-70.25347,1734,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3091",96891,10938,NA,NA,NA,NA,"0.0.0",-35.91666,-70.71666,0,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
"3092",96909,10939,NA,NA,NA,"Knapp, S","0.5.2015",-35.94827,-70.60197,0,"etuberosum","etuberosum","rhizomatous",NA,NA,"Potato","CHL","Chile"
