"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1370",NA,4753,NA,5494,"CIP 761877","","",4.7647,-74.1258,3450,"flahaultii","flahaultii","tuberous","germplasm",48,"SŠrkinen","",""
"1371",NA,4757,NA,5498,"CIP 763900","","",5.7594,-73.1217,NA,"flahaultii","flahaultii","tuberous","germplasm",48,"SŠrkinen","",""
"1372",NA,4759,NA,5500,"CIP 764058","","",7.3353,-72.9328,NA,"flahaultii","flahaultii","tuberous","germplasm",24,"SŠrkinen","",""
"1373",NA,4760,NA,5501,"CIP 763902","","",5.9833,-72.7167,2565,"flahaultii","flahaultii","tuberous","germplasm",48,"SŠrkinen","",""
"1374",NA,4761,NA,5502,"CIP 763896","","",6.4194,-72.3489,NA,"flahaultii","flahaultii","tuberous","germplasm",48,"SŠrkinen","",""
"1375",NA,4762,NA,5503,"93903","","",4.616667,-73.8,3210,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"1376",NA,4763,NA,5504,"95346","","",4.583333,-73.9,3200,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"1377",NA,4765,NA,5506,"93902","","",4.05,-74.15,3420,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"1378",NA,4766,NA,5507,"91729","","",5.016667,-74,0,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"1379",NA,4768,NA,5509,"92547","","",6.866667,-72.63333,3500,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"1380",NA,4769,NA,5510,"92318","","",6.166667,-72.8,3200,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"1381",NA,4770,NA,5511,"94426","","",4.333333,-74.2,4310,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"1382",NA,4771,NA,5512,"94431","","",6,-72.51667,3540,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"1383",NA,4772,NA,5513,"94365","","",2.483333,-76.31667,3250,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"1384",NA,4773,NA,5514,"94484","","",5.616667,-72.76667,3450,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"1385",NA,4774,NA,5515,"84318","","",2.56667,-76.1833,2500,"flahaultii","flahaultii","tuberous","wild",NA,"SŠrkinen","",""
"1386",NA,4775,NA,5516,"570621","","",5.83475,-73.328694,NA,"flahaultii","flahaultii","tuberous","germplasm",NA,"SŠrkinen","",""
