"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1387",NA,4782,NA,5523,"CIP 761391","","",-17.925,-65.4689,2759,"gandarillasii","gandarillasii","tuberous","germplasm",48,"SŠrkinen","",""
"1388",NA,4783,NA,5524,"CIP 762331","","",-18.4897,-64.1069,2017,"gandarillasii","gandarillasii","tuberous","germplasm",24,"SŠrkinen","",""
"1389",NA,4784,NA,5525,"81459","","",-18.1139,-64.2156,1450,"gandarillasii","gandarillasii","tuberous","wild",NA,"SŠrkinen","",""
"1390",NA,4785,NA,5526,"77779","","",-18.35,-65.2,2200,"gandarillasii","gandarillasii","tuberous","wild",NA,"SŠrkinen","",""
"1391",NA,4786,NA,5527,"80229","","",-18.9191,-65.1145,2031,"gandarillasii","gandarillasii","tuberous","wild",NA,"SŠrkinen","",""
"1392",NA,4787,NA,5528,"77782","","",-17.9,-65.1833,1850,"gandarillasii","gandarillasii","tuberous","wild",NA,"SŠrkinen","",""
"1393",NA,4788,NA,5529,"82426","","",-18.3,-64.15,1900,"gandarillasii","gandarillasii","tuberous","wild",NA,"SŠrkinen","",""
"1394",NA,4789,NA,5530,"77781","","",-18.8,-65.3833,2050,"gandarillasii","gandarillasii","tuberous","wild",NA,"SŠrkinen","",""
"1395",NA,4790,NA,5531,"81767","","",-17.9333,-65.3167,2200,"gandarillasii","gandarillasii","tuberous","wild",NA,"SŠrkinen","",""
"1396",NA,4793,NA,5534,"PI 283076","","",-18.666667,-65.166667,NA,"gandarillasii","gandarillasii","tuberous","germplasm",24,"SŠrkinen","",""
