"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1414",NA,4821,NA,5598,"CIP 764264","","",19.5667,-103.5833,NA,"hougasii","hougasii","tuberous","germplasm",72,"SŠrkinen","",""
"1415",NA,4822,NA,5599,"CIP 764352","","",20.2903,-102.6292,NA,"hougasii","hougasii","tuberous","germplasm",72,"SŠrkinen","",""
"1416",NA,4825,NA,5602,"CIP 761900","","",19.5383,-102.4172,2100,"hougasii","hougasii","tuberous","germplasm",72,"SŠrkinen","",""
"1417",NA,4826,NA,5603,"CIP 761899","","",19.2961,-102.3053,2500,"hougasii","hougasii","tuberous","germplasm",72,"SŠrkinen","",""
"1418",NA,4827,NA,5604,"CIP 761895","","",19.1972,-101.887,2740,"hougasii","hougasii","tuberous","germplasm",72,"SŠrkinen","",""
"1419",NA,4828,NA,5605,"CIP 764351","","",19.4,-101.6,NA,"hougasii","hougasii","tuberous","germplasm",72,"SŠrkinen","",""
"1420",NA,4829,NA,5606,"90498","","",19.7194,-104.387,1800,"hougasii","hougasii","tuberous","wild",NA,"SŠrkinen","",""
"1421",NA,4830,NA,5607,"89049","","",19.4474,-100.201,3075,"hougasii","hougasii","tuberous","wild",NA,"SŠrkinen","",""
"1422",NA,4832,NA,5609,"89986","","",19.35,-102.02,3000,"hougasii","hougasii","tuberous","wild",NA,"SŠrkinen","",""
"1423",NA,4833,NA,5610,"90490","","",19.6833,-101.95,2850,"hougasii","hougasii","tuberous","wild",NA,"SŠrkinen","",""
"1424",NA,4834,NA,5611,"88459","","",19.4666,-103.3,1900,"hougasii","hougasii","tuberous","wild",NA,"SŠrkinen","",""
"1425",NA,4835,NA,5612,"88456","","",19.7219,-103.67,2400,"hougasii","hougasii","tuberous","wild",NA,"SŠrkinen","",""
"1426",NA,4836,NA,5613,"89584","","",19.19,-103.17,1870,"hougasii","hougasii","tuberous","wild",NA,"SŠrkinen","",""
"1427",NA,4838,NA,5615,"88830","","",19.24,-101.36,2950,"hougasii","hougasii","tuberous","wild",NA,"SŠrkinen","",""
"1428",NA,4839,NA,5616,"89888","","",19.2748,-102.2025,2550,"hougasii","hougasii","tuberous","wild",NA,"SŠrkinen","",""
"1429",NA,4840,NA,5617,"90501","","",19.73,-100.8,2510,"hougasii","hougasii","tuberous","wild",NA,"SŠrkinen","",""
"1430",NA,4842,NA,5619,"90426","","",17.4555,-100.104,2900,"hougasii","hougasii","tuberous","wild",NA,"SŠrkinen","",""
