"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"3229",15503,11222,NA,NA,NA,"Knapp, S","0.0.2006",-3.971667,-79.078889,2030,"incurvum","incurvum","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3230",139694,11223,NA,NA,NA,"Knapp, S","0.11.2018",-11.97167,-73.63694,1870,"incurvum","incurvum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3231",21703,11224,NA,NA,NA,"Knapp, S; Helgason, T","0.0.1996",-10.566667,-75.366667,2700,"incurvum","incurvum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3232",22135,11225,NA,NA,NA,"Knapp, S","0.11.2018",-10.366667,-75.45,2900,"incurvum","incurvum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3233",24067,11226,NA,NA,NA,"Knapp, S","0.0.1999",-9.45,-74.766667,1620,"incurvum","incurvum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3234",33457,11227,NA,NA,NA,"Knapp, S","0.9.2008",-10.333333,-75.666667,2300,"incurvum","incurvum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3235",61983,11228,NA,NA,NA,"Knapp, S","0.11.2011",-9.714157,-75.783178,2439,"incurvum","incurvum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3236",70989,11229,NA,NA,NA,"Knapp, S","2.5.2013",-10.1858,-75.3616,2680,"incurvum","incurvum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3237",74640,11230,NA,NA,NA,"Knapp, S","0.2.2014",-10.00867,-75.54133,900,"incurvum","incurvum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3238",76711,11231,NA,NA,NA,"Gonzáles, P","0.12.2013",-10.254,-75.2609,2000,"incurvum","incurvum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3239",98899,11232,NA,NA,NA,"Knapp, S","0.0.2015",-13.28861,-70.77417,934,"incurvum","incurvum","nongeophyte",NA,NA,"Potato","PER","Peru"
