"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1437",NA,5072,NA,5863,"CIP 763335","","",19.1972,-101.887,2740,"iopetalum","iopetalum","tuberous","germplasm",72,"SŠrkinen","",""
"1438",NA,5073,NA,5864,"CIP 761935","","",19.2889,-99.6492,2680,"iopetalum","iopetalum","tuberous","germplasm",72,"SŠrkinen","",""
"1439",NA,5075,NA,5866,"CIP 762523","","",22.6,-98.2167,1950,"iopetalum","iopetalum","tuberous","germplasm",72,"SŠrkinen","",""
"1440",NA,5076,NA,5867,"CIP 761930","","",19.1217,-97.0839,2400,"iopetalum","iopetalum","tuberous","germplasm",72,"SŠrkinen","",""
"1441",NA,5077,NA,5868,"CIP 761886","","",16.9497,-96.4361,2750,"iopetalum","iopetalum","tuberous","germplasm",72,"SŠrkinen","",""
"1442",NA,5078,NA,5869,"CIP 761889","","",15.9333,-96.3833,819,"iopetalum","iopetalum","tuberous","germplasm",72,"SŠrkinen","",""
"1443",NA,5080,NA,5871,"90421","","",16.8176,-96.9816,2790,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1444",NA,5081,NA,5872,"80094","","",19.73,-100.8,2515,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1445",NA,5082,NA,5873,"89743","","",19.7198,-104.378,0,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1446",NA,5083,NA,5874,"80093","","",19.65,-100.98,0,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1447",NA,5084,NA,5875,"90259","","",20.23,-98.4,1950,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1448",NA,5085,NA,5876,"90402","","",17.13312,-98.03166,2395,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1449",NA,5086,NA,5877,"89402","","",20.0104,-98.6491,2700,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1450",NA,5087,NA,5878,"89549","","",19.5412,-104.174,1700,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1451",NA,5088,NA,5879,"89744","","",19.24,-102.16,2850,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1452",NA,5089,NA,5880,"90262","","",20.4,-100.14,2640,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1453",NA,5090,NA,5881,"88975","","",19.7219,-103.67,2400,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1454",NA,5091,NA,5882,"90073","","",19.0478,-99.3233,2900,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1455",NA,5092,NA,5883,"90427","","",17.529,-99.7136,2530,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1456",NA,5093,NA,5884,"90605","","",19.39,-101.5,2720,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1457",NA,5094,NA,5885,"88388","","",19.4,-100.25,2920,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1458",NA,5096,NA,5887,"90422","","",16.8666,-96.8325,2540,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1459",NA,5098,NA,5889,"89017","","",17.1666,-97.7333,2750,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1460",NA,5099,NA,5890,"89055","","",19.115,-100.02,2125,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1461",NA,5100,NA,5891,"89378","","",19.02,-99.53,2880,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1462",NA,5101,NA,5892,"88951","","",20.405,-104.945,2000,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1463",NA,5102,NA,5893,"88452","","",19.4666,-103.3,1940,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1464",NA,5103,NA,5894,"90231","","",20.29,-99.14,2630,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1465",NA,5104,NA,5895,"90424","","",17.1383,-96.6136,2700,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1466",NA,5105,NA,5896,"88559","","",17.45,-100.16,2750,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1467",NA,5106,NA,5897,"88632","","",19.33,-102.3,1900,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1468",NA,5107,NA,5898,"90744","","",17.4587,-100.058,2500,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1469",NA,5108,NA,5899,"88974","","",20.047,-103.833,2100,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1470",NA,5109,NA,5900,"88391","","",20.15,-98.13,1950,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1471",NA,5110,NA,5901,"88560","","",18.8454,-103.051,2900,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1472",NA,5111,NA,5902,"90404","","",17.15,-98.2,2600,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1473",NA,5113,NA,5904,"89973","","",19.25,-100.13,2850,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1474",NA,5114,NA,5905,"89759","","",19.6448,-101.987,3000,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1475",NA,5115,NA,5906,"88737","","",16.1685,-96.4979,2380,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1476",NA,5116,NA,5907,"90525","","",20.7,-99.8166,2600,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1477",NA,5117,NA,5908,"89553","","",19.6288,-103.554,2660,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1478",NA,5118,NA,5909,"8142","","",19.2,-99.88333,3350,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1479",NA,5119,NA,5910,"89993","","",19.49,-100.4,2880,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1480",NA,5120,NA,5911,"89817","","",19.4449,-101.715,2800,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1481",NA,5121,NA,5912,"126461","","",19.78361,-97.63442,2250,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1482",NA,5122,NA,5913,"89779","","",19.956,-100.664,3100,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1483",NA,5123,NA,5914,"90200","","",19.233,-98.033,3000,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1484",NA,5124,NA,5915,"88779","","",16.2338,-95.9699,2400,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1485",NA,5125,NA,5916,"88923","","",20.925,-100.179,3250,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1486",NA,5126,NA,5917,"88728","","",19.41,-100.51,2700,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1487",NA,5127,NA,5918,"90660","","",19.4166,-102.067,0,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1488",NA,5128,NA,5919,"89827","","",19.695,-101.135,3100,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1489",NA,5129,NA,5920,"89996","","",20.3,-103.02,2230,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1490",NA,5130,NA,5921,"88715","","",20.5958,-98.624,2000,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1491",NA,5132,NA,5923,"89906","","",17.3302,-99.4132,2200,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1492",NA,5133,NA,5924,"89634","","",20.33,-98.29,2300,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1493",NA,5134,NA,5925,"89847","","",21.2666,-99.0833,950,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1494",NA,5135,NA,5926,"89047","","",19.4,-101.6,2425,"iopetalum","iopetalum","tuberous","wild",NA,"SŠrkinen","",""
"1495",NA,5136,NA,5927,"498249","","",17.14,-96.21,NA,"iopetalum","iopetalum","tuberous","germplasm",72,"SŠrkinen","",""
"1496",NA,5137,NA,5928,"558431","","",17.53,-96.51,NA,"iopetalum","iopetalum","tuberous","germplasm",NA,"SŠrkinen","",""
"1497",NA,5139,NA,5930,"597681","","",16.1,-95.88,NA,"iopetalum","iopetalum","tuberous","germplasm",72,"SŠrkinen","",""
"1498",NA,5141,NA,5932,"604096","","",23.625925,-102.001705,NA,"iopetalum","iopetalum","tuberous","germplasm",72,"SŠrkinen","",""
"1499",NA,5144,NA,5935,"PI 239402","","",19.132778,-99.75,NA,"iopetalum","iopetalum","tuberous","germplasm",72,"SŠrkinen","",""
"1500",NA,5146,NA,5937,"PI 498021","","",20.55,-98.483333,NA,"iopetalum","iopetalum","tuberous","germplasm",72,"SŠrkinen","",""
"1501",NA,5147,NA,5938,"PI 498251","","",16.35,-96.6,NA,"iopetalum","iopetalum","tuberous","germplasm",72,"SŠrkinen","",""
