"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"732",NA,5149,NA,5940,"CIP 762776","","",33.4022,-112.5708,2150,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","",""
"733",NA,5151,NA,5942,"CIP 764115","","",33.6094,-109.2,2290,"jamesii","jamesii","tuberous","germplasm",24,"SŠrkinen","",""
"734",NA,5152,NA,5943,"91147","","",34.078,-107.171,0,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"735",NA,5153,NA,5944,"89318","","",34.017,-107.0825,0,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"736",NA,5154,NA,5945,"90737","","",35.263,-108.33,2073,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"737",NA,5155,NA,5946,"90740","","",37.3033,-105.0026,2140,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"738",NA,5156,NA,5947,"91041","","",34.0832,-105.43,2100,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"739",NA,5157,NA,5948,"91375","","",32.376,-106.563,0,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"740",NA,5158,NA,5949,"138824","","",35.54378,-106.9015,0,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"741",NA,5159,NA,5950,"91307","","",34.2807,-110.0525,0,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"742",NA,5160,NA,5951,"88565","","",36.091,-109.2607,1743,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"743",NA,5161,NA,5952,"88567","","",33.3929,-108.5229,1875,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"744",NA,5162,NA,5953,"91019","","",33.4543,-108.4251,1870,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"745",NA,5163,NA,5954,"90978","","",31.99763,-108.2328,0,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"746",NA,5164,NA,5955,"88568","","",31.5932,-104.5002,0,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"747",NA,5165,NA,5956,"90701","","",36.5913,-110.0101,0,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"748",NA,5166,NA,5957,"90716","","",32.8894,-108.174,0,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"749",NA,5167,NA,5958,"91146","","",32.764,-108.618,0,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"750",NA,5168,NA,5959,"88530","","",34.5617,-111.2609,2169,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"751",NA,5169,NA,5960,"91308","","",34.4817,-109.2414,1814,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"752",NA,5170,NA,5961,"91027","","",33.5945,-109.0737,2530,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"753",NA,5171,NA,5962,"88525","","",34.023,-109.5411,1920,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"754",NA,5172,NA,5963,"90676","","",34.5428,-110.0939,1548,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"755",NA,5173,NA,5964,"89534","","",33.1114,-108.0047,1800,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"756",NA,5174,NA,5965,"88849","","",37.0842,-108.3031,0,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"757",NA,5175,NA,5966,"89119","","",36.3346,-105.0632,2200,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
"758",NA,5176,NA,5967,"88535","","",31.809,-109.28,0,"jamesii","jamesii","tuberous","wild",NA,"SŠrkinen","",""
