"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1625",NA,5517,NA,6334,"CIP 763964","","",10.1839,-84.2358,2573,"longiconicum","longiconicum","tuberous","germplasm",48,"SŠrkinen","",""
"1626",NA,5519,NA,6335,"CIP 763966","","",10.1317,-84.1225,2675,"longiconicum","longiconicum","tuberous","germplasm",48,"SŠrkinen","",""
"1627",NA,5521,NA,6336,"CIP 764002","","",9.9828,-83.8983,NA,"longiconicum","longiconicum","tuberous","germplasm",48,"SŠrkinen","",""
"1628",NA,5525,NA,6338,"CIP 763999","","",9.9989,-83.7639,NA,"longiconicum","longiconicum","tuberous","germplasm",48,"SŠrkinen","",""
"1629",NA,5531,NA,6341,"CIP 763031","","",8.8167,-82.3833,1977,"longiconicum","longiconicum","tuberous","germplasm",48,"SŠrkinen","",""
"1630",NA,5535,NA,6343,"8499","","",8.922222,-82.71222,2470,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1631",NA,5539,NA,6345,"15021","","",9.10975,-82.86913,3200,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1632",NA,5541,NA,6346,"89027","","",8.49,-82.23,2000,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1633",NA,5545,NA,6348,"89862","","",9.2822,-83.3432,1700,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1634",NA,5549,NA,6350,"82645","","",10.003,-83.059,1400,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1635",NA,5551,NA,6351,"18021","","",9.541111,-83.58444,2600,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1636",NA,5553,NA,6352,"40989","","",9.05641,-82.52369,3000,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1637",NA,5555,NA,6353,"90645","","",10.2,-84.5,1200,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1638",NA,5557,NA,6354,"16149","","",9.556111,-83.67556,2700,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1639",NA,5561,NA,6356,"18019","","",9.116667,-82.96667,2450,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1640",NA,5565,NA,6358,"48530","","",9.2345,-83.0925,2300,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
"1641",NA,5567,NA,6359,"54908","","",9.43,-83.47,1500,"longiconicum","longiconicum","tuberous","wild",NA,"SŠrkinen","",""
