"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"3322",34777,11713,NA,NA,NA,"Knapp, S","0.12.2008",4.75,-75.583333,2000,"loxophyllum","loxophyllum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3323",19263,11714,NA,NA,NA,NA,"0.0.0",-4.494917,-79.131917,2500,"loxophyllum","loxophyllum","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3324",23967,11715,NA,NA,NA,"Tepe, EJ","0.0.2009",0.35,-79.733333,500,"loxophyllum","loxophyllum","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3325",34759,11716,NA,NA,NA,"Knapp, S","0.12.2008",0.869722,-78.451667,300,"loxophyllum","loxophyllum","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3326",34761,11717,NA,NA,NA,"Knapp, S","0.12.2008",0.85,-78.266667,1000,"loxophyllum","loxophyllum","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3327",44723,11718,NA,NA,NA,"Knapp, S","0.0.2010",-2.434722,-79.231389,950,"loxophyllum","loxophyllum","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3328",53296,11719,NA,NA,NA,"Tepe, EJ","0.2.2009",-0.593611,-79.362222,215,"loxophyllum","loxophyllum","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3329",53505,11720,NA,NA,NA,"Tepe, EJ","20.6.2009",0.48,-78.55,100,"loxophyllum","loxophyllum","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3330",53507,11721,NA,NA,NA,"Tepe, EJ","20.6.2009",-0.21,-79.22,100,"loxophyllum","loxophyllum","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3331",53520,11722,NA,NA,NA,"Tepe, EJ","20.6.2009",0.06,-79.02,650,"loxophyllum","loxophyllum","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3332",54387,11723,NA,NA,NA,"Knapp, S","0.2.2011",1.032159,-78.615656,350,"loxophyllum","loxophyllum","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3333",75505,11724,NA,NA,NA,NA,"0.0.0",-3.466667,-78.75,500,"loxophyllum","loxophyllum","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3334",75506,11725,NA,NA,NA,NA,"0.0.0",-0.48,-78.44,150,"loxophyllum","loxophyllum","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
