"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"565",NA,5732,NA,6539,"CIP 761503","","",-10.4617,-76.945,3800,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"566",NA,5735,NA,6542,"CIP 761531","","",-11.3553,-76.8242,1972,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"567",NA,5736,NA,6543,"CIP 762089","","",-10.8375,-76.7981,3000,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"568",NA,5740,NA,6547,"CIP 762897","","",-11.26,-76.7369,2192,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"569",NA,5755,NA,6562,"CIP 762879","","",-11.4969,-76.6511,2381,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"570",NA,5772,NA,6579,"CIP 762218","","",-11.9781,-76.5286,3000,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"571",NA,5774,NA,6581,"CIP 761414","","",-11.8844,-76.44,2136,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"572",NA,5786,NA,6593,"CIP 763496","","",-12.1033,-75.9014,4421,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"573",NA,5787,NA,6594,"CIP 762920","","",-12.8211,-75.81,2441,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"574",NA,5791,NA,6598,"CIP 761181","","",-16.9286,-71.5997,900,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"575",NA,5798,NA,6605,"CIP 762988","","",-16.0842,-71.8036,3251,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"576",NA,5799,NA,6606,"CIP 762872","","",-16.2806,-71.5169,3215,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"577",NA,5804,NA,6611,"CIP 761233","","",-17.0017,-70.8178,3189,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"578",NA,5805,NA,6612,"CIP 762866","","",-16.8653,-70.6706,3876,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"579",NA,5806,NA,6613,"CIP 761231","","",-17.3017,-70.6403,2647,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
"580",NA,5864,NA,6671,"PI 458402","","",-11.366667,-77.016667,NA,"medians_24","medians","tuberous","germplasm",24,"SŠrkinen","",""
