"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1642",NA,6098,NA,6914,"CIP 764147","","",-11.35,-77.3833,NA,"mochiquense","mochiquense","tuberous","germplasm",24,"SŠrkinen","",""
"1643",NA,6101,NA,6917,"CIP 760009","","",-5.3761,-79.6061,1252,"mochiquense","mochiquense","tuberous","germplasm",24,"SŠrkinen","",""
"1644",NA,6102,NA,6918,"CIP 765869","","",-5.8416,-79.5113,2100,"mochiquense","mochiquense","tuberous","germplasm",NA,"SŠrkinen","",""
"1645",NA,6104,NA,6920,"CIP 761234","","",-6.2689,-79.4078,1649,"mochiquense","mochiquense","tuberous","germplasm",24,"SŠrkinen","",""
"1646",NA,6105,NA,6921,"CIP 760103","","",-8.1089,-79.0308,35,"mochiquense","mochiquense","tuberous","germplasm",24,"SŠrkinen","",""
"1647",NA,6106,NA,6922,"CIP 762637","","",-7.4253,-78.8953,1704,"mochiquense","mochiquense","tuberous","germplasm",24,"SŠrkinen","",""
"1648",NA,6107,NA,6923,"CIP 763921","","",-8.4167,-78.75,NA,"mochiquense","mochiquense","tuberous","germplasm",24,"SŠrkinen","",""
"1649",NA,6108,NA,6924,"CIP 763002","","",-7.3339,-78.7369,1420,"mochiquense","mochiquense","tuberous","germplasm",24,"SŠrkinen","",""
"1650",NA,6109,NA,6925,"CIP 761037","","",-7.8389,-78.7322,3103,"mochiquense","mochiquense","tuberous","germplasm",24,"SŠrkinen","",""
"1651",NA,6110,NA,6926,"CIP 762989","","",-7.1822,-78.5375,3118,"mochiquense","mochiquense","tuberous","germplasm",24,"SŠrkinen","",""
"1652",NA,6111,NA,6927,"CIP 765996","","",-6.7444,-77.8872,3537,"mochiquense","mochiquense","tuberous","germplasm",NA,"SŠrkinen","",""
"1653",NA,6112,NA,6928,"82400","","",-6.61667,-79.2667,0,"mochiquense","mochiquense","tuberous","wild",NA,"SŠrkinen","",""
"1654",NA,6113,NA,6929,"91568","","",-11.495,-77.20778,250,"mochiquense","mochiquense","tuberous","wild",NA,"SŠrkinen","",""
"1655",NA,6116,NA,6932,"82039","","",-8.48333,-78.1,1850,"mochiquense","mochiquense","tuberous","wild",NA,"SŠrkinen","",""
"1656",NA,6118,NA,6934,"84330","","",-11.9131,-76.5264,2770,"mochiquense","mochiquense","tuberous","wild",NA,"SŠrkinen","",""
"1657",NA,6119,NA,6935,"81990","","",-10.8,-77.7333,350,"mochiquense","mochiquense","tuberous","wild",NA,"SŠrkinen","",""
"1658",NA,6121,NA,6937,"81991","","",-12,-76.8333,350,"mochiquense","mochiquense","tuberous","wild",NA,"SŠrkinen","",""
"1659",NA,6122,NA,6938,"75089","","",-12.08294,-76.94652,0,"mochiquense","mochiquense","tuberous","wild",NA,"SŠrkinen","",""
"1660",NA,6123,NA,6939,"94137","","",-6.8,-78.35,3000,"mochiquense","mochiquense","tuberous","wild",NA,"SŠrkinen","",""
"1661",NA,6124,NA,6940,"82641","","",-12.0039,-76.6389,250,"mochiquense","mochiquense","tuberous","wild",NA,"SŠrkinen","",""
"1662",NA,6125,NA,6941,"70848","","",-7.54,-79.04,400,"mochiquense","mochiquense","tuberous","wild",NA,"SŠrkinen","",""
"1663",NA,6127,NA,6943,"82117","","",-12.75,-76.3333,250,"mochiquense","mochiquense","tuberous","wild",NA,"SŠrkinen","",""
