"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"610",NA,6178,NA,6994,"CIP 762418","","",-9.7308,-77.8189,3750,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"611",NA,6182,NA,6998,"CIP 761257","","",-9.8747,-77.7078,2945,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"612",NA,6195,NA,7011,"CIP 761267","","",-9.4789,-77.5864,3971,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"613",NA,6197,NA,7013,"CIP 762979","","",-10.1531,-77.3839,3726,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"614",NA,6214,NA,7030,"CIP 761427","","",-10.3794,-77.215,3942,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"615",NA,6218,NA,7034,"CIP 762088","","",-10.6378,-76.9886,3897,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"616",NA,6222,NA,7038,"CIP 762105","","",-11.55,-76.8436,3400,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"617",NA,6228,NA,7044,"CIP 761512","","",-10.6697,-76.7581,3800,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"618",NA,6232,NA,7048,"CIP 762893","","",-11.4969,-76.7539,3374,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"619",NA,6238,NA,7054,"CIP 762094","","",-11.1267,-76.665,3300,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"620",NA,6243,NA,7059,"CIP 764013","","",-11.5325,-76.6169,3627,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"621",NA,6248,NA,7064,"CIP 762103","","",-11.3692,-76.5111,4489,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"622",NA,6251,NA,7067,"CIP 761324","","",-11.9397,-76.4256,3276,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"623",NA,6254,NA,7070,"CIP 762073","","",-12.2078,-76.3492,3873,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"624",NA,6258,NA,7074,"CIP 762082","","",-12.1033,-75.9014,4421,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"625",NA,6285,NA,7101,"498312","","",-9.19397,-74.990627,NA,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"626",NA,6288,NA,7104,"PI 365338","","",-9.716667,-77.466667,NA,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
"627",NA,6290,NA,7106,"PI 498265","","",-8.633333,-77.6,NA,"multiinterruptum_24","multiinterruptum","tuberous","germplasm",24,"SŠrkinen","",""
