"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1699",NA,6316,NA,7129,"CIP 764172","","",-23.25,-66.0833,NA,"neorossii","neorossii","tuberous","germplasm",24,"SŠrkinen","",""
"1700",NA,6317,NA,7130,"CIP 764171","","",-22.25,-65.0833,NA,"neorossii","neorossii","tuberous","germplasm",24,"SŠrkinen","",""
"1701",NA,6319,NA,7132,"79969","","",-23.7,-65.0666,3100,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"1702",NA,6320,NA,7133,"83712","","",-23.5167,-65.2167,3500,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"1703",NA,6321,NA,7134,"79356","","",-22.1833,-64.8333,2750,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"1704",NA,6322,NA,7135,"79040","","",-23.7334,-65.2501,2800,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"1705",NA,6323,NA,7136,"87568","","",-24.4333,-65.95,3650,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"1706",NA,6324,NA,7137,"79357","","",-22.2,-64.95,2250,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"1707",NA,6325,NA,7138,"77989","","",-23.5666,-65.3666,3100,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"1708",NA,6326,NA,7139,"79006","","",-23.2,-64.9166,3500,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"1709",NA,6327,NA,7140,"79833","","",-24.62,-65.58,3350,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"1710",NA,6329,NA,7142,"87563","","",-25.0333,-65.2833,3200,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"1711",NA,6330,NA,7143,"83014","","",-23.1833,-66.2166,3200,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
"1712",NA,6331,NA,7144,"78362","","",-22.7166,-65.2,2900,"neorossii","neorossii","tuberous","wild",NA,"SŠrkinen","",""
