"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"3462",120528,12179,NA,NA,NA,"Orozco, CI","1.1.2002",4.901589,-74.4256,0,"ochranthum","ochranthum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3463",1706,12180,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",1.316953,-77.209883,2400,"ochranthum","ochranthum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3464",2127,12181,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",1.56969,-76.946,2630,"ochranthum","ochranthum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3465",2392,12182,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",0.833333,-77.666667,3280,"ochranthum","ochranthum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3466",24429,12183,NA,NA,NA,"Correll, DS","0.0.1959",7.125165,-75.21255,2400,"ochranthum","ochranthum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3467",24431,12184,NA,NA,NA,"Ugent, D","0.0.1967",2.31591,-76.56591,2100,"ochranthum","ochranthum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3468",24432,12185,NA,NA,NA,"Correll, DS","0.0.1959",5.061742,-75.174751,2650,"ochranthum","ochranthum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3469",2645,12186,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",3.75,-76.5,2800,"ochranthum","ochranthum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3470",3501,12187,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",1.148249,-77.095726,3300,"ochranthum","ochranthum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3471",3622,12188,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",4.442077,-75.47106,0,"ochranthum","ochranthum","nongeophyte",NA,NA,"Potato","COL","Colombia"
