"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1713",NA,6338,NA,7167,"CIP 762496","","",-17.0333,-67.25,3042,"okadae","okadae","tuberous","germplasm",24,"SŠrkinen","",""
"1714",NA,6343,NA,7172,"CIP 762302","","",-16.8258,-67.0814,2700,"okadae","okadae","tuberous","germplasm",24,"SŠrkinen","",""
"1715",NA,6346,NA,7175,"CIP 760452","","",-17.0667,-66.8167,3056,"okadae","okadae","tuberous","germplasm",24,"SŠrkinen","",""
"1716",NA,6347,NA,7176,"77290","","",-17.4167,-65.4167,3200,"okadae","okadae","tuberous","wild",NA,"SŠrkinen","",""
"1717",NA,6348,NA,7177,"81480","","",-17.4167,-66.9167,2750,"okadae","okadae","tuberous","wild",NA,"SŠrkinen","",""
"1718",NA,6351,NA,7180,"77288","","",-17.1,-66.9167,2450,"okadae","okadae","tuberous","wild",NA,"SŠrkinen","",""
"1719",NA,6352,NA,7181,"77291","","",-17.5167,-65.2667,3200,"okadae","okadae","tuberous","wild",NA,"SŠrkinen","",""
"1720",NA,6353,NA,7182,"77124","","",-17.0333,-65.25,3060,"okadae","okadae","tuberous","wild",NA,"SŠrkinen","",""
"1721",NA,6354,NA,7183,"77287","","",-17.2833,-66.6167,2670,"okadae","okadae","tuberous","wild",NA,"SŠrkinen","",""
"1722",NA,6355,NA,7184,"77292","","",-20.5,-65.1667,0,"okadae","okadae","tuberous","wild",NA,"SŠrkinen","",""
