"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1723",NA,6370,NA,7281,"CIP 763986","","",18.3328,-97.0669,2640,"oxycarpum","oxycarpum","tuberous","germplasm",48,"SŠrkinen","",""
"1724",NA,6371,NA,7282,"CIP 761931","","",18.5903,-95.9867,2181,"oxycarpum","oxycarpum","tuberous","germplasm",48,"SŠrkinen","",""
"1725",NA,6372,NA,7283,"CIP 763981","","",16.8183,-92.5803,2950,"oxycarpum","oxycarpum","tuberous","germplasm",48,"SŠrkinen","",""
"1726",NA,6374,NA,7285,"88812","","",19.34,-97.14,2100,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"1727",NA,6375,NA,7286,"88898","","",20.251,-98.3739,2130,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"1728",NA,6377,NA,7288,"89295","","",17.3381,-96.4755,0,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"1729",NA,6378,NA,7289,"89413","","",20.4,-100.14,2660,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"1730",NA,6379,NA,7290,"89887","","",18.0957,-96.5952,2370,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"1731",NA,6380,NA,7291,"89935","","",20.1856,-98.153,2280,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"1732",NA,6381,NA,7292,"88627","","",19.6166,-97.0333,2080,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"1733",NA,6382,NA,7293,"91196","","",18.15,-96.85,0,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"1734",NA,6383,NA,7294,"90817","","",18.14,-96.07,2000,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"1735",NA,6384,NA,7295,"89886","","",17.31,-96.31,2850,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"1736",NA,6385,NA,7296,"88817","","",19.4,-98.35,2150,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"1737",NA,6386,NA,7297,"89419","","",18.4928,-97.3955,2000,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"1738",NA,6387,NA,7298,"89009","","",17.165,-96.0833,2550,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"1739",NA,6388,NA,7299,"88687","","",19.55,-97.26,1950,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"1740",NA,6389,NA,7300,"89442","","",17.053,-96.78,0,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"1741",NA,6390,NA,7301,"90154","","",18.15,-96.75,2060,"oxycarpum","oxycarpum","tuberous","wild",NA,"SŠrkinen","",""
"1742",NA,6391,NA,7302,"595525","","",18.302017,-96.951825,NA,"oxycarpum","oxycarpum","tuberous","germplasm",NA,"SŠrkinen","",""
