"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"3617",124298,12371,NA,NA,NA,"Meza-Ortiz, J","0.0.0",6.604694,-73.35833,0,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3618",34788,12372,NA,NA,NA,"Knapp, S","0.12.2008",6.666667,-76.433333,1460,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3619",34789,12373,NA,NA,NA,"Knapp, S","0.12.2008",6.533333,-76.316667,1350,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3620",53439,12374,NA,NA,NA,"Tepe, EJ","0.12.2008",6.31,-76.19,1300,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3621",53735,12375,NA,NA,NA,"Tepe, EJ","0.12.2009",3.4742,-73.5437,855,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","COL","Colombia"
"3622",107417,12376,NA,NA,NA,"Tepe, EJ","0.0.2011",10.3,-84.58,500,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","CRI","Costa Rica"
"3623",34785,12377,NA,NA,NA,"Knapp, S","0.12.2008",10.383333,-84.716667,1000,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","CRI","Costa Rica"
"3624",39608,12378,NA,NA,NA,"Knapp, S","18.10.2009",10.326898,-68.168765,1219,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","VEN","Venezuela"
"3625",53408,12379,NA,NA,NA,"Tepe, EJ","0.12.2008",9.703684,-69.586569,1630,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","VEN","Venezuela"
"3626",53445,12380,NA,NA,NA,"Tepe, EJ","20.6.2009",10.404314,-67.288986,1676,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","VEN","Venezuela"
"3627",53446,12381,NA,NA,NA,"Tepe, EJ","20.6.2009",9.11,-70.09,1600,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","VEN","Venezuela"
"3628",53451,12382,NA,NA,NA,"Tepe, EJ","0.12.2008",8.5,-70.35,1500,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","VEN","Venezuela"
"3629",53452,12383,NA,NA,NA,"Tepe, EJ","0.12.2008",8.51,-71.35,1300,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","VEN","Venezuela"
"3630",53453,12384,NA,NA,NA,"Tepe, EJ","0.12.2008",10.279575,-67.788854,480,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","VEN","Venezuela"
"3631",53457,12385,NA,NA,NA,"Tepe, EJ","0.12.2008",10.444203,-67.963872,0,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","VEN","Venezuela"
"3632",53459,12386,NA,NA,NA,"Tepe, EJ","0.12.2008",10.152482,-68.564885,1300,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","VEN","Venezuela"
"3633",53460,12387,NA,NA,NA,"Tepe, EJ","0.12.2008",10.12,-68.35,1200,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","VEN","Venezuela"
"3634",53465,12388,NA,NA,NA,"Tepe, EJ","0.12.2008",10.357982,-67.597848,1600,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","VEN","Venezuela"
"3635",53466,12389,NA,NA,NA,"Tepe, EJ","20.6.2009",10.472864,-67.160025,0,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","VEN","Venezuela"
"3636",53469,12390,NA,NA,NA,"Tepe, EJ","0.12.2008",10.35,-67.7,0,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","VEN","Venezuela"
"3637",53470,12391,NA,NA,NA,"Tepe, EJ","20.6.2009",10.12239,-68.24001,1250,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","VEN","Venezuela"
"3638",53529,12392,NA,NA,NA,"Tepe, EJ","20.6.2009",9.52,-69.18,1300,"pentaphyllum","pentaphyllum","nongeophyte",NA,NA,"Potato","VEN","Venezuela"
