"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"3639",1632,12397,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-18.395594,-69.593937,3350,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","CHL","Chile"
"3640",1724,12398,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-18.4,-70.3,20,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","CHL","Chile"
"3641",1769,12399,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-18.526044,-70.147892,0,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","CHL","Chile"
"3642",2658,12400,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-18.759507,-69.57578,0,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","CHL","Chile"
"3643",3805,12401,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-18.816667,-70.133333,500,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","CHL","Chile"
"3644",1634,12402,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-16.393063,-71.535557,350,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3645",1693,12403,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-16.218167,-73.673333,90,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3646",1694,12404,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-16.225667,-73.5745,60,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3647",1695,12405,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-15.808833,-74.352667,240,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3648",1707,12406,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-11.863436,-77.007087,100,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3649",2047,12407,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-12.174017,-76.90764,250,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3650",2154,12408,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-11.350478,-77.376558,300,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3651",2156,12409,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-17.009975,-72.016667,500,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3652",2259,12410,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-10.673758,-77.818357,30,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3653",2263,12411,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-7.384091,-79.550695,30,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3654",2269,12412,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-7.717595,-79.325839,60,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3655",2278,12413,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-16,-72.25,0,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3656",2418,12414,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-9.655662,-77.059697,0,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3657",2434,12415,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-11.500535,-77.205382,500,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3658",2438,12416,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-16.356063,-73.02045,480,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3659",3162,12417,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-10.423709,-77.923396,330,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3660",3261,12418,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-16.269293,-73.470198,0,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3661",3317,12419,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-17.091427,-71.671043,700,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3662",33290,12420,NA,NA,NA,"Knapp, S","0.9.2008",-15.675482,-74.501437,100,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3663",3380,12421,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-15.870513,-74.241963,350,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3664",3433,12422,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-6.509399,-79.12221,2000,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3665",3511,12423,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-12.067242,-77.14087,0,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3666",3568,12424,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-11.333333,-77.5,400,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3667",3580,12425,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-10.155065,-77.443647,2500,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3668",4670,12427,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-15.81998,-73.392428,1800,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3669",4778,12428,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-17.987955,-70.87665,400,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3670",4800,12429,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-5.016775,-80.009783,1425,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3671",4895,12430,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-11.90279,-76.786243,0,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3672",5040,12431,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-16.617343,-72.692108,800,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3673",5145,12432,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-11.85,-76.4,0,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
"3674",5229,12433,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-10.792652,-77.708293,0,"peruvianum","peruvianum","nongeophyte",NA,NA,"Potato","PER","Peru"
