"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"3697",1500,12466,NA,NA,NA,"Without Collector","0.0.0",-0.252622,-79.170405,0,"pimpinellifolium","pimpinellifolium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3698",1673,12467,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-3.441017,-79.824075,30,"pimpinellifolium","pimpinellifolium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3699",1692,12468,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-2.167922,-79.769205,0,"pimpinellifolium","pimpinellifolium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3700",16921,12469,NA,NA,NA,"Knapp, S","0.0.2006",-0.405882,-80.112573,10,"pimpinellifolium","pimpinellifolium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3701",2000,12470,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-0.958748,-80.70281,0,"pimpinellifolium","pimpinellifolium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3702",2002,12471,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-0.616066,-80.433045,0,"pimpinellifolium","pimpinellifolium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3703",2244,12472,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-2.20142,-80.034323,0,"pimpinellifolium","pimpinellifolium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3704",2245,12473,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-3.45222,-79.961667,0,"pimpinellifolium","pimpinellifolium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3705",2248,12474,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-3.192912,-79.480387,0,"pimpinellifolium","pimpinellifolium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
"3706",2276,12475,NA,NA,NA,"Knapp, S; Peralta, IE","0.0.2002",-2.112167,-77.201667,100,"pimpinellifolium","pimpinellifolium","nongeophyte",NA,NA,"Potato","ECU","Ecuador"
