"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1752",NA,6417,NA,7335,"CIP 766114","","",21.5,-101.9833333,1950,"pinnatisectum","pinnatisectum","tuberous","germplasm",NA,"SŠrkinen","",""
"1753",NA,6418,NA,7336,"CIP 760722","","",21.1167,-101.6667,1800,"pinnatisectum","pinnatisectum","tuberous","germplasm",24,"SŠrkinen","",""
"1754",NA,6419,NA,7337,"CIP 766113","","",20.6,-100.3833333,1900,"pinnatisectum","pinnatisectum","tuberous","germplasm",NA,"SŠrkinen","",""
"1755",NA,6420,NA,7338,"88698","","",21.07,-101.4,1800,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1756",NA,6421,NA,7339,"90523","","",20.56,-101.77,2200,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1757",NA,6423,NA,7341,"90233","","",19.6868,-101.331,1950,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1758",NA,6424,NA,7342,"89514","","",19.6,-101.58,0,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1759",NA,6425,NA,7343,"90511","","",19.9666,-101.767,1750,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1760",NA,6426,NA,7344,"89835","","",20.225,-100.87,1750,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1761",NA,6427,NA,7345,"89407","","",20.4093,-101.197,0,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1762",NA,6428,NA,7346,"91233","","",20.9166,-100.75,1981,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1763",NA,6429,NA,7347,"89789","","",20.3242,-103.444,1500,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1764",NA,6430,NA,7348,"90165","","",19.7,-101.12,2000,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1765",NA,6431,NA,7349,"89764","","",19.7029,-101.215,2050,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1766",NA,6433,NA,7351,"89400","","",20.1421,-103.041,0,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1767",NA,6434,NA,7352,"88832","","",20.3,-100.08,1900,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1768",NA,6435,NA,7353,"90617","","",19.675,-104.35,0,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1769",NA,6436,NA,7354,"89688","","",20.34347,-100.1942,2000,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1770",NA,6437,NA,7355,"88758","","",20.4,-103.2,1600,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1771",NA,6438,NA,7356,"90508","","",19.8795,-100.95,1900,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1772",NA,6439,NA,7357,"90338","","",20.8833,-100.533,2195,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
"1773",NA,6440,NA,7358,"82909","","",20.15,-102.06,1850,"pinnatisectum","pinnatisectum","tuberous","wild",NA,"SŠrkinen","",""
