"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1779",NA,6467,NA,7384,"CIP 760724","","",19.7,-101.1167,1995,"polyadenium","polyadenium","tuberous","germplasm",24,"SŠrkinen","",""
"1780",NA,6469,NA,7386,"CIP 761911","","",20.3833,-100,1920,"polyadenium","polyadenium","tuberous","germplasm",24,"SŠrkinen","",""
"1781",NA,6470,NA,7387,"CIP 760725","","",19.3,-97.6333,2510,"polyadenium","polyadenium","tuberous","germplasm",24,"SŠrkinen","",""
"1782",NA,6471,NA,7388,"CIP 760726","","",18.85,-97.1,1238,"polyadenium","polyadenium","tuberous","germplasm",24,"SŠrkinen","",""
"1783",NA,6472,NA,7389,"89270","","",18.9901,-97.2442,2195,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1784",NA,6473,NA,7390,"90510","","",19.95,-100.96,1950,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1785",NA,6474,NA,7391,"89275","","",18.15,-96.85,2120,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1786",NA,6475,NA,7392,"90208","","",17.15,-96.02,1900,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1787",NA,6476,NA,7393,"90526","","",20.766,-99.46,2100,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1788",NA,6477,NA,7394,"88947","","",19.62,-100.7,1950,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1789",NA,6478,NA,7395,"89030","","",19.36,-101.21,1950,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1790",NA,6479,NA,7396,"82600","","",19.375,-97.48,2210,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1791",NA,6481,NA,7398,"89149","","",19.033,-100.05,2750,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1792",NA,6482,NA,7399,"91428","","",20.2,-99.56,2150,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1793",NA,6483,NA,7400,"89988","","",19.35,-103.34,2725,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1794",NA,6484,NA,7401,"90250","","",19.18,-97.38,2510,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1795",NA,6485,NA,7402,"90917","","",21,-99.08,2400,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1796",NA,6487,NA,7404,"89908","","",18.1,-97.02,2120,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1797",NA,6488,NA,7405,"77888","","",19.8166,-98.6,2650,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1798",NA,6490,NA,7407,"89137","","",19.44,-101.37,0,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1799",NA,6491,NA,7408,"82696","","",19.51838,-99.19026,2311,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1800",NA,6492,NA,7409,"77886","","",20.3329,-103.412,1900,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1801",NA,6493,NA,7410,"88801","","",19.95,-99.3,2150,"polyadenium","polyadenium","tuberous","wild",NA,"SŠrkinen","",""
"1802",NA,6494,NA,7411,"PI 161728","","",19.733333,-101.616667,NA,"polyadenium","polyadenium","tuberous","germplasm",24,"SŠrkinen","",""
