"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"882",NA,6500,NA,7417,"CIP 763291","","",-13.4658,-72.6197,3500,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"883",NA,6501,NA,7418,"CIP 761786","","",-13.1761,-72.5511,2123,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"884",NA,6505,NA,7422,"CIP 761013","","",-14.4361,-72.5228,3250,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"885",NA,6507,NA,7424,"CIP 765893","","",-13.2142,-72.3006,2921,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
"886",NA,6512,NA,7429,"CIP 761127","","",-13.4878,-72.1606,3460,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"887",NA,6520,NA,7437,"CIP 761794","","",-13.2942,-72.0733,3500,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"888",NA,6522,NA,7439,"CIP 761640","","",-13.4917,-71.9881,2966,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"889",NA,6535,NA,7452,"CIP 761990","","",-13.2658,-71.9236,3418,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"890",NA,6537,NA,7454,"CIP 765909","","",-13.5523,-71.8738,3204,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
"891",NA,6550,NA,7467,"CIP 765752","","",-13.4178,-71.7702,4339,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
"892",NA,6552,NA,7469,"CIP 763391","","",-14.7822,-71.6892,4041,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
"893",NA,6553,NA,7470,"CIP 762393","","",-13.8928,-71.6725,3650,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"894",NA,6555,NA,7472,"CIP 761700","","",-13.3186,-71.5956,2923,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"895",NA,6556,NA,7473,"CIP 761110","","",-14.0361,-71.5708,3699,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"896",NA,6562,NA,7479,"CIP 761692","","",-13.3219,-71.4961,3500,"raphanifolium","raphanifolium","tuberous","germplasm",24,"SŠrkinen","",""
"897",NA,6568,NA,7485,"CIP 765915","","",-14.3805,-71.4848,3619,"raphanifolium","raphanifolium","tuberous","germplasm",NA,"SŠrkinen","",""
