"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"4130",1247,18028,NA,NA,NA,NA,"0.0.0",-25.445833,-70.515833,30,"remyanum","remyanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"4131",14446,18029,NA,NA,NA,"Bennett, JR","0.6.2006",-28.566667,-70.75,0,"remyanum","remyanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"4132",14451,18031,NA,NA,NA,"Bennett, JR","0.6.2006",-26.733333,-70.733333,0,"remyanum","remyanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"4133",14453,18032,NA,NA,NA,"Bennett, JR","0.6.2006",-27.483333,-70.283333,700,"remyanum","remyanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"4134",14459,18033,NA,NA,NA,"Bennett, JR","0.6.2006",-26.383333,-70.65,0,"remyanum","remyanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"4135",14467,18034,NA,NA,NA,"Bennett, JR","0.6.2006",-27.666667,-69.916667,2200,"remyanum","remyanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"4136",14468,18035,NA,NA,NA,"Bennett, JR","0.6.2006",-25.15,-70.433333,0,"remyanum","remyanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"4137",14469,18036,NA,NA,NA,"Bennett, JR","0.6.2006",-28.15,-70.366667,0,"remyanum","remyanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"4138",14474,18037,NA,NA,NA,"Bennett, JR","0.6.2006",-28.466667,-71.216667,0,"remyanum","remyanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"4139",14478,18038,NA,NA,NA,"Bennett, JR","0.6.2006",-27.066667,-70.783333,0,"remyanum","remyanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"4140",16823,18039,NA,NA,NA,NA,"0.0.0",-26.016667,-70.6,720,"remyanum","remyanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"4141",16826,18040,NA,NA,NA,NA,"0.0.0",-29.966667,-71.316667,140,"remyanum","remyanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"4142",16827,18041,NA,NA,NA,NA,"0.0.0",-24.53,-70.31,130,"remyanum","remyanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"4143",16831,18042,NA,NA,NA,NA,"0.0.0",-28.866667,-71.116667,350,"remyanum","remyanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
"4144",17653,18043,NA,NA,NA,"Bennett, JR","0.6.2006",-27.7,-70.6,0,"remyanum","remyanum","nongeophyte",NA,NA,"GagnOl","CHL","Chile"
