"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1803",NA,6678,NA,7642,"CIP 761928","","",19.0375,-97.8161,2520,"schenckii","schenckii","tuberous","germplasm",72,"SŠrkinen","",""
"1804",NA,6679,NA,7643,"CIP 761885","","",17.2667,-97.6833,2055,"schenckii","schenckii","tuberous","germplasm",72,"SŠrkinen","",""
"1805",NA,6681,NA,7645,"CIP 761887","","",16.9497,-96.4361,2770,"schenckii","schenckii","tuberous","germplasm",72,"SŠrkinen","",""
"1806",NA,6682,NA,7646,"88749","","",21.06,-99.42,2900,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"1807",NA,6683,NA,7647,"88964","","",18.8666,-97.4,2420,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"1808",NA,6684,NA,7648,"91219","","",16.1,-96.15,3500,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"1809",NA,6687,NA,7651,"89014","","",17.16,-97.41,2750,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"1810",NA,6688,NA,7652,"90785","","",19.8833,-97.5833,0,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"1811",NA,6689,NA,7653,"88828","","",18.51,-97.21,2470,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"1812",NA,6690,NA,7654,"88671","","",17.1734,-96.7478,0,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"1813",NA,6691,NA,7655,"89904","","",17.0944,-93.3502,2720,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"1814",NA,6693,NA,7657,"90405","","",17.23,-97.52,1780,"schenckii","schenckii","tuberous","wild",NA,"SŠrkinen","",""
"1815",NA,6694,NA,7658,"PI 498250","","",16.283333,-97.683333,NA,"schenckii","schenckii","tuberous","germplasm",72,"SŠrkinen","",""
