"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1816",NA,6698,NA,7710,"CIP 763104","","",28.2167,-106.5667,1680,"stenophyllidium","stenophyllidium","tuberous","germplasm",24,"SŠrkinen","",""
"1817",NA,6699,NA,7711,"CIP 761915","","",28.8183,-106.4539,1775,"stenophyllidium","stenophyllidium","tuberous","germplasm",24,"SŠrkinen","",""
"1818",NA,6700,NA,7712,"CIP 761917","","",28.85,-106.3333,1650,"stenophyllidium","stenophyllidium","tuberous","germplasm",24,"SŠrkinen","",""
"1819",NA,6701,NA,7713,"CIP 761927","","",28.2167,-105.3167,1228,"stenophyllidium","stenophyllidium","tuberous","germplasm",24,"SŠrkinen","",""
"1820",NA,6702,NA,7714,"CIP 763781","","",21,-103.4167,1547,"stenophyllidium","stenophyllidium","tuberous","germplasm",24,"SŠrkinen","",""
"1821",NA,6703,NA,7715,"CIP 763860","","",21.95,-102.5833,NA,"stenophyllidium","stenophyllidium","tuberous","germplasm",24,"SŠrkinen","",""
"1822",NA,6705,NA,7717,"CIP 763859","","",22.3167,-102.45,NA,"stenophyllidium","stenophyllidium","tuberous","germplasm",24,"SŠrkinen","",""
"1823",NA,6706,NA,7718,"CIP 761891","","",19.0075,-99.2308,NA,"stenophyllidium","stenophyllidium","tuberous","germplasm",24,"SŠrkinen","",""
"1824",NA,6707,NA,7719,"89896","","",20.35,-103.39,1440,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"1825",NA,6709,NA,7721,"89110","","",21.87,-102.44,2200,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"1826",NA,6711,NA,7723,"88722","","",27.45,-106.035,1750,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"1827",NA,6714,NA,7726,"89678","","",22.216,-103.1,2100,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"1828",NA,6715,NA,7727,"89517","","",30.6059,-108.676,1463,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"1829",NA,6716,NA,7728,"91524","","",22.466,-104.733,0,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"1830",NA,6717,NA,7729,"90550","","",28.8,-106.686,1780,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"1831",NA,6718,NA,7730,"88770","","",29.08,-106.05,2150,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"1832",NA,6719,NA,7731,"89879","","",21.5513,-102.3419,2100,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"1833",NA,6720,NA,7732,"88876","","",26.3271,-106.361,1800,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"1834",NA,6721,NA,7733,"89737","","",21.17,-101.51,2050,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"1835",NA,6722,NA,7734,"91109","","",28.08,-106.2,1640,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"1836",NA,6723,NA,7735,"90960","","",27.27,-105.5,2100,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"1837",NA,6724,NA,7736,"88719","","",22.45,-102.35,2164,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
"1838",NA,6725,NA,7737,"88693","","",22.19,-102.27,2420,"stenophyllidium","stenophyllidium","tuberous","wild",NA,"SŠrkinen","",""
