"","BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
"1861",NA,6761,NA,7773,"CIP 761281","","",-15.7667,-68.6333,3550,"stipuloideum","stipuloideum","tuberous","germplasm",24,"SŠrkinen","",""
"1862",NA,6763,NA,7775,"CIP 761030","","",-17.0333,-67.25,4465,"stipuloideum","stipuloideum","tuberous","germplasm",24,"SŠrkinen","",""
"1863",NA,6765,NA,7777,"CIP 760450","","",-17.0667,-66.8167,3056,"stipuloideum","stipuloideum","tuberous","germplasm",24,"SŠrkinen","",""
"1864",NA,6768,NA,7780,"CIP 763111","","",-17.65,-66.6333,4368,"stipuloideum","stipuloideum","tuberous","germplasm",24,"SŠrkinen","",""
"1865",NA,6769,NA,7781,"CIP 760435","","",-17.1775,-64.885,2650,"stipuloideum","stipuloideum","tuberous","germplasm",NA,"SŠrkinen","",""
"1866",NA,6770,NA,7782,"CIP 762522","","",-16.7081,-64.6617,NA,"stipuloideum","stipuloideum","tuberous","germplasm",NA,"SŠrkinen","",""
"1867",NA,6771,NA,7783,"CIP 760431","","",-18.4897,-64.1069,2017,"stipuloideum","stipuloideum","tuberous","germplasm",24,"SŠrkinen","",""
"1868",NA,6772,NA,7784,"161664","","",-18.69889,-64.88861,2575,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1869",NA,6776,NA,7788,"77200","","",-17.1667,-66.4167,3800,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1870",NA,6777,NA,7789,"84054","","",-16.6167,-67.6833,0,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1871",NA,6778,NA,7790,"87625","","",-17.6315,-66.95643,3800,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1872",NA,6779,NA,7791,"85547","","",-17.5,-65.46667,0,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1873",NA,6780,NA,7792,"81757","","",-18.0833,-64.15,2200,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1874",NA,6781,NA,7793,"161663","","",-18.11556,-65.77417,2464,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1875",NA,6784,NA,7796,"87072","","",-17.85,-66.11667,2500,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1876",NA,6785,NA,7797,"80219","","",-19.4292,-64.6977,3361,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1877",NA,6786,NA,7798,"77261","","",-17.3833,-66.35,3300,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1878",NA,6788,NA,7800,"82734","","",-15.4167,-68.6333,3050,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1879",NA,6789,NA,7801,"54736","","",-19.88604,-65.66527,3700,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1880",NA,6790,NA,7802,"967","","",-17.87789,-65.93096,2800,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1881",NA,6791,NA,7803,"161658","","",-18.70028,-64.26361,1740,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1882",NA,6792,NA,7804,"77645","","",-17.3667,-66.05,3100,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1883",NA,6793,NA,7805,"77637","","",-16.1833,-68.3833,2750,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1884",NA,6794,NA,7806,"86968","","",-15.5833,-68.7167,3000,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1885",NA,6795,NA,7807,"82140","","",-17.3833,-66.15,2600,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1886",NA,6796,NA,7808,"88132","","",-17.56667,-65.01667,3000,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1887",NA,6797,NA,7809,"77128","","",-16.8333,-67.3167,3000,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1888",NA,6798,NA,7810,"77632","","",-17.6833,-64.1333,2900,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1889",NA,6799,NA,7811,"85540","","",-18.1667,-65,0,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
"1890",NA,6800,NA,7812,"77641","","",-16.8333,-67.6333,3660,"stipuloideum","stipuloideum","tuberous","wild",NA,"SŠrkinen","",""
